,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,"(450, 375, None, None)","(450, 375, None, None)","(450.936, 374.821, None, None)","(507.121, 364.089, None, None)","(563.144, 367.026, None, None)","(619.061, 379.074, None, None)","(647.92, 388.736, None, None)","(701.323, 409.229, None, None)","(745.275, 444.304, None, None)","(753.378, 452.38, None, None)","(746.239, 480.074, None, None)","(746.239, 480.074, None, None)","(778.29, 492.345, None, None)","(779.18, 492.686, None, None)","(793.706, 520.592, None, None)","(795.906, 524.82, None, None)","(807.726, 565.067, None, None)","(805.026, 576.184, None, None)","(799.177, 600.271, None, None)","(794.357, 626.861, None, None)","(805.534, 631.606, None, None)","(802.129, 644.511, None, None)","(796.126, 679.27, None, None)","(753.053, 687.505, None, None)","(718.002, 689.519, None, None)","(680.825, 689.011, None, None)","(632.229, 687.506, None, None)","(575.146, 688.827, None, None)","(518.174, 693.926, None, None)","(485.915, 694.87, None, None)","(429.094, 688.298, None, None)","(372.273, 681.726, None, None)","(349.471, 679.889, None, None)","(292.406, 675.957, None, None)","(235.557, 669.641, None, None)","(203.344, 666.039, None, None)","(171.888, 665.574, None, None)","(118.231, 652.084, None, None)","(95.248, 613.608, None, None)","(114.66, 559.803, None, None)","(113.1, 504.052, None, None)","(96.452, 458.988, None, None)","(71.077, 407.735, None, None)","(38.717, 389.428, None, None)"
1,"(775.09, 321.63, 63.908, -13.798)","(800.922, 284.319, 44.29, -9.353)","(808.271, 251.886, -10.239, 16.255)","(809.121, 228.943, 46.095, 2.527)","(805.479, 212.135, 16.651, -52.838)","(823.621, 182.241, 15.085, -69.618)","(826.381, 164.934, -39.111, -45.09)","(820.339, 153.514, -29.927, -36.416)","(809.112, 128.86, 5.812, -35.268)","(799.098, 93.282, -55.732, -70.803)","(756.185, 69.105, -14.778, -3.901)","(695.681, 68.929, 9.123, 26.466)","(651.982, 63.311, -8.278, -7.042)","(612.072, 62.058, -89.075, 16.607)","(566.932, 60.578, -89.645, -33.944)","(519.934, 62.049, -15.387, 27.317)","(472.28, 62.483, -86.43, -48.588)","(428.862, 69.533, 5.975, -12.45)","(385.471, 65.44, -94.317, 1.808)","(342.91, 68.251, -36.679, 38.015)","(300.684, 73.255, -10.246, 39.256)","(260.97, 68.997, -83.217, 6.445)","(217.365, 73.561, 9.554, -47.41)","(179.668, 76.972, -56.564, 35.852)","(139.695, 80.664, -52.299, 3.316)","(114.763, 117.702, -11.578, 68.391)","(104.941, 155.968, 11.655, 0.261)","(104.725, 200.606, -48.496, 8.921)","(100.59, 238.032, -30.123, 24.442)","(104.29, 283.288, -24.195, 43.382)","(102.981, 321.215, -19.282, -17.443)","(89.092, 355.204, -54.929, -12.232)","(31.066, 368.471, -57.545, 3.079)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(734.171, 501.488, 39.236, 80.904)","(774.766, 531.205, 28.099, 54.194)","(800.288, 572.289, 72.119, 94.305)","(807.332, 621.556, -19.987, 86.762)","(802.486, 659.272, -26.503, 13.238)","(783.51, 673.924, -32.31, -10.845)","(737.602, 687.152, -57.153, 18.739)","(689.699, 685.908, -101.957, -15.339)","(641.25, 684.961, -37.79, -51.414)","(592.193, 683.583, -72.505, 16.681)","(544.462, 685.679, -45.47, 44.342)","(498.959, 680.487, -60.411, -16.381)","(454.49, 679.481, -72.971, 17.483)","(412.843, 677.72, -83.007, -8.142)","(370.896, 680.0, -7.766, -10.058)","(317.782, 680.109, -94.05, -44.834)","(268.716, 681.737, -53.207, -48.545)","(223.31, 674.535, -97.118, -39.256)","(178.781, 678.986, -43.347, 9.103)","(141.015, 652.285, 19.5, -92.155)","(118.739, 611.252, 0.277, -27.076)","(104.144, 563.544, -19.984, -78.05)","(88.153, 522.903, -33.326, -38.581)","(72.115, 480.859, -50.689, -65.541)","(65.058, 443.102, 24.003, -82.103)","(73.765, 405.427, 25.863, -64.978)","(56.489, 385.62, -44.623, 11.935)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(302.906, 421.259, 5.562, -49.497)","(339.59, 434.468, 74.469, 38.285)","(366.864, 442.055, -0.109, 37.39)","(394.014, 457.166, -24.051, 16.67)","(422.65, 467.518, 3.671, 31.19)","(450.329, 477.15, 65.786, -23.037)","(484.136, 486.386, -7.324, 30.049)","(509.096, 498.33, 66.661, 43.379)","(532.887, 498.815, -11.941, -7.527)","(568.793, 512.694, 79.75, -1.22)","(601.818, 518.633, 44.527, 3.006)","(639.672, 528.769, 6.478, -36.011)","(661.022, 535.179, 8.48, 65.458)","(691.176, 537.215, 33.282, -13.275)","(721.405, 534.164, 50.526, 35.182)","(748.031, 542.408, -32.804, 13.371)","(771.229, 548.854, -21.427, 47.159)","(758.191, 587.724, 19.495, 74.45)","(756.032, 620.293, -4.613, 41.721)","(751.983, 636.438, -17.433, 43.706)","(750.895, 641.827, 23.145, 29.968)","(754.793, 652.643, 7.327, -45.623)","(758.478, 663.736, -47.643, 20.512)","(714.842, 647.924, 10.042, 27.352)","(688.643, 636.131, -54.921, -3.417)","(666.318, 636.353, -46.95, -53.789)","(647.793, 636.614, -22.36, -3.206)","(622.298, 643.014, -66.79, -1.357)","(597.041, 655.586, -44.065, -10.785)","(570.58, 678.979, -44.281, -15.025)","(538.892, 691.908, -75.317, -43.576)","(495.378, 686.716, -69.324, -59.546)","(456.359, 680.766, -10.666, -46.786)","(419.898, 669.416, -3.916, -55.201)","(382.241, 663.651, -83.075, 2.049)","(336.717, 658.201, -31.449, 29.167)","(300.606, 662.725, 2.617, -11.788)","(262.026, 662.05, -73.04, -22.555)","(223.993, 660.56, 19.629, -15.592)","(190.505, 663.61, -77.579, 22.148)","(144.852, 667.075, -47.032, -75.113)","(126.786, 627.641, -64.709, -40.646)","(115.401, 592.12, 41.352, -15.822)","(108.022, 551.495, -60.056, -8.581)"
4,"(710.019, 252.378, 3.475, -26.58)","(735.381, 235.919, 17.009, -0.179)","(758.188, 226.031, 4.653, 22.298)","(785.481, 212.528, 10.861, -38.012)","(804.949, 160.246, -40.523, -29.898)","(798.081, 109.511, 5.295, -33.622)","(766.855, 70.975, -68.863, -5.462)","(714.563, 63.993, -108.395, -47.964)","(665.457, 68.661, -2.425, 54.625)","(622.847, 68.45, -76.908, 9.883)","(575.902, 74.654, -92.759, 1.385)","(529.753, 77.841, -98.898, 50.263)","(481.768, 73.714, -89.79, -45.255)","(436.841, 69.536, -67.201, 19.56)","(393.995, 76.224, -55.669, 53.132)","(350.697, 75.65, -87.592, -44.823)","(307.77, 75.496, -55.997, -18.528)","(266.028, 77.657, -84.231, -54.947)","(222.945, 78.993, -73.566, 1.999)","(187.689, 76.853, -29.06, 15.095)","(146.323, 76.363, 24.278, 11.1)","(114.461, 110.873, -41.902, 1.52)","(94.959, 157.105, -6.645, 72.692)","(91.424, 204.129, 7.12, 44.999)","(85.279, 244.348, 32.163, 8.887)","(85.775, 288.451, 17.778, 80.635)","(83.582, 327.136, 36.244, -0.636)","(68.267, 362.407, -69.527, 31.643)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(638.869, 329.434, 47.613, -35.275)","(667.517, 315.123, 62.467, 20.538)","(688.518, 286.243, 47.833, -15.564)","(720.207, 269.963, 52.47, 0.931)","(750.02, 254.897, 38.657, 27.758)","(764.017, 247.304, 36.325, 36.013)","(781.455, 233.973, -11.857, 25.752)","(796.535, 205.677, -15.655, 16.847)","(813.853, 180.222, -35.565, -36.37)","(814.959, 129.23, 21.12, -67.125)","(808.277, 95.265, -58.52, -45.719)","(793.147, 75.777, -19.167, -8.646)","(753.367, 57.765, -2.104, 7.818)","(706.679, 60.222, -88.802, 1.794)","(661.021, 64.062, -40.33, -46.291)","(618.501, 62.975, -22.579, -43.047)","(585.221, 65.132, -83.325, -17.28)","(543.548, 62.625, -78.041, 27.675)","(502.834, 60.352, -61.35, -43.503)","(458.471, 64.047, -38.114, 41.85)","(416.209, 61.948, -21.855, -54.273)","(381.526, 63.183, -13.213, 43.574)","(340.889, 65.903, -35.325, -28.209)","(303.179, 61.768, -67.053, -30.833)","(267.196, 61.864, -6.159, -46.759)","(227.156, 67.229, -54.009, 1.406)","(187.075, 63.924, 12.025, -16.326)","(142.666, 70.971, -106.639, 31.141)","(105.72, 107.457, -28.011, -8.952)","(90.274, 144.57, 35.224, 63.116)","(78.743, 182.625, -19.616, 62.923)","(69.908, 224.965, -59.506, 89.988)","(65.79, 263.465, 17.969, 17.167)","(67.538, 301.04, -49.912, 42.762)","(62.912, 330.477, 10.477, 46.4)","(50.006, 360.623, -23.835, 22.512)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
6,"(454.43, 511.557, 71.117, 11.528)","(502.457, 512.321, 39.646, -29.872)","(547.011, 514.272, 0.832, -36.574)","(586.03, 522.774, 79.39, 27.566)","(626.038, 529.31, -2.157, -9.063)","(653.558, 537.728, 21.523, 58.608)","(681.874, 544.496, 17.739, 31.692)","(717.243, 552.014, 27.027, -28.072)","(745.844, 550.89, 53.016, -35.748)","(770.41, 559.885, 8.303, 44.88)","(771.243, 596.531, -34.295, 87.773)","(768.776, 637.186, -32.184, 48.682)","(777.251, 653.552, -4.296, 32.745)","(735.01, 655.597, -0.672, -27.0)","(695.019, 640.604, -25.417, -43.382)","(667.619, 636.118, -74.227, 0.48)","(638.588, 636.381, -23.235, -6.227)","(613.287, 636.437, -35.405, -28.951)","(578.804, 642.342, -37.926, 30.864)","(556.058, 639.942, 7.423, 17.673)","(546.285, 638.787, 35.314, 2.983)","(501.095, 662.803, -74.133, -6.562)","(456.322, 652.017, -55.746, 1.465)","(420.499, 647.878, -73.538, 2.531)","(382.654, 653.951, 7.669, 50.903)","(345.631, 650.895, -59.832, 43.091)","(303.34, 648.502, -76.684, -41.659)","(267.667, 658.302, -80.235, 37.999)","(228.622, 661.154, -30.621, 31.041)","(190.584, 664.379, -76.631, -19.105)","(154.948, 666.755, -66.107, 0.121)","(131.079, 639.244, -70.409, 16.063)","(109.908, 600.067, 21.289, 4.541)","(93.585, 567.607, 12.168, -36.323)","(82.898, 529.621, -12.663, 0.583)","(65.77, 490.756, 34.525, 2.436)","(59.422, 465.328, -44.86, -4.882)","(46.279, 450.727, -37.943, -67.585)","(46.103, 437.488, -11.077, 8.933)","(47.307, 431.082, 30.319, 21.731)","(60.385, 405.822, -33.64, -59.105)","(28.175, 380.557, -78.412, -52.84)","(None, None, None, None)","(None, None, None, None)"
7,"(344.611, 248.123, 20.75, -14.534)","(376.4, 243.274, -6.926, -24.222)","(409.745, 239.564, 63.725, 37.324)","(435.375, 234.16, 73.658, 11.972)","(465.162, 229.359, -13.206, 45.306)","(495.13, 232.212, 76.072, 39.698)","(528.845, 232.499, 15.302, 4.315)","(559.265, 221.304, -13.259, -22.559)","(594.792, 216.471, -27.909, 27.811)","(625.905, 208.226, -18.834, 35.748)","(657.591, 199.481, 64.645, -7.271)","(694.517, 196.538, 75.598, -10.215)","(736.036, 201.939, 36.535, 39.432)","(750.49, 206.207, 34.476, 41.702)","(765.152, 206.865, 38.205, -1.454)","(780.932, 176.863, 50.874, -87.243)","(796.081, 150.467, -6.604, -69.659)","(802.569, 113.66, -13.094, -70.437)","(786.326, 87.842, -66.545, -28.579)","(758.391, 59.54, -21.2, -40.648)","(712.355, 56.562, -86.496, 22.639)","(667.309, 56.404, -59.814, 43.425)","(618.763, 60.51, -49.31, -31.091)","(580.933, 65.208, -92.096, 28.759)","(543.129, 66.377, -53.192, 7.046)","(510.109, 67.46, -1.348, 57.351)","(463.837, 75.183, -15.318, 10.956)","(426.689, 77.159, -50.019, 43.074)","(390.359, 82.489, -26.302, 4.125)","(352.943, 83.565, -65.046, -29.856)","(317.129, 85.014, 0.41, -50.506)","(271.667, 85.526, -5.796, 16.627)","(236.602, 87.187, -14.198, -17.975)","(198.602, 87.051, -88.726, -41.769)","(164.739, 75.478, 4.78, -16.277)","(122.151, 96.406, -24.941, 37.207)","(99.077, 133.426, -0.398, 37.43)","(90.444, 176.089, 43.498, 22.369)","(74.828, 223.664, 17.579, 66.68)","(69.434, 259.575, 30.611, 14.001)","(62.576, 291.482, -30.935, 61.829)","(62.168, 328.654, 24.065, 27.065)","(56.787, 355.532, -19.42, 21.87)","(None, None, None, None)"
8,"(326.396, 476.346, 19.63, 34.012)","(351.111, 488.907, 59.908, 40.944)","(379.068, 501.837, -10.131, 58.148)","(412.099, 509.599, 73.484, 44.828)","(441.231, 515.989, 59.158, -27.189)","(472.833, 521.726, 19.958, 40.478)","(504.107, 530.544, 23.766, 29.89)","(538.911, 538.74, 56.449, -1.226)","(574.121, 538.858, 77.495, 39.389)","(608.148, 538.519, -6.687, 24.314)","(647.697, 533.027, 28.511, 48.83)","(682.834, 541.93, 14.006, -45.419)","(710.462, 539.084, -0.348, 2.501)","(740.209, 542.134, 52.565, 14.538)","(770.318, 547.651, -16.539, 2.61)","(780.588, 575.752, -25.02, -9.211)","(785.764, 608.259, -34.207, 51.531)","(794.903, 627.369, 42.896, -2.398)","(799.898, 641.454, 55.769, 3.835)","(805.558, 656.35, 25.025, -32.458)","(785.502, 666.606, 24.757, 51.366)","(746.536, 688.829, 3.526, -38.247)","(700.742, 691.509, -97.709, 9.022)","(654.293, 689.114, -74.566, 27.163)","(614.885, 684.821, -59.413, 0.865)","(577.915, 682.408, -38.244, -49.774)","(536.263, 682.485, 7.084, -33.963)","(489.105, 685.678, -33.453, -14.263)","(445.679, 678.199, -75.762, -10.571)","(401.209, 669.8, 13.487, -50.903)","(359.844, 676.341, -8.445, -49.707)","(316.684, 680.329, -7.452, 51.264)","(280.883, 682.064, -34.12, 39.984)","(244.019, 679.919, -64.023, -11.076)","(200.822, 678.425, -34.728, 2.866)","(150.609, 672.586, -69.861, 30.899)","(128.349, 640.02, -33.788, -64.75)","(105.82, 602.415, 7.252, -74.828)","(94.854, 565.471, -13.103, 0.467)","(83.003, 521.519, -63.778, -89.973)","(73.155, 485.793, -67.35, -4.261)","(54.961, 456.339, -36.364, -82.987)","(47.195, 438.789, -8.924, -13.665)","(50.57, 427.421, 24.397, -55.985)"
9,"(266.957, 201.216, 3.508, -62.48)","(306.58, 190.353, -9.455, 36.546)","(343.47, 178.059, 83.848, -30.143)","(388.854, 172.793, -5.1, 48.227)","(424.49, 173.031, 76.962, -42.992)","(452.221, 168.222, -26.477, 16.342)","(472.988, 170.776, -40.468, -30.294)","(502.75, 189.347, 59.698, -25.804)","(552.259, 183.982, 66.203, 52.799)","(593.12, 178.522, 37.812, -34.284)","(624.635, 179.241, 20.485, 37.42)","(655.877, 179.078, 78.791, -34.999)","(688.358, 175.499, -16.593, 39.548)","(715.875, 176.577, 5.714, -21.758)","(739.394, 174.942, 37.604, 38.348)","(754.986, 181.963, 8.398, 18.395)","(766.709, 182.022, 31.246, 45.071)","(775.938, 176.127, 6.555, -75.559)","(777.103, 141.632, -26.124, -63.252)","(768.641, 117.788, -28.962, -19.008)","(770.533, 101.381, 24.882, -60.245)","(746.551, 93.574, 6.274, 36.353)","(707.588, 100.579, -2.722, 52.394)","(688.33, 94.563, -11.815, -51.429)","(646.04, 82.592, -95.681, -30.43)","(602.308, 84.151, -26.371, 46.424)","(570.733, 81.95, -64.817, -52.43)","(536.175, 84.667, -35.885, 32.029)","(499.221, 87.994, 12.66, 30.018)","(459.466, 84.114, -44.882, -24.57)","(418.49, 77.202, -99.747, -47.36)","(382.729, 83.212, -53.51, 45.024)","(341.328, 82.715, 4.795, 14.448)","(296.07, 80.389, -24.07, -1.319)","(261.247, 76.97, -15.703, -37.785)","(219.401, 79.023, -6.73, -2.97)","(190.867, 72.16, -68.502, -49.766)","(149.189, 74.876, -1.465, 22.721)","(119.16, 105.737, 22.268, 7.489)","(105.685, 143.771, 42.18, 29.602)","(97.73, 192.977, -55.582, -14.194)","(93.515, 240.06, 0.751, 82.435)","(90.207, 278.583, -33.225, 2.275)","(82.454, 312.254, 21.697, 77.85)"
