,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,"(450, 375, None, None)","(450, 375, None, None)","(463.884, 378.426, None, None)","(520.12, 380.41, None, None)","(569.175, 351.33, None, None)","(609.733, 321.198, None, None)","(654.133, 303.854, None, None)","(685.551, 278.437, None, None)","(722.724, 250.147, None, None)","(739.414, 237.446, None, None)","(759.92, 189.189, None, None)","(758.003, 152.058, None, None)","(756.05, 137.892, None, None)","(748.498, 100.283, None, None)","(698.113, 97.571, None, None)","(641.144, 98.059, None, None)","(584.934, 96.034, None, None)","(569.688, 95.555, None, None)","(512.516, 93.759, None, None)","(455.344, 91.963, None, None)","(398.172, 90.167, None, None)","(344.074, 78.325, None, None)","(289.915, 79.142, None, None)","(234.235, 77.42, None, None)","(177.951, 78.219, None, None)","(168.036, 94.605, None, None)","(166.289, 98.989, None, None)","(137.063, 105.276, None, None)","(139.008, 162.443, None, None)","(140.953, 219.61, None, None)","(124.61, 240.422, None, None)","(88.222, 284.555, None, None)","(51.834, 328.688, None, None)","(46.375, 335.308, None, None)","(43.243, 356.589, None, None)",
1,"(411.297, 221.696, 84.749, 40.189)","(450.791, 216.996, 6.326, 15.641)","(487.568, 201.012, 77.325, -32.905)","(519.016, 183.748, 2.445, 28.494)","(563.622, 167.586, 72.419, -25.077)","(583.031, 166.803, -10.531, 6.093)","(613.391, 166.249, 56.43, -58.137)","(639.324, 167.554, 22.734, -24.81)","(660.079, 166.741, 13.905, -9.224)","(672.639, 166.796, -5.048, 24.006)","(673.743, 166.643, 40.308, 8.798)","(676.612, 166.122, 15.728, -14.805)","(674.289, 166.29, -50.227, 7.536)","(671.762, 166.921, -49.333, -6.212)","(672.539, 166.381, -9.127, -12.105)","(675.823, 167.152, -39.962, -21.934)","(681.027, 179.352, 54.346, -17.588)","(718.885, 185.934, 75.439, -17.48)","(736.375, 182.338, -9.674, 32.974)","(745.874, 174.043, 14.889, 11.711)","(745.341, 174.967, -26.071, 8.122)","(741.558, 181.732, -14.746, 1.831)","(748.367, 185.103, -36.715, -8.093)","(759.009, 191.483, 42.445, -39.343)","(765.777, 182.348, 3.773, -95.13)","(772.395, 152.537, -33.612, -90.453)","(770.245, 134.911, 25.892, -27.895)","(777.692, 120.267, 64.326, -32.201)","(793.534, 99.205, 6.722, 42.117)","(775.113, 104.528, 4.225, 2.82)","(738.392, 113.743, -0.597, 21.99)","(732.105, 112.91, -22.443, -5.92)","(732.119, 112.663, 1.03, -38.03)","(732.018, 112.962, 22.949, -31.858)","(719.462, 99.878, -93.808, -23.148)",
2,"(587.898, 193.504, 85.927, 11.883)","(629.567, 178.039, 77.078, 28.42)","(664.447, 166.264, 65.132, -32.266)","(704.108, 168.511, 13.605, 26.476)","(740.142, 166.443, 21.785, 7.343)","(762.578, 173.495, -6.864, 14.754)","(778.532, 162.807, -8.508, -43.292)","(788.205, 174.749, -10.261, 0.607)","(779.46, 169.126, 44.597, -29.084)","(783.212, 162.423, 39.771, 6.976)","(780.745, 154.675, -80.101, -12.001)","(773.408, 144.286, -40.402, -33.588)","(785.709, 146.658, -70.632, -7.488)","(782.102, 161.681, -21.035, -0.993)","(799.551, 162.047, 5.107, 47.883)","(804.244, 169.234, 44.767, 62.925)","(809.395, 181.176, 1.788, -47.363)","(810.468, 189.305, 31.72, -23.16)","(816.163, 156.3, 55.982, -105.175)","(814.361, 124.636, -6.972, -49.073)","(805.731, 91.244, 26.155, -84.372)","(790.199, 81.129, -51.976, -47.777)","(768.184, 63.208, -3.882, -49.746)","(732.018, 58.357, -82.532, 26.676)","(699.267, 57.874, -6.276, 49.823)","(654.524, 61.874, -77.875, -37.13)","(616.462, 56.368, 2.187, 14.393)","(580.801, 54.203, -69.157, -25.483)","(540.558, 54.776, -19.266, -25.25)","(505.606, 56.064, -17.055, -24.872)","(470.319, 56.974, 10.76, -45.341)","(431.141, 59.202, -18.095, -48.997)","(392.698, 68.297, -15.447, -1.2)","(355.981, 77.984, -5.174, -11.547)","(313.892, 86.658, -70.746, 39.814)",
3,"(498.081, 189.819, 79.412, -15.089)","(538.081, 177.88, 64.81, 24.113)","(581.957, 173.336, 51.477, -38.449)","(621.1, 166.218, 54.282, 4.544)","(644.537, 166.525, 17.176, 27.838)","(673.671, 166.548, 9.016, -4.156)","(699.897, 166.06, 85.414, -38.381)","(725.274, 168.846, 34.498, 1.484)","(737.237, 166.998, -44.569, 3.339)","(740.319, 166.643, 3.112, 13.465)","(744.148, 166.404, 17.845, -46.315)","(740.305, 166.732, -5.455, 34.937)","(757.737, 186.452, 46.999, -23.273)","(771.511, 188.142, 27.494, -70.424)","(765.743, 148.247, -36.435, -110.574)","(760.623, 119.353, 31.775, -11.371)","(761.512, 100.421, 52.786, -30.35)","(762.64, 84.242, -52.583, 37.215)","(772.277, 76.675, -41.322, -52.081)","(731.717, 69.06, -68.798, 41.673)","(686.04, 73.25, -9.744, 65.601)","(637.396, 79.484, -47.115, -26.405)","(586.867, 93.302, -50.049, -1.235)","(561.036, 111.81, -31.985, 22.722)","(516.464, 101.287, -16.568, 5.857)","(465.979, 98.048, -14.083, -27.235)","(425.296, 99.838, 2.611, 48.59)","(380.53, 98.221, -81.003, -13.078)","(341.901, 98.459, -70.766, 11.306)","(305.202, 99.078, -37.734, 44.566)","(275.335, 97.391, -2.27, -56.416)","(245.293, 91.568, -0.794, -52.176)","(218.037, 87.423, -6.086, -4.025)","(175.532, 79.774, -44.174, -23.583)","(126.323, 103.495, -4.402, 65.115)",
4,"(643.393, 314.211, 12.219, 23.863)","(677.458, 292.672, 47.979, -51.675)","(701.514, 275.096, -8.296, -15.109)","(730.753, 252.487, 31.566, -12.567)","(755.507, 235.564, 8.333, -58.479)","(779.869, 217.69, 52.307, -76.828)","(798.753, 192.142, 64.586, -47.899)","(805.306, 159.286, 2.07, -81.226)","(800.67, 100.17, 2.499, -92.623)","(777.443, 76.141, -4.495, 15.573)","(730.137, 64.486, -29.123, -28.281)","(678.647, 65.564, -23.126, 1.827)","(635.241, 63.586, -100.108, -20.145)","(583.501, 66.929, -105.053, -25.404)","(529.734, 70.364, -2.271, 57.566)","(473.147, 73.263, -70.45, 10.725)","(430.137, 75.538, -10.819, -48.699)","(385.91, 77.6, -73.407, 33.496)","(340.278, 84.442, 6.888, 24.356)","(296.447, 85.837, -50.452, 8.033)","(248.948, 80.991, -80.541, -34.166)","(208.048, 84.687, -32.969, -27.658)","(167.356, 79.053, -9.625, -42.391)","(126.529, 102.495, -31.882, 9.444)","(110.304, 145.818, 28.871, 12.733)","(98.697, 194.347, 30.561, 13.702)","(95.019, 241.402, -60.454, 82.005)","(86.629, 281.886, -57.825, 12.275)","(82.572, 321.08, 45.983, 57.808)","(79.582, 352.157, 32.772, 81.951)","(55.357, 365.287, -45.667, -41.878)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
5,"(265.67, 480.702, 73.675, 48.073)","(304.508, 475.186, -14.218, 54.169)","(338.904, 465.077, 65.768, 46.794)","(376.59, 474.976, 60.884, 31.919)","(409.451, 480.948, 32.222, 44.464)","(449.33, 483.527, 94.811, 29.104)","(480.809, 479.022, 73.511, -54.62)","(514.559, 483.376, 71.48, 51.238)","(547.761, 485.744, 12.721, 39.955)","(583.412, 490.434, 50.194, 15.33)","(612.269, 488.862, 26.962, -32.084)","(645.725, 489.103, -2.543, -23.805)","(681.35, 488.689, -9.125, -44.185)","(703.187, 488.344, 69.365, -4.635)","(724.828, 491.986, 14.664, -35.177)","(745.425, 505.906, -24.482, 50.144)","(769.498, 518.211, 43.568, 54.292)","(781.897, 535.759, -23.152, 24.899)","(784.794, 571.522, 8.509, 18.05)","(786.142, 609.382, -14.037, 94.757)","(786.748, 644.096, 20.477, 87.218)","(745.203, 654.037, -57.012, 54.994)","(707.506, 660.93, -74.067, 7.325)","(682.396, 670.942, -74.308, 21.685)","(632.974, 686.134, -88.709, -11.272)","(590.219, 686.148, -36.882, -8.682)","(542.166, 683.208, -65.067, -47.875)","(500.442, 679.729, -51.724, 6.314)","(462.811, 672.176, -21.917, 33.108)","(426.384, 668.286, -7.83, 5.781)","(384.253, 660.216, -53.636, -43.939)","(347.2, 663.567, -37.854, 15.28)","(310.566, 659.124, -39.788, -33.334)","(270.728, 661.416, -95.862, 46.339)","(230.046, 663.734, -44.956, -32.105)",
6,"(574.332, 437.74, 38.392, 23.324)","(600.129, 418.347, -17.332, -47.158)","(623.199, 393.863, -17.621, -73.237)","(650.929, 371.309, -7.793, -28.604)","(683.43, 354.062, 75.632, -66.458)","(701.283, 334.856, -23.78, 3.378)","(716.58, 312.977, 13.313, 23.671)","(737.554, 300.985, -37.272, -41.807)","(752.343, 285.917, 24.89, 46.677)","(764.119, 265.317, -22.349, -75.659)","(779.387, 249.574, 22.288, 39.594)","(794.359, 232.973, 53.543, -34.843)","(798.363, 223.925, -27.486, 16.399)","(799.983, 219.098, -27.964, -9.611)","(811.731, 190.179, 14.334, -34.956)","(819.321, 164.475, 69.866, -53.104)","(814.729, 125.894, -39.538, -34.139)","(809.759, 94.431, -54.867, -31.591)","(795.407, 78.139, -39.901, 27.969)","(776.016, 53.922, -76.709, -52.31)","(735.621, 49.325, 1.453, -51.907)","(698.375, 52.544, -75.273, -7.554)","(655.1, 53.789, -81.659, -8.449)","(602.776, 58.527, -41.587, -43.99)","(555.425, 60.904, -68.764, 49.301)","(511.351, 62.634, -71.307, 34.561)","(474.813, 59.86, 10.218, 26.547)","(425.9, 60.214, -68.966, -9.259)","(386.76, 59.403, -68.996, 25.551)","(350.463, 60.214, -80.213, -42.243)","(311.532, 59.638, -6.339, 3.202)","(282.717, 59.507, -79.765, -23.129)","(248.932, 57.808, -68.013, 27.167)","(223.847, 63.767, -6.499, -16.752)","(205.3, 63.452, -27.833, 36.375)",
7,"(321.277, 532.455, -5.122, -38.406)","(351.441, 528.441, 18.345, -32.483)","(382.823, 520.337, 68.58, -10.706)","(416.896, 518.423, 58.729, 57.167)","(451.964, 516.629, 13.896, -36.275)","(496.066, 512.188, 68.604, -38.697)","(530.808, 512.112, -10.384, -47.089)","(570.557, 505.496, 5.373, -37.602)","(601.243, 500.227, 13.884, 46.514)","(634.424, 491.585, 57.05, -16.83)","(673.339, 490.278, 69.355, 28.653)","(709.005, 494.307, 11.66, -21.044)","(742.876, 504.088, 63.501, 47.248)","(769.918, 515.491, 56.943, 13.285)","(787.06, 544.725, 37.466, 72.669)","(799.613, 589.789, -37.368, 81.808)","(803.78, 632.544, -38.201, 18.352)","(801.585, 661.776, 8.274, 28.396)","(787.904, 673.761, -64.385, 23.095)","(754.078, 680.864, -98.451, -12.67)","(715.416, 681.474, -6.231, -27.032)","(677.536, 682.843, -38.962, 52.909)","(639.464, 683.49, -41.525, -40.924)","(598.885, 682.256, -9.293, 5.411)","(551.757, 679.749, -57.575, -57.178)","(510.827, 677.146, -0.155, 5.727)","(474.994, 672.331, -47.982, -1.172)","(428.986, 669.843, -30.672, -2.662)","(386.816, 670.666, -62.844, -7.522)","(345.28, 666.182, 0.449, -19.121)","(306.35, 659.653, -64.822, 58.141)","(265.224, 655.259, -61.913, -24.495)","(231.363, 663.273, -14.908, -49.047)","(189.128, 664.578, -26.735, -56.918)","(145.195, 663.009, -90.664, 15.637)",
8,"(418.342, 274.833, 37.34, -2.967)","(459.988, 271.372, 31.352, 4.409)","(508.326, 258.378, 50.188, -41.84)","(556.962, 247.849, 39.92, -53.612)","(597.352, 235.466, 15.717, 35.919)","(631.694, 229.037, 69.539, -54.264)","(659.514, 222.827, -17.47, -49.116)","(689.28, 211.71, 36.323, -11.825)","(714.651, 197.922, -36.617, -43.912)","(728.464, 191.024, -13.931, -59.456)","(745.123, 197.151, -7.273, 25.963)","(771.849, 199.132, -1.767, -27.943)","(788.139, 170.333, 48.352, -14.888)","(789.366, 140.352, 34.488, -15.159)","(786.83, 98.813, -59.463, -90.978)","(745.714, 84.674, -53.399, 1.025)","(698.647, 83.767, -48.277, 18.554)","(652.393, 92.888, 1.914, -48.59)","(601.183, 94.439, -61.744, -11.494)","(567.852, 99.782, -75.829, 46.6)","(527.262, 98.422, -71.773, -8.408)","(487.503, 101.129, -67.683, 30.587)","(441.192, 99.489, -56.027, -31.935)","(402.812, 100.783, -16.117, -11.89)","(362.857, 100.958, 2.785, -2.867)","(319.89, 101.912, -57.048, 29.817)","(282.685, 100.447, -56.172, -32.359)","(247.321, 98.61, -75.08, 51.057)","(214.906, 92.63, 28.965, 26.388)","(177.956, 80.279, -63.447, -14.359)","(132.283, 101.613, -77.69, 44.373)","(122.1, 157.315, -14.824, 10.87)","(122.078, 200.785, -14.781, 89.142)","(115.786, 238.756, -5.198, 83.421)","(107.0, 274.334, -10.968, 24.368)",
9,"(539.57, 213.549, 45.608, -23.173)","(576.776, 214.664, -16.095, -31.842)","(617.769, 207.792, 17.206, -40.098)","(654.28, 197.466, 13.232, -16.158)","(690.642, 184.768, 32.286, -55.797)","(717.313, 181.414, 81.804, 1.803)","(741.589, 182.331, -6.139, 49.674)","(754.629, 180.408, 30.836, -38.649)","(768.876, 186.031, 58.991, 36.625)","(771.395, 166.327, 37.199, -24.199)","(772.289, 117.496, 39.667, -51.187)","(762.846, 94.758, 4.402, -12.216)","(711.527, 91.16, -10.485, 61.162)","(651.999, 107.51, -57.575, 58.1)","(616.523, 113.44, -90.032, -9.736)","(596.425, 113.942, -91.614, 26.047)","(586.687, 113.809, -70.616, -6.279)","(583.475, 113.23, -31.548, -8.798)","(570.939, 113.341, -31.844, 52.343)","(532.925, 105.296, -103.917, -53.263)","(480.852, 102.919, -50.107, -18.054)","(435.756, 102.853, -48.807, 6.473)","(383.268, 97.759, 9.641, -42.353)","(341.843, 100.001, -19.77, -48.399)","(306.078, 99.6, -35.876, -43.418)","(267.644, 91.13, -68.262, -10.893)","(234.133, 90.321, -57.519, -54.475)","(199.366, 85.417, -86.143, -18.216)","(141.975, 81.036, -65.975, 49.279)","(123.218, 123.872, 22.136, 81.301)","(113.268, 175.576, -47.985, 82.091)","(114.017, 218.65, -18.465, 23.018)","(112.079, 265.419, 26.896, 86.243)","(111.222, 307.146, -13.637, 6.798)","(103.243, 339.795, 26.639, 69.141)",
