,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,"(451.348, 376.348, None, None)","(491.565, 388.27, None, None)","(545.338, 407.738, None, None)","(600.076, 423.62, None, None)","(656.992, 428.394, None, None)","(714.161, 430.067, None, None)","(761.286, 461.643, None, None)","(751.79, 439.114, None, None)","(777.581, 480.33, None, None)","(777.581, 480.33, None, None)","(783.582, 501.419, None, None)","(786.414, 510.527, None, None)","(784.838, 518.647, None, None)","(793.564, 575.178, None, None)","(793.855, 577.062, None, None)","(790.007, 632.221, None, None)","(740.936, 644.54, None, None)","(724.762, 645.549, None, None)","(667.932, 651.218, None, None)","(611.364, 659.63, None, None)","(563.138, 662.125, None, None)","(506.355, 655.233, None, None)","(450.016, 652.87, None, None)","(413.779, 664.745, None, None)","(376.697, 662.051, None, None)","(365.348, 663.489, None, None)","(308.602, 670.683, None, None)","(251.466, 670.433, None, None)","(194.28, 669.2, None, None)","(185.702, 669.015, None, None)","(165.682, 651.359, None, None)","(163.799, 651.059, None, None)","(154.642, 653.71, None, None)","(120.273, 655.041, None, None)","(132.723, 605.489, None, None)","(118.053, 563.152, None, None)","(116.639, 554.69, None, None)","(105.361, 498.777, None, None)","(87.329, 447.769, None, None)","(119.659, 454.869, None, None)","(72.699, 422.211, None, None)","(25.738, 389.554, None, None)"
1,"(631.045, 406.572, 6.66, 19.81)","(659.626, 391.045, 77.051, -18.923)","(691.777, 370.508, 17.652, -17.337)","(717.103, 355.731, -22.433, -5.133)","(740.612, 340.252, 19.964, -14.705)","(761.815, 320.518, 4.217, -11.629)","(777.992, 306.593, 10.729, 11.774)","(792.617, 291.842, 54.038, -37.172)","(799.877, 273.133, -40.566, -25.158)","(800.583, 261.334, -43.809, -41.502)","(808.0, 247.836, -54.199, -35.662)","(807.868, 245.408, 33.731, -55.954)","(811.087, 241.939, -24.095, 8.738)","(812.761, 235.469, -36.094, -44.55)","(802.556, 203.323, 25.014, 12.932)","(800.592, 164.932, 39.82, -70.54)","(809.307, 129.015, 22.189, -46.235)","(802.722, 90.259, -64.026, 44.893)","(768.669, 73.691, -23.622, 15.31)","(719.082, 66.904, -72.329, 29.031)","(677.759, 61.718, -0.365, -53.615)","(633.05, 61.832, -72.877, -36.364)","(595.097, 55.39, -90.558, 27.576)","(557.79, 59.507, -2.255, 25.561)","(516.678, 60.579, -31.77, -37.224)","(471.842, 63.0, -71.249, -12.038)","(424.47, 62.943, -45.752, 57.889)","(385.16, 60.511, -15.566, -18.417)","(345.657, 66.47, -12.168, -7.914)","(303.278, 64.418, -84.715, -26.569)","(266.37, 62.243, 3.142, 12.545)","(226.455, 66.642, -64.137, -11.277)","(192.107, 67.322, 8.132, -39.123)","(147.789, 72.638, -87.085, 53.736)","(118.084, 116.91, 15.739, 19.486)","(106.655, 167.043, 46.567, 95.618)","(101.324, 213.063, -13.622, 94.558)","(93.087, 257.5, 33.781, 30.135)","(85.034, 299.42, -0.57, -5.096)","(83.112, 331.742, 9.514, 29.366)","(54.116, 361.351, -113.111, 1.477)","(None, None, None, None)"
2,"(305.34, 273.327, 78.947, -23.477)","(352.462, 262.981, 18.961, 5.208)","(390.68, 257.947, 0.756, -7.386)","(425.592, 247.592, 45.948, -10.164)","(457.964, 237.354, 38.364, 8.337)","(498.69, 226.803, 26.029, -44.88)","(543.662, 228.334, 65.218, 33.744)","(577.094, 233.75, 82.581, -25.283)","(612.581, 228.919, 7.202, 59.19)","(641.544, 228.212, 38.173, 6.63)","(668.335, 224.685, 47.832, 21.484)","(692.784, 218.264, 15.227, 71.923)","(719.994, 226.287, 59.847, 42.973)","(745.317, 221.72, 70.32, -5.018)","(767.951, 218.945, 72.2, 38.696)","(783.759, 192.047, 42.917, 7.916)","(783.352, 151.831, -27.032, -44.653)","(782.079, 106.054, -40.142, -32.793)","(740.32, 92.908, -40.646, -8.499)","(690.119, 102.154, -48.275, -17.729)","(665.182, 113.945, -13.546, 20.543)","(639.637, 113.67, -94.906, -3.035)","(612.002, 113.054, -66.286, -11.687)","(595.219, 113.584, -19.206, -7.579)","(573.96, 111.877, -53.028, -13.708)","(540.176, 102.652, -15.285, -10.345)","(498.179, 98.724, -53.669, 32.897)","(463.548, 98.582, -86.277, -6.818)","(422.363, 101.241, -90.486, 52.312)","(380.788, 97.009, -55.385, 56.074)","(335.74, 96.057, -80.217, -11.825)","(293.809, 90.869, -27.837, 18.64)","(249.441, 94.803, 9.056, -18.52)","(213.035, 84.932, -45.508, 32.555)","(174.498, 87.022, -56.219, 10.44)","(133.162, 94.474, -32.029, 83.782)","(116.601, 135.759, 7.114, 100.607)","(115.443, 180.47, 14.335, 29.92)","(111.449, 219.033, -57.54, 63.516)","(106.893, 257.514, 5.289, 74.885)","(102.256, 286.019, -63.365, 1.456)","(98.115, 317.792, -30.812, 83.951)"
3,"(775.952, 222.022, 71.18, 11.155)","(803.617, 172.152, 12.583, -101.614)","(798.238, 112.137, -56.737, -97.658)","(757.531, 86.282, -79.595, -57.34)","(703.162, 82.57, -44.274, 36.303)","(653.191, 74.064, -7.691, 31.066)","(599.242, 75.741, 1.438, 8.044)","(557.056, 75.111, -27.983, -46.323)","(508.094, 74.87, -95.357, -0.467)","(463.198, 80.232, -61.687, 42.047)","(414.722, 78.172, -17.861, 21.201)","(367.705, 80.425, -3.054, 12.875)","(323.486, 76.744, -21.654, -47.415)","(278.055, 77.049, -89.847, -8.643)","(228.622, 78.769, 2.285, -49.466)","(182.744, 79.468, -11.625, 36.316)","(138.932, 90.199, 10.992, 71.983)","(109.628, 134.7, -66.377, 67.046)","(97.64, 174.401, 8.634, 91.085)","(93.667, 213.329, 15.351, 55.44)","(82.395, 255.759, 26.213, 72.568)","(83.05, 298.562, 8.065, 30.262)","(73.55, 338.808, 41.491, -0.043)","(50.563, 363.764, -65.636, 0.83)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
4,"(773.229, 533.405, 82.378, 34.162)","(784.669, 580.508, -33.872, 22.645)","(786.243, 628.141, -9.473, 73.84)","(767.087, 653.934, -51.321, -36.649)","(715.392, 661.249, -15.518, 51.173)","(677.609, 661.977, -0.251, -11.954)","(635.044, 660.44, -50.134, -27.727)","(589.353, 658.984, -89.995, -29.095)","(544.772, 649.126, -71.407, -47.102)","(506.044, 651.532, -38.307, -26.945)","(459.622, 654.272, -76.406, -47.71)","(411.891, 651.971, -27.814, -15.941)","(360.594, 659.245, -67.338, 46.259)","(311.47, 659.131, -71.891, -7.948)","(269.689, 660.757, -0.064, -30.635)","(226.98, 663.289, -47.251, 66.533)","(178.963, 662.246, -74.915, 38.992)","(140.0, 650.969, -12.391, -85.657)","(124.92, 605.203, -9.941, -0.488)","(114.997, 562.29, -54.621, -31.464)","(96.221, 518.317, -25.48, -86.531)","(87.208, 475.441, 0.007, -78.077)","(76.541, 437.906, 34.772, -50.47)","(72.282, 397.83, -31.925, -33.943)","(41.921, 382.396, -27.551, 20.193)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(313.84, 171.443, 71.251, 25.928)","(341.319, 166.212, 9.413, -8.377)","(372.668, 166.095, -13.799, -31.735)","(398.925, 167.731, 56.162, 37.985)","(426.636, 167.739, 68.009, -2.932)","(449.635, 167.843, 48.156, -14.452)","(474.515, 166.176, 72.009, -24.321)","(498.714, 167.008, 37.119, 20.237)","(515.664, 168.258, 14.936, 17.659)","(535.78, 168.085, 10.589, 15.696)","(547.402, 167.3, -28.141, -4.155)","(563.153, 179.408, -22.692, 49.632)","(579.397, 190.405, 84.66, 18.757)","(618.946, 209.932, 38.295, 64.892)","(642.497, 205.018, 65.692, -21.89)","(662.852, 199.176, 32.928, 37.869)","(691.051, 201.808, 4.147, 22.79)","(715.863, 197.615, -19.781, -38.377)","(732.856, 199.293, -12.673, -16.955)","(754.087, 197.17, 30.605, -25.213)","(776.148, 178.668, -43.907, -38.365)","(780.129, 143.006, 18.782, -89.51)","(784.783, 110.601, -45.385, -61.866)","(760.797, 99.588, -77.526, 0.639)","(728.425, 100.599, 0.682, -8.358)","(706.34, 113.642, 4.401, 4.089)","(705.614, 113.529, 35.53, 28.234)","(707.208, 111.707, 14.905, -41.944)","(694.083, 100.757, -43.182, 5.327)","(653.234, 99.616, -94.266, 57.411)","(630.14, 105.757, 3.217, 9.175)","(591.742, 95.182, -72.718, -1.645)","(546.74, 92.128, -90.577, -4.379)","(505.575, 96.77, -13.557, 48.831)","(471.065, 93.488, -38.911, -19.572)","(438.081, 96.05, -74.402, 32.734)","(407.99, 94.128, 19.007, 42.265)","(368.937, 89.721, -95.052, 5.945)","(328.984, 91.396, -9.196, 24.93)","(294.668, 91.238, -5.198, -36.657)","(253.57, 87.316, -51.559, -8.871)","(216.522, 83.205, -60.077, 53.178)"
6,"(711.438, 247.398, 88.41, -31.993)","(759.047, 222.029, 32.794, -39.838)","(783.779, 180.65, 41.896, -71.248)","(802.995, 132.124, -28.923, -52.645)","(777.313, 87.97, -90.2, -40.693)","(740.008, 76.361, -97.806, 20.027)","(688.521, 75.644, -88.118, -38.728)","(634.881, 83.848, -92.962, 40.623)","(593.331, 77.486, -81.731, 12.833)","(550.428, 78.399, -55.072, -52.54)","(499.545, 74.569, -76.425, -40.795)","(454.182, 80.911, -42.35, -55.685)","(409.742, 82.019, -20.251, 40.962)","(357.543, 79.259, -75.671, -55.471)","(309.274, 79.587, -76.018, -43.162)","(259.203, 78.806, -48.696, 17.028)","(210.265, 81.195, -40.794, 52.512)","(171.046, 76.678, -96.054, 25.234)","(135.721, 93.922, -81.215, -3.085)","(113.053, 136.205, 35.692, 49.987)","(105.67, 175.991, 25.134, 6.988)","(94.88, 223.219, -23.612, 60.16)","(91.351, 264.085, 42.165, 79.28)","(81.503, 304.96, -40.172, 43.445)","(76.298, 338.885, 12.339, -8.832)","(51.571, 367.827, -89.077, 61.766)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
7,"(392.544, 398.303, 28.456, 6.824)","(424.495, 391.923, 22.25, -53.305)","(451.664, 384.941, 87.327, -10.113)","(479.031, 375.424, 42.852, -6.612)","(506.827, 358.865, 53.023, -3.679)","(535.534, 343.809, 29.934, -55.227)","(572.116, 336.294, 2.832, -17.554)","(601.319, 317.544, -14.671, -28.548)","(628.341, 311.473, 17.4, -44.444)","(651.99, 289.687, 40.112, -60.646)","(677.467, 281.618, 2.896, 7.151)","(708.591, 265.05, -8.724, 1.788)","(736.404, 257.068, 75.953, 37.321)","(755.384, 251.144, -9.098, -42.458)","(777.144, 240.506, 13.219, 6.049)","(791.822, 235.67, 54.8, -10.809)","(798.522, 217.413, 25.155, 11.061)","(809.138, 183.297, 8.678, -62.65)","(811.66, 159.772, -35.72, 0.633)","(818.939, 131.689, 49.727, -25.15)","(809.031, 98.117, -26.14, -22.245)","(790.708, 82.33, -51.912, 16.193)","(739.556, 79.254, -11.943, 25.652)","(701.817, 82.128, -15.287, 19.986)","(659.269, 82.879, -53.386, 44.251)","(621.692, 84.074, -57.766, -20.229)","(582.292, 81.295, -13.665, -46.204)","(535.042, 87.188, -37.18, -31.38)","(494.434, 85.152, -88.737, 23.444)","(446.852, 78.95, -57.095, -31.305)","(404.351, 73.263, -64.952, -13.743)","(361.48, 67.325, -73.175, 51.303)","(320.356, 68.943, -6.257, 15.787)","(286.131, 67.213, -60.891, 24.202)","(247.636, 72.363, -32.908, 1.546)","(212.482, 73.181, -15.021, -55.639)","(174.388, 65.594, -80.039, -30.72)","(137.837, 72.626, -45.812, -13.815)","(107.001, 113.102, 13.289, 59.741)","(83.669, 157.831, -22.593, 61.188)","(73.853, 198.525, -52.918, 69.263)","(67.868, 241.599, -10.673, 44.946)"
8,"(443.921, 330.742, 76.12, -56.344)","(482.295, 327.123, -15.039, 3.222)","(513.513, 319.841, 82.472, 25.454)","(543.408, 311.565, 22.942, -22.817)","(583.98, 304.164, 57.274, 2.241)","(630.201, 296.522, 26.735, -51.737)","(657.605, 285.687, 86.608, 3.171)","(694.657, 263.231, 50.968, 3.507)","(716.87, 252.659, 11.062, -37.864)","(730.831, 239.941, 24.425, 11.121)","(752.74, 230.323, 42.457, -71.264)","(776.523, 212.611, 16.253, -49.363)","(779.384, 173.724, -24.302, -88.181)","(772.443, 119.622, 36.101, -10.686)","(767.025, 94.924, -69.117, 48.759)","(718.789, 98.136, -29.604, 60.189)","(681.659, 96.477, 13.735, 21.583)","(652.319, 102.816, -20.009, -23.378)","(604.169, 96.602, -100.127, 37.922)","(544.0, 88.47, -53.536, -32.747)","(494.722, 87.632, -88.52, 43.652)","(449.002, 91.335, -0.53, 52.475)","(406.008, 92.634, -50.06, -16.246)","(364.747, 93.993, -38.934, -3.538)","(321.126, 99.508, -79.64, 42.196)","(277.361, 97.261, -25.098, -11.256)","(229.204, 96.339, -19.612, 4.285)","(188.078, 96.429, 7.173, 61.454)","(159.616, 92.02, -90.003, 29.025)","(126.536, 123.139, 42.239, 28.321)","(125.153, 175.719, 3.358, 88.215)","(115.216, 221.802, -30.181, 24.433)","(109.027, 257.793, 45.529, 79.176)","(105.241, 293.239, -4.188, 74.633)","(98.989, 324.978, -44.545, 49.146)","(93.602, 355.321, 32.192, 49.505)","(76.027, 375.564, -15.489, -26.413)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
9,"(663.657, 177.82, 90.096, 20.613)","(692.385, 167.393, 21.066, -0.295)","(722.247, 168.765, 55.346, 38.233)","(742.587, 176.475, -24.585, 34.759)","(751.659, 182.49, 71.929, 32.677)","(773.452, 184.756, -37.62, -22.611)","(789.872, 155.078, 54.621, -87.495)","(797.483, 115.792, 49.716, -22.399)","(774.567, 87.096, -61.691, 39.53)","(726.889, 90.663, 3.432, -35.113)","(682.984, 103.431, -75.909, 40.6)","(639.844, 108.013, -27.531, -44.058)","(595.035, 101.756, -83.543, -27.748)","(558.102, 100.956, -50.875, 26.733)","(518.62, 92.192, 3.037, 14.01)","(474.061, 93.633, -65.573, 48.38)","(438.993, 89.417, 0.188, -40.033)","(397.977, 82.945, -60.364, 20.186)","(351.937, 79.97, -37.297, 20.202)","(311.503, 81.227, -39.654, -20.979)","(269.797, 85.005, -53.386, 18.677)","(229.18, 84.494, -73.442, 28.353)","(194.034, 79.264, 2.341, 34.33)","(149.255, 75.271, -14.235, -57.44)","(123.019, 113.654, 7.198, 75.2)","(115.274, 168.121, 14.714, 32.299)","(109.74, 211.8, 28.817, -4.072)","(103.632, 257.935, -10.54, 89.99)","(86.129, 312.107, -41.02, 42.811)","(74.97, 344.325, -35.91, 88.334)","(50.018, 358.106, -78.744, -30.289)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
