,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,"(487.586, 415.554, None, None)","(534.066, 401.287, None, None)","(585.866, 409.411, None, None)","(627.935, 417.766, None, None)","(683.882, 429.672, None, None)","(726.652, 457.335, None, None)","(757.407, 502.012, None, None)","(774.911, 546.172, None, None)","(758.483, 580.144, None, None)","(764.625, 613.386, None, None)","(745.375, 640.325, None, None)","(695.769, 649.199, None, None)","(639.869, 658.558, None, None)","(582.734, 661.291, None, None)","(547.501, 662.976, None, None)","(493.437, 657.501, None, None)","(441.248, 653.676, None, None)","(384.863, 661.862, None, None)","(328.226, 662.508, None, None)","(271.232, 667.357, None, None)","(214.316, 668.316, None, None)","(157.689, 660.285, None, None)","(121.857, 626.086, None, None)","(130.256, 570.88, None, None)","(103.303, 522.909, None, None)","(89.381, 467.429, None, None)","(77.997, 439.911, None, None)","(51.946, 403.432, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(26.284, 396.081, None, None)","(32.936, 376.191, None, None)"
1,"(654.355, 338.359, 7.925, -35.314)","(686.389, 304.794, 69.227, -14.312)","(722.143, 273.348, -10.908, -0.671)","(750.839, 241.179, 2.04, -30.509)","(780.704, 216.209, -23.956, -34.286)","(809.415, 191.025, 26.729, -37.118)","(821.08, 155.197, -43.886, -1.169)","(816.22, 124.048, -16.602, -84.106)","(795.131, 78.982, -23.514, -86.404)","(749.819, 56.223, -47.26, -38.124)","(695.1, 61.065, -76.593, -25.382)","(653.921, 69.791, -58.594, -35.342)","(603.646, 68.506, -90.15, -41.17)","(563.348, 61.01, -16.353, 27.726)","(519.782, 61.591, -94.551, -25.638)","(480.434, 62.445, -69.95, 54.083)","(433.378, 69.815, -53.881, 32.377)","(385.785, 68.153, -79.051, -7.257)","(345.779, 68.36, -23.807, 30.722)","(302.584, 71.456, -72.603, 53.646)","(258.715, 70.953, -75.3, 16.117)","(213.199, 74.073, 11.177, 40.749)","(175.412, 79.398, 12.51, -48.838)","(131.276, 83.543, -10.689, 60.898)","(97.861, 119.332, -68.006, 59.696)","(77.355, 155.029, 10.418, 16.936)","(72.629, 193.435, 29.689, 95.229)","(67.18, 233.06, -6.945, -8.037)","(64.277, 271.771, -4.794, 2.619)","(64.422, 307.439, 26.437, 46.328)","(65.545, 341.732, 56.672, 70.047)","(44.941, 364.445, -50.46, 4.814)","(None, None, None, None)","(None, None, None, None)"
2,"(352.651, 250.033, 73.035, 33.801)","(383.023, 243.135, 50.553, 7.884)","(417.872, 231.456, 50.97, 42.84)","(460.047, 228.211, 59.946, -63.767)","(497.497, 216.929, 89.696, -40.842)","(527.731, 220.668, 78.364, -6.519)","(555.285, 221.179, -6.175, -39.426)","(589.584, 219.278, 20.376, -56.782)","(613.194, 221.111, 40.144, 40.333)","(646.513, 215.399, 20.45, 10.636)","(672.974, 217.707, 80.401, 55.235)","(697.258, 222.557, -7.412, -11.227)","(728.072, 217.429, 24.954, -17.515)","(747.359, 206.209, 34.428, -47.915)","(762.882, 202.368, -8.126, 41.384)","(776.313, 168.99, -12.821, -67.478)","(775.175, 129.482, 44.527, 5.076)","(775.617, 99.708, -15.305, -8.271)","(769.806, 85.021, -8.752, 8.903)","(716.933, 76.912, -92.267, 44.161)","(675.862, 74.93, -24.149, 16.257)","(639.938, 73.099, -8.031, 5.511)","(594.138, 83.278, -23.903, 43.171)","(550.763, 84.908, -8.28, 37.927)","(504.965, 86.959, -49.099, -21.465)","(457.756, 92.994, -25.335, -10.925)","(416.679, 97.872, -65.348, -25.175)","(374.695, 100.177, -52.467, 41.069)","(333.018, 97.567, -54.802, 22.769)","(299.822, 92.964, -4.703, -43.745)","(265.351, 100.663, -51.22, 48.2)","(238.995, 94.999, 2.772, -25.299)","(206.706, 87.394, -43.869, -19.828)","(159.15, 84.032, -61.199, 28.065)"
3,"(571.362, 524.321, 52.212, 56.541)","(615.997, 530.795, 18.272, 13.14)","(666.987, 542.658, 86.049, 56.74)","(698.376, 551.751, 4.55, 39.613)","(724.272, 558.594, 41.064, -21.472)","(750.906, 564.216, 16.151, 48.479)","(777.517, 564.916, 51.266, 26.705)","(776.505, 614.985, -49.322, 60.299)","(778.372, 653.996, -52.535, -31.836)","(730.192, 658.202, -36.186, 22.585)","(690.451, 641.089, 2.05, 32.247)","(639.756, 636.18, -16.692, -3.54)","(598.08, 637.631, -104.644, -18.617)","(570.024, 636.173, -15.878, -20.21)","(548.235, 636.065, -78.537, -11.374)","(524.513, 637.39, -74.35, 29.04)","(496.048, 636.842, -1.357, 25.365)","(445.175, 636.922, -42.438, -18.818)","(402.342, 637.832, -69.811, 37.387)","(363.172, 641.319, -7.384, 13.692)","(319.393, 640.366, -5.923, -10.695)","(272.577, 639.233, -34.495, 6.163)","(227.747, 650.626, 5.766, 29.321)","(181.456, 659.248, -96.751, -15.631)","(145.22, 658.196, 27.03, -84.759)","(123.712, 618.736, -68.396, -47.805)","(107.865, 581.411, 12.685, -51.689)","(99.611, 539.188, 9.483, 8.358)","(92.494, 496.086, 7.47, -8.15)","(76.976, 460.141, -31.64, -82.732)","(71.496, 435.494, -26.143, -71.551)","(70.675, 408.951, 8.73, -61.062)","(78.108, 395.192, 42.211, 4.807)","(49.6, 390.272, -68.002, 31.671)"
4,"(369.947, 523.966, 93.59, 35.245)","(417.502, 527.4, 85.327, 22.746)","(452.126, 526.235, 67.587, 22.869)","(488.356, 519.828, 48.918, 30.094)","(522.674, 521.972, 51.189, 30.584)","(559.993, 523.313, 30.799, -6.75)","(594.0, 522.357, 12.118, -5.01)","(619.422, 520.007, 24.864, 32.206)","(651.328, 519.481, 11.455, 8.095)","(683.104, 529.369, 15.691, 33.391)","(707.182, 541.745, 17.192, 2.782)","(734.246, 542.103, -14.666, -12.734)","(754.805, 538.534, -25.152, -18.655)","(775.298, 541.656, -7.512, 76.304)","(781.716, 578.425, -11.276, 80.322)","(784.051, 623.483, 31.043, 29.862)","(791.79, 654.824, -45.34, 46.477)","(760.913, 664.556, 12.688, 27.106)","(710.617, 676.475, -54.503, 42.594)","(673.634, 675.867, -63.838, -43.163)","(641.308, 671.32, -22.735, 0.541)","(614.646, 675.218, -56.543, 23.162)","(570.262, 680.373, -52.885, -27.535)","(524.84, 680.044, -38.192, 6.267)","(482.614, 679.688, -63.446, -12.417)","(447.478, 680.044, -20.761, 0.724)","(407.418, 676.8, -43.488, 27.978)","(371.134, 679.291, 18.863, -44.836)","(335.39, 675.033, -68.439, -29.275)","(297.873, 672.308, -82.639, -3.114)","(255.853, 675.257, -41.734, 31.68)","(215.999, 670.493, -86.477, -28.795)","(171.628, 670.816, -6.761, -36.51)","(135.006, 647.047, -29.236, -7.41)"
5,"(313.03, 305.492, 36.485, -57.772)","(363.565, 299.362, 81.478, -36.007)","(394.319, 292.709, -10.034, -62.057)","(424.948, 281.729, 3.34, -54.012)","(459.717, 273.98, -24.577, -27.523)","(494.737, 271.03, 38.269, 56.767)","(531.156, 271.323, -10.296, -13.107)","(560.569, 267.222, 60.402, 18.021)","(586.314, 257.782, -13.945, 23.983)","(620.387, 260.919, 68.859, 22.738)","(645.747, 255.58, -7.419, 28.685)","(666.921, 251.886, 19.478, -0.373)","(694.712, 248.144, -17.126, -1.085)","(720.17, 235.64, 96.234, -56.771)","(738.157, 230.797, 34.888, -32.204)","(765.061, 223.288, 3.654, -10.91)","(778.169, 206.815, -48.116, -27.993)","(785.806, 164.688, 33.899, -54.32)","(770.149, 131.404, 9.421, -65.385)","(765.879, 119.533, 23.864, -31.457)","(773.088, 96.456, -21.411, 12.661)","(715.014, 92.672, -15.537, 22.052)","(692.942, 100.637, 18.122, 0.182)","(676.985, 102.843, -32.903, -13.087)","(623.157, 99.287, -74.373, -12.67)","(600.599, 106.873, -42.251, -28.908)","(573.207, 97.711, -80.199, 31.213)","(525.614, 96.517, -30.219, -4.707)","(481.701, 95.378, -73.854, -41.242)","(436.441, 98.505, -89.284, 54.439)","(400.258, 98.269, -11.949, -30.787)","(357.775, 96.973, -33.748, 34.766)","(314.772, 90.206, -29.414, -25.155)","(282.426, 94.815, -11.435, 5.822)"
6,"(504.962, 241.154, 82.961, -8.904)","(548.711, 238.679, 26.949, -33.216)","(582.139, 229.155, 7.29, 23.917)","(619.764, 210.459, 74.855, -25.002)","(653.029, 204.803, -19.028, 1.565)","(678.396, 187.704, -10.444, -16.194)","(702.866, 179.857, 39.771, 39.784)","(728.947, 185.811, -16.356, -53.135)","(757.561, 185.583, 39.047, 26.763)","(777.497, 169.405, -17.336, -12.864)","(763.911, 118.344, -62.248, 12.04)","(746.723, 108.774, 5.565, -26.121)","(742.206, 107.758, -17.374, 1.511)","(744.181, 107.574, 30.333, -28.949)","(746.608, 108.169, -7.168, 37.954)","(747.399, 111.912, 40.217, 1.802)","(747.459, 109.745, -48.515, -46.593)","(751.061, 104.261, 6.639, 22.504)","(747.575, 104.558, -23.302, 14.706)","(748.043, 100.962, 8.984, -9.61)","(753.248, 104.983, 21.306, 28.268)","(755.835, 106.39, 29.574, -5.455)","(750.533, 94.481, 34.47, -16.535)","(753.632, 95.019, -23.643, -29.162)","(755.22, 88.559, -14.63, 49.451)","(749.666, 93.97, -44.787, -1.48)","(771.53, 82.12, 50.681, -52.667)","(732.273, 77.287, 28.653, 20.111)","(700.074, 72.476, 13.501, -54.937)","(658.456, 71.983, -46.206, 5.76)","(619.472, 66.636, -1.549, -37.698)","(582.189, 63.927, -84.257, 0.62)","(543.904, 62.084, -5.449, -57.981)","(503.973, 64.189, 3.02, -59.014)"
7,"(280.278, 566.1, 60.111, -10.988)","(311.569, 559.184, 75.351, 48.922)","(347.181, 556.782, 25.621, 10.888)","(373.022, 556.448, -26.231, -8.58)","(408.68, 554.945, 61.252, 31.613)","(446.505, 551.977, -2.511, -23.326)","(473.166, 561.743, 60.7, 37.634)","(499.637, 558.396, 21.018, 21.154)","(534.13, 554.672, 47.721, 46.287)","(556.478, 556.968, 27.424, 10.913)","(583.604, 553.777, -22.886, 46.393)","(608.268, 546.747, 59.373, -34.87)","(642.48, 552.212, 24.206, 34.473)","(687.811, 556.04, 63.981, -30.61)","(718.557, 560.205, 63.812, -38.28)","(740.823, 560.158, 75.085, -23.887)","(771.215, 551.923, 45.493, -9.237)","(766.822, 588.081, -45.632, 27.003)","(764.058, 621.331, -17.539, 53.186)","(778.944, 655.501, 75.301, -11.429)","(735.953, 661.808, -22.991, -7.095)","(691.627, 646.887, -7.495, -7.079)","(645.686, 637.43, -51.205, 9.23)","(600.98, 638.152, -27.727, 26.931)","(565.379, 636.604, 1.169, -11.516)","(526.934, 643.551, -76.017, 45.167)","(487.03, 645.163, 17.643, -27.733)","(445.761, 651.293, 5.074, 55.971)","(408.853, 650.948, -67.953, 39.716)","(368.279, 657.449, -35.089, -31.457)","(330.48, 660.318, -83.121, 23.052)","(296.129, 667.857, -56.127, 33.408)","(257.113, 670.527, -19.465, 18.686)","(223.703, 670.45, -15.878, 24.837)"
8,"(455.302, 338.86, 54.971, -52.687)","(491.896, 334.938, 21.084, 46.239)","(524.316, 335.341, 63.226, -14.767)","(553.169, 332.022, 42.829, -0.942)","(580.451, 326.149, 10.312, 13.731)","(608.162, 321.606, -8.419, -43.892)","(638.538, 315.267, 35.134, -8.909)","(665.356, 307.609, 13.276, -49.015)","(693.289, 299.512, 32.721, -57.428)","(715.722, 289.445, -3.783, -35.093)","(732.22, 287.394, 2.124, 7.124)","(755.963, 281.729, -20.404, 10.504)","(774.925, 276.184, 10.223, 12.082)","(786.447, 266.558, 19.138, 3.842)","(794.044, 256.806, 57.238, -38.835)","(803.675, 250.357, -42.958, 17.358)","(801.379, 230.315, 45.322, -39.121)","(799.504, 198.812, 45.807, -97.786)","(804.245, 167.294, -7.41, -89.054)","(797.22, 134.314, -11.622, -66.057)","(791.711, 91.642, -73.497, -46.046)","(760.249, 74.191, -49.167, -23.097)","(726.034, 61.264, -76.068, -49.486)","(681.511, 59.667, -16.909, -34.863)","(645.023, 63.678, -0.757, 3.302)","(600.098, 60.774, -84.018, 55.225)","(549.545, 60.375, -46.969, 14.555)","(501.903, 63.044, -86.697, -9.279)","(460.803, 64.929, -38.117, -43.345)","(405.17, 62.378, -14.699, 41.978)","(363.821, 64.839, -12.185, 51.258)","(328.118, 64.668, -28.413, 16.699)","(290.11, 60.962, -29.45, -55.606)","(257.697, 61.636, 9.056, 13.226)"
9,"(575.65, 367.16, 74.516, -59.521)","(603.04, 347.244, 45.254, -42.842)","(637.598, 324.772, 17.682, 8.664)","(675.735, 303.986, 5.565, -50.115)","(704.415, 286.194, 45.32, -65.895)","(727.022, 269.321, 8.355, 26.147)","(747.012, 244.705, -1.36, -69.276)","(769.872, 228.211, 60.148, -11.878)","(792.816, 204.412, 1.149, -34.269)","(806.025, 184.868, -68.855, -44.959)","(810.893, 160.819, 14.65, -46.662)","(809.167, 116.434, 36.431, -23.927)","(809.865, 84.692, 17.494, 31.623)","(795.668, 60.418, -81.59, -55.045)","(761.343, 56.889, -54.979, 14.559)","(714.259, 54.221, -23.418, -56.185)","(669.157, 56.384, -14.97, 26.904)","(623.82, 57.576, -10.66, 24.441)","(576.439, 59.383, -102.151, 45.201)","(531.933, 61.213, -64.885, -43.823)","(484.828, 56.561, -5.26, -19.76)","(443.201, 62.066, -7.412, 3.833)","(402.83, 63.093, -69.934, -21.995)","(363.838, 56.6, 5.523, 18.232)","(323.933, 63.996, -12.271, -48.441)","(279.093, 66.855, -20.784, 25.362)","(244.35, 69.044, 16.106, -44.169)","(202.83, 76.592, -93.127, -23.463)","(160.095, 82.236, -32.208, -6.286)","(127.76, 123.102, -45.569, 20.719)","(115.792, 167.813, -57.415, 23.068)","(103.776, 211.061, -56.841, 11.096)","(89.861, 253.187, 43.461, 51.202)","(79.225, 292.237, -16.448, 77.212)"
