,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,"(462.867, 381.239, None, None)","(514.337, 406.194, None, None)","(548.65, 422.83, None, None)","(581.637, 439.981, None, None)","(627.092, 472.688, None, None)","(674.143, 501.601, None, None)","(719.902, 525.665, None, None)","(762.382, 563.938, None, None)","(778.001, 616.281, None, None)","(741.576, 657.528, None, None)","(684.969, 664.499, None, None)","(628.288, 662.518, None, None)","(571.773, 659.144, None, None)","(514.715, 663.042, None, None)","(457.522, 663.761, None, None)","(400.356, 662.909, None, None)","(343.209, 665.389, None, None)","(286.063, 667.869, None, None)","(260.347, 668.985, None, None)","(205.112, 670.282, None, None)","(158.445, 658.133, None, None)","(136.711, 605.272, None, None)","(120.068, 550.547, None, None)","(105.089, 501.294, None, None)","(95.425, 473.365, None, None)","(76.008, 419.752, None, None)","(33.717, 383.382, None, None)"
1,"(744.825, 321.215, 6.461, -97.935)","(773.048, 282.598, -14.756, -66.498)","(793.332, 244.424, 22.541, 14.502)","(811.842, 198.942, 57.396, -31.256)","(820.064, 145.174, 50.235, -48.538)","(812.01, 108.699, -16.487, -115.224)","(787.693, 71.171, -70.621, -73.832)","(746.722, 61.11, -108.197, -17.534)","(691.575, 68.368, -28.765, -29.875)","(647.004, 67.32, -51.929, 2.923)","(602.686, 63.246, -45.569, -17.041)","(555.186, 62.244, -48.439, -38.288)","(513.082, 60.363, -84.76, -19.187)","(460.393, 60.082, -73.128, -48.741)","(407.959, 65.569, -20.782, 19.591)","(359.173, 68.677, -13.918, 43.366)","(307.64, 72.703, -25.712, 13.026)","(260.421, 74.773, -88.056, -6.009)","(217.21, 78.262, 2.99, -14.421)","(175.888, 79.88, -13.171, -47.123)","(131.997, 99.116, -59.135, 15.862)","(108.026, 145.186, -53.795, 17.145)","(102.919, 189.005, 33.928, 23.627)","(93.907, 228.198, -58.155, 35.813)","(88.838, 272.414, -18.091, 61.256)","(82.647, 316.617, 3.627, 39.284)","(79.802, 350.154, -28.111, 50.217)"
2,"(709.243, 456.505, 17.651, -27.224)","(724.971, 420.443, 15.849, -56.457)","(745.928, 388.809, -9.884, -56.747)","(760.234, 357.161, 26.545, -74.97)","(771.348, 328.617, 14.907, -58.695)","(779.478, 294.853, 6.784, -41.621)","(785.969, 271.329, 17.306, -37.61)","(783.853, 246.113, 38.421, -44.185)","(790.011, 213.895, 51.662, -99.789)","(795.332, 171.951, 56.373, -78.142)","(800.256, 126.377, 30.938, -85.822)","(801.845, 90.579, 1.787, -26.842)","(788.561, 67.145, 22.792, -66.473)","(748.55, 60.406, -29.294, 43.927)","(700.679, 59.779, -48.544, -14.443)","(654.941, 67.307, -79.483, 47.015)","(608.71, 62.685, -57.041, 58.816)","(565.937, 56.792, -24.356, -9.558)","(527.497, 64.386, -81.428, 2.087)","(483.073, 59.362, -45.358, 28.129)","(436.09, 66.628, -78.797, 20.509)","(389.903, 70.969, -84.675, -8.702)","(349.503, 69.775, -6.665, -32.467)","(308.022, 67.34, -16.534, 23.238)","(264.199, 69.181, -52.773, -43.275)","(228.299, 69.082, -30.901, -2.239)","(186.328, 68.886, -9.895, 40.953)"
3,"(650.087, 343.008, 37.912, 9.894)","(685.459, 317.175, -8.684, 14.762)","(717.013, 286.789, 21.035, -67.003)","(749.674, 262.006, 69.068, -43.16)","(780.87, 238.129, 29.579, 4.63)","(798.102, 212.376, 57.07, 0.142)","(816.502, 190.603, -21.793, -53.368)","(809.147, 158.808, 16.42, -60.127)","(810.016, 109.261, -15.802, -91.961)","(802.256, 73.959, -61.328, -64.813)","(768.661, 54.926, -62.971, -0.261)","(722.359, 56.259, -29.108, 12.919)","(669.624, 69.641, -11.423, 29.59)","(619.671, 67.752, -88.431, -61.707)","(577.635, 60.512, -18.837, 10.306)","(532.956, 62.382, -11.722, 36.938)","(492.557, 62.396, -84.282, 45.592)","(449.588, 59.236, -11.094, 27.594)","(400.949, 63.563, -82.42, 39.536)","(358.852, 68.986, -45.734, 34.833)","(315.958, 74.871, -46.911, -24.74)","(271.782, 83.099, -64.321, 40.262)","(228.218, 91.027, -27.069, 26.398)","(186.283, 96.405, -15.896, -27.229)","(133.13, 93.782, -68.434, 66.444)","(109.538, 139.322, 22.354, 19.291)","(98.803, 174.36, 25.243, 37.319)"
4,"(718.32, 581.065, 20.903, 31.561)","(751.595, 577.888, 73.786, 23.936)","(773.059, 562.736, -17.572, -79.639)","(772.185, 603.641, -24.137, 0.126)","(779.695, 638.737, -23.44, 70.904)","(757.995, 649.758, -65.188, -30.053)","(704.334, 640.326, 5.43, -55.634)","(667.636, 638.847, -93.412, 45.762)","(640.121, 637.272, -54.307, -23.341)","(599.448, 638.214, -32.174, 35.252)","(556.386, 636.444, -6.848, 3.005)","(525.882, 636.773, -25.374, 25.125)","(494.016, 636.431, -55.227, -11.808)","(456.247, 636.438, 10.126, 15.255)","(431.54, 636.487, -51.509, -21.351)","(395.028, 636.512, -21.305, -19.493)","(373.088, 636.235, -44.958, -21.961)","(336.949, 637.644, -56.664, -39.239)","(300.111, 637.869, 12.893, -34.206)","(264.77, 639.084, -33.118, -39.186)","(235.861, 649.153, -20.865, -14.166)","(220.758, 659.889, 11.385, 66.88)","(192.194, 671.206, -47.594, 57.637)","(141.605, 658.69, -76.987, -38.63)","(115.874, 613.081, -41.401, -41.211)","(111.266, 573.658, 21.245, -18.837)","(98.503, 527.176, 14.968, 7.908)"
5,"(302.475, 450.16, 70.811, 36.633)","(333.596, 440.931, 80.904, 31.03)","(362.143, 429.886, 0.912, -63.286)","(384.083, 413.236, 47.444, 3.299)","(410.419, 398.36, 60.433, 21.53)","(436.916, 377.927, 31.397, 23.385)","(465.55, 354.958, -1.718, 23.676)","(501.633, 338.37, 1.828, -72.65)","(532.448, 321.109, 44.746, -6.048)","(563.056, 309.593, 43.556, -51.342)","(595.682, 299.424, 59.849, -24.935)","(630.963, 281.803, 75.428, -32.725)","(659.219, 274.446, -12.447, -3.48)","(684.645, 269.151, 30.322, 39.655)","(713.84, 254.908, -16.897, -50.76)","(735.541, 241.378, -6.195, -77.395)","(759.132, 231.986, 65.219, -47.659)","(781.241, 225.694, 39.931, 44.075)","(795.105, 214.43, 30.699, -18.554)","(801.747, 180.025, -1.73, -40.057)","(804.414, 154.288, -49.845, -67.545)","(807.059, 114.998, -45.253, 11.406)","(800.327, 83.151, -27.957, -60.547)","(771.765, 61.426, -30.136, 19.779)","(751.08, 57.096, -2.733, 50.815)","(709.664, 55.365, -41.63, 8.614)","(675.759, 54.536, -22.422, -38.348)"
6,"(396.048, 373.151, 71.503, 17.489)","(438.587, 359.272, 83.831, 12.684)","(480.887, 346.789, 59.64, -3.715)","(527.068, 332.41, 28.58, -70.146)","(567.606, 315.331, -12.399, -65.076)","(600.623, 307.576, 22.91, -7.259)","(628.561, 292.146, -4.318, -33.201)","(656.803, 278.417, 13.534, -29.761)","(684.22, 263.869, 53.948, -33.838)","(704.756, 253.009, 79.792, -34.415)","(735.18, 245.455, -9.083, -23.465)","(766.034, 232.434, 25.587, -36.563)","(793.551, 208.824, 54.503, -17.593)","(793.925, 169.213, 26.759, -97.042)","(788.309, 130.642, 29.105, -92.15)","(780.678, 92.058, 35.166, -23.816)","(736.012, 62.983, -6.958, -50.551)","(690.79, 73.036, -15.329, -19.022)","(642.922, 71.244, -71.195, -8.393)","(601.8, 71.847, -22.392, 11.043)","(560.927, 78.991, 18.288, -11.409)","(524.755, 83.957, -43.271, -12.162)","(489.41, 83.355, -74.138, -49.183)","(449.019, 85.674, -64.765, 10.004)","(407.652, 89.078, -82.68, 12.575)","(363.189, 87.986, 3.395, 6.071)","(327.276, 92.824, 8.04, -47.167)"
7,"(692.837, 188.859, 99.754, 1.122)","(748.73, 189.955, 60.577, 43.263)","(775.361, 173.224, -26.518, -86.391)","(771.919, 105.534, 67.686, -11.45)","(730.126, 79.824, -28.151, -33.544)","(671.488, 81.15, -35.346, 23.074)","(620.295, 82.729, -90.245, 27.455)","(564.084, 78.628, -36.18, -58.26)","(511.779, 79.495, -55.784, -50.053)","(460.589, 79.744, -32.268, 29.116)","(413.417, 83.129, -21.981, -44.745)","(361.333, 82.917, -56.287, 25.045)","(304.813, 83.698, -104.523, 42.241)","(254.048, 81.091, -88.516, -2.789)","(205.974, 79.855, -81.562, 35.858)","(165.723, 79.581, -67.712, -5.067)","(130.243, 106.79, -28.637, 77.057)","(106.08, 144.406, -24.883, 29.093)","(99.531, 188.673, -47.388, 14.691)","(91.416, 236.231, -22.014, 41.833)","(84.977, 286.328, 40.527, 37.928)","(74.909, 330.102, -30.583, 12.828)","(54.109, 368.798, -44.449, -26.839)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
8,"(558.375, 337.778, 78.697, -32.345)","(598.286, 308.491, -12.369, 24.178)","(632.373, 285.588, 76.406, -7.296)","(664.997, 265.419, -6.813, -10.635)","(696.82, 244.741, 21.019, -8.367)","(717.748, 230.235, 29.076, -26.681)","(735.818, 215.374, 35.123, 13.543)","(764.096, 207.208, 1.874, 45.669)","(777.004, 189.524, 31.934, -62.571)","(782.258, 142.986, 19.243, -16.532)","(759.849, 119.195, -15.8, -51.155)","(752.549, 109.895, -25.391, 8.519)","(750.693, 100.928, -26.39, -33.989)","(763.024, 87.812, -44.569, -43.011)","(742.891, 68.242, -6.828, 33.911)","(698.601, 71.353, -72.307, -2.673)","(648.698, 72.65, -96.12, 2.972)","(609.234, 70.48, -11.523, 19.726)","(566.173, 72.521, -18.898, 40.202)","(519.808, 66.154, -71.105, 14.044)","(479.212, 60.354, -99.333, 10.028)","(430.962, 60.028, -25.299, -20.186)","(385.697, 62.645, 0.086, 18.169)","(346.198, 62.173, -43.583, -11.796)","(305.775, 63.25, -31.531, -55.309)","(264.846, 64.368, -72.938, 11.512)","(234.481, 64.25, -5.162, 3.789)"
9,"(312.136, 420.996, 78.406, 25.859)","(347.211, 394.855, 19.296, -80.061)","(380.252, 374.743, 34.65, 35.143)","(408.106, 352.516, 44.255, 20.678)","(439.638, 334.167, 9.338, 37.129)","(467.955, 326.344, 19.818, -8.161)","(513.877, 313.109, 80.611, 44.079)","(554.055, 311.013, 7.528, 36.172)","(586.857, 306.15, -5.047, -24.204)","(622.734, 297.812, 68.887, 16.028)","(654.444, 284.832, 79.038, -31.839)","(686.742, 269.883, 36.163, -39.076)","(708.03, 257.628, -1.256, 41.278)","(737.293, 249.423, 39.514, 27.443)","(754.092, 247.605, -30.263, -18.868)","(778.145, 238.509, 62.215, -36.303)","(788.582, 223.868, 64.008, -40.866)","(797.574, 192.821, 35.238, -75.676)","(799.248, 165.673, -30.137, -48.469)","(800.695, 133.184, 40.61, -7.914)","(803.768, 101.526, -39.523, 25.271)","(778.417, 73.813, -73.445, -49.355)","(739.484, 61.049, -84.004, 14.87)","(704.201, 69.307, -3.828, -9.302)","(663.698, 68.673, -49.158, 19.194)","(627.115, 68.617, -65.54, 6.399)","(589.514, 68.254, -93.079, -20.726)"
