,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,"(450, 375, None, None)","(481.791, 381.321, None, None)","(536.174, 374.476, None, None)","(585.334, 390.202, None, None)","(640.186, 381.801, None, None)","(695.505, 394.798, None, None)","(733.773, 437.238, None, None)","(763.601, 462.279, None, None)","(795.422, 494.28, None, None)","(803.373, 529.19, None, None)","(815.633, 566.408, None, None)","(796.371, 608.487, None, None)","(796.998, 640.894, None, None)","(796.998, 640.894, None, None)","(836.614, 661.453, None, None)","(780.528, 672.689, None, None)","(727.457, 675.926, None, None)","(673.692, 695.281, None, None)","(633.478, 690.992, None, None)","(576.356, 689.813, None, None)","(519.222, 687.072, None, None)","(462.453, 682.422, None, None)","(408.428, 663.629, None, None)","(353.204, 654.146, None, None)","(296.874, 662.818, None, None)","(240.828, 668.147, None, None)","(184.31, 671.106, None, None)","(145.561, 640.71, None, None)","(128.914, 588.8, None, None)","(127.787, 531.701, None, None)","(117.311, 475.485, None, None)","(85.933, 429.954, None, None)","(36.322, 402.23, None, None)"
1,"(417.254, 529.563, 40.621, -13.426)","(450.492, 525.422, 25.028, 6.771)","(491.329, 525.361, 50.037, 2.659)","(532.257, 524.633, 38.934, 0.504)","(569.089, 525.607, 41.751, -15.096)","(603.647, 529.662, 49.025, 5.097)","(636.0, 530.854, 39.523, -6.112)","(669.552, 532.473, 23.553, -0.606)","(700.039, 535.898, 13.314, -12.183)","(724.19, 539.181, 39.812, 19.903)","(746.879, 539.93, 18.785, 14.004)","(772.346, 549.335, -5.604, 29.296)","(786.334, 579.033, 14.704, 33.703)","(790.52, 612.279, -1.689, 11.186)","(792.521, 646.757, 21.725, 34.56)","(753.536, 666.703, -64.491, 22.619)","(707.189, 665.822, -48.612, 1.624)","(668.791, 666.173, -11.356, 1.519)","(636.746, 665.278, -44.89, 3.892)","(598.038, 661.039, -54.534, 8.544)","(563.178, 660.854, -26.039, 24.677)","(521.699, 670.385, -38.391, 13.008)","(478.568, 670.645, -47.817, 8.1)","(437.048, 674.772, -53.051, 6.529)","(392.988, 680.062, -55.983, 5.465)","(352.26, 681.462, -46.559, 11.561)","(312.285, 679.214, -28.045, 7.094)","(273.724, 676.491, -51.251, 14.275)","(237.44, 675.296, -28.735, -0.224)","(202.176, 680.667, -45.369, -6.07)","(158.472, 673.723, -60.009, -21.505)","(124.454, 638.794, -36.376, -36.172)","(109.232, 600.324, 4.644, -50.962)"
2,"(629.63, 468.704, 37.274, -12.847)","(662.887, 474.314, 16.266, -2.908)","(696.002, 481.023, 26.169, -1.477)","(728.927, 493.192, 40.19, 12.157)","(755.165, 505.765, 35.196, -2.836)","(783.556, 519.877, 33.571, 25.141)","(800.397, 538.006, 28.174, 38.073)","(813.783, 567.02, 15.701, 30.428)","(814.611, 600.923, -5.103, 68.049)","(815.769, 643.208, 2.615, 23.598)","(801.649, 671.126, -31.236, 32.068)","(767.862, 690.118, -54.206, -0.521)","(716.886, 692.36, -44.847, -3.73)","(667.69, 689.797, -57.891, -14.436)","(621.62, 689.244, -36.467, -16.515)","(578.867, 684.064, -28.722, 13.973)","(535.58, 682.799, -50.781, 4.936)","(495.365, 679.991, -32.268, -3.155)","(452.359, 679.13, -52.888, -9.802)","(406.85, 680.432, -61.486, 13.669)","(362.094, 678.728, -41.492, -2.93)","(321.346, 673.219, -53.72, -9.741)","(281.688, 670.664, -44.473, -7.371)","(242.826, 670.366, -38.797, -14.277)","(204.841, 669.063, -29.963, 7.754)","(162.685, 666.128, -45.208, 4.781)","(129.485, 640.299, -19.568, -25.653)","(114.162, 598.175, -3.227, -48.627)","(104.964, 557.658, -5.864, -42.363)","(91.421, 518.973, -12.796, -21.254)","(78.986, 483.358, -5.005, -38.98)","(69.415, 461.046, 10.569, -16.059)","(77.628, 440.472, 17.466, -23.801)"
3,"(724.767, 478.434, 34.043, -0.895)","(755.921, 487.721, 36.24, 10.314)","(782.008, 501.459, 11.127, 18.559)","(797.364, 520.832, 23.39, 32.008)","(808.713, 543.856, 30.709, 34.676)","(820.552, 568.584, 18.073, 35.937)","(810.898, 595.548, -9.526, 37.015)","(809.634, 642.033, 0.107, 50.626)","(800.282, 672.174, -38.587, 31.375)","(768.724, 689.133, -32.077, -0.424)","(728.071, 688.856, -44.303, -4.049)","(685.707, 687.977, -34.04, 14.75)","(643.489, 686.958, -61.407, -17.415)","(599.943, 686.026, -46.071, -0.46)","(557.912, 682.394, -44.179, -9.353)","(513.598, 682.529, -46.277, 3.233)","(474.269, 681.872, -55.05, 2.401)","(432.211, 680.484, -46.984, 13.995)","(391.23, 678.17, -54.389, 7.637)","(349.755, 674.891, -30.014, -17.393)","(309.053, 673.404, -36.894, 12.691)","(270.88, 672.347, -30.565, 0.294)","(234.437, 673.161, -40.98, 1.656)","(198.39, 671.272, -23.544, -8.436)","(160.686, 666.184, -32.274, 9.101)","(127.892, 637.666, -30.209, -42.868)","(111.339, 600.178, -1.521, -23.73)","(97.773, 559.131, -31.007, -29.618)","(82.176, 520.224, -17.443, -39.4)","(64.818, 480.729, -28.442, -38.301)","(51.994, 446.357, -6.049, -31.489)","(50.237, 424.84, 11.511, -19.431)","(48.093, 429.149, 1.659, -10.834)"
4,"(476.319, 535.893, 48.396, 18.632)","(521.581, 543.334, 47.199, 16.507)","(562.239, 548.322, 50.399, 6.236)","(601.479, 551.597, 51.751, -5.576)","(639.459, 556.198, 41.413, -10.899)","(674.705, 558.339, 31.423, 1.371)","(709.576, 556.42, 47.068, 7.531)","(743.506, 551.236, 21.61, 12.098)","(770.991, 547.09, 50.285, -13.838)","(772.649, 573.599, -22.961, 42.495)","(762.566, 621.62, 6.621, 24.348)","(766.259, 644.368, -0.91, 3.993)","(767.915, 664.121, -52.871, 13.922)","(724.15, 669.447, -24.566, -16.191)","(683.969, 676.953, -43.404, 19.112)","(641.845, 687.001, -44.99, -0.405)","(605.139, 687.591, -23.108, -10.084)","(565.646, 688.819, -50.345, 7.578)","(521.444, 688.019, -61.118, 13.051)","(477.487, 685.337, -65.038, 13.934)","(430.977, 682.151, -55.059, -5.758)","(388.271, 682.969, -30.131, 14.06)","(342.826, 681.122, -45.893, 4.93)","(300.098, 679.161, -54.351, -14.477)","(256.216, 680.447, -32.829, 1.838)","(212.108, 678.908, -39.898, 3.647)","(161.861, 675.065, -62.051, -26.8)","(117.046, 647.64, -31.919, -27.93)","(89.94, 620.975, -33.352, -44.996)","(74.193, 586.004, -21.085, -24.577)","(62.008, 549.137, -10.422, -48.872)","(53.292, 514.292, -4.329, -44.837)","(46.095, 489.126, 3.892, -17.066)"
5,"(392.612, 241.665, 34.339, -9.119)","(429.483, 230.101, 25.703, -21.736)","(467.294, 219.724, 40.742, -12.278)","(500.302, 209.427, 35.372, -30.334)","(532.927, 198.817, 23.995, -15.422)","(557.52, 192.675, 47.098, -6.418)","(592.851, 194.577, 27.845, 6.906)","(623.855, 195.783, 18.77, -10.185)","(657.109, 194.901, 38.558, -8.196)","(683.314, 183.03, 18.668, -1.277)","(703.536, 168.909, 15.524, 6.278)","(709.986, 166.194, 19.937, 1.159)","(720.829, 166.438, 33.493, 14.335)","(737.843, 167.518, 25.521, 4.475)","(744.253, 179.375, -1.935, 0.789)","(762.291, 185.581, 30.643, 4.663)","(781.012, 174.555, 17.569, -34.413)","(784.696, 139.735, 4.892, -52.698)","(773.683, 122.518, -20.996, -17.823)","(775.573, 113.138, 37.021, -20.24)","(779.517, 98.079, -11.7, 12.478)","(761.519, 98.665, -67.819, 28.667)","(708.313, 99.181, -59.619, -7.331)","(680.53, 96.424, -16.205, -2.853)","(652.889, 91.181, -30.906, -4.562)","(614.869, 81.42, -52.981, -7.488)","(570.096, 94.145, -50.709, 16.112)","(533.026, 99.199, -44.325, 4.13)","(498.762, 98.868, -35.032, 8.72)","(458.651, 99.712, -17.296, 0.882)","(418.571, 98.409, -36.114, -9.525)","(379.978, 97.531, -57.349, -9.405)","(340.871, 98.257, -29.13, -7.625)"
6,"(511.858, 419.11, 43.566, -10.97)","(548.361, 398.755, 44.072, -16.172)","(583.176, 375.777, 49.914, -36.991)","(614.584, 349.822, 27.176, -16.747)","(641.897, 328.755, 26.874, -21.742)","(668.518, 319.376, 11.057, -22.002)","(690.857, 310.644, 22.688, -24.899)","(710.319, 297.052, 7.713, -16.376)","(730.638, 282.392, 25.576, -25.848)","(752.431, 268.305, 33.931, -1.767)","(769.685, 255.489, 20.008, -28.999)","(777.421, 245.683, 24.71, -3.002)","(788.471, 228.415, 14.96, -18.285)","(795.868, 190.556, 19.357, -31.602)","(798.701, 156.827, -1.087, -14.788)","(808.263, 126.454, -12.243, -37.45)","(802.97, 95.979, -11.916, -47.076)","(789.258, 74.092, -14.045, -24.131)","(780.187, 53.375, -17.969, -16.81)","(749.58, 48.515, -37.549, 6.416)","(701.829, 56.756, -40.015, 19.688)","(668.474, 59.719, -45.834, 18.384)","(630.15, 62.229, -39.839, 10.814)","(589.628, 73.937, -53.486, 19.352)","(550.087, 77.79, -32.127, -2.073)","(511.877, 78.833, -40.211, 9.529)","(475.898, 77.892, -27.441, 1.512)","(438.983, 79.256, -27.467, 15.23)","(402.997, 80.852, -51.302, 5.567)","(367.172, 80.434, -30.893, 13.795)","(329.98, 80.933, -43.555, -0.72)","(294.727, 81.409, -46.23, -5.737)","(258.929, 82.664, -41.704, 13.495)"
7,"(425.158, 474.547, 41.685, 9.77)","(463.39, 471.419, 53.943, -14.903)","(503.439, 473.905, 29.587, 17.004)","(542.046, 474.346, 28.127, -3.298)","(580.711, 475.768, 50.084, 17.0)","(618.718, 481.767, 23.835, 14.926)","(655.606, 483.936, 46.615, -9.251)","(690.163, 489.128, 23.621, 3.393)","(723.936, 494.316, 42.651, 22.092)","(749.089, 502.489, 31.333, 22.765)","(778.101, 513.932, 33.57, 14.302)","(799.621, 532.816, 39.5, 18.859)","(817.236, 556.343, 16.952, 21.524)","(821.366, 575.7, -14.647, 24.955)","(810.77, 604.025, -11.98, 33.705)","(815.276, 636.918, -7.974, 41.525)","(808.279, 665.327, -11.984, 22.031)","(787.471, 685.647, -16.529, 26.828)","(751.363, 692.59, -45.308, 16.391)","(719.581, 690.831, -29.173, 13.587)","(685.626, 690.241, -45.117, -13.209)","(651.179, 690.212, -36.468, 2.998)","(608.786, 688.292, -23.017, -6.035)","(568.975, 686.124, -50.588, -2.881)","(528.776, 684.046, -41.288, 9.861)","(488.476, 683.135, -51.98, -6.712)","(448.118, 680.837, -53.401, -4.624)","(410.111, 680.254, -34.941, -9.13)","(377.188, 680.675, -57.644, 0.108)","(338.179, 682.021, -30.314, -13.01)","(298.896, 682.265, -45.5, 5.065)","(259.064, 679.06, -50.517, -1.603)","(222.114, 673.776, -29.481, -3.53)"
8,"(500.25, 253.131, 26.65, -19.985)","(540.424, 232.697, 41.511, -20.351)","(579.531, 215.928, 26.797, -20.824)","(617.171, 203.851, 41.267, 3.267)","(653.304, 198.198, 30.944, -13.041)","(687.458, 184.585, 47.174, -23.461)","(715.463, 173.709, 31.537, -5.298)","(725.387, 166.078, 3.731, 1.387)","(726.85, 166.169, 27.237, 3.394)","(740.162, 171.868, 18.05, 6.582)","(761.929, 181.271, 1.357, 1.953)","(777.159, 184.513, 1.712, -10.9)","(774.619, 145.064, -17.587, -43.596)","(766.095, 116.668, -18.618, -9.007)","(762.541, 98.271, -12.059, -11.613)","(759.078, 69.269, -44.689, -31.965)","(720.49, 55.908, -44.036, -5.005)","(682.324, 57.231, -42.701, 14.134)","(639.338, 55.865, -57.134, -5.365)","(597.032, 56.734, -57.432, 18.419)","(550.089, 59.927, -40.545, 12.422)","(506.251, 61.46, -40.354, 15.727)","(464.915, 62.495, -51.572, -4.799)","(419.977, 61.001, -31.926, 5.621)","(381.365, 62.379, -29.818, -0.794)","(344.773, 62.359, -30.615, 4.705)","(308.915, 62.894, -23.666, 8.309)","(275.352, 64.41, -48.02, 15.312)","(238.553, 66.754, -40.235, 9.749)","(204.393, 66.364, -53.916, -21.832)","(166.071, 65.997, -55.649, 6.488)","(130.426, 77.132, -26.797, 28.419)","(104.013, 108.121, -31.375, 40.079)"
9,"(594.925, 537.338, 29.185, 17.982)","(631.857, 537.275, 46.738, 6.009)","(667.61, 538.418, 28.526, -4.38)","(698.859, 539.079, 34.904, -3.178)","(727.335, 542.924, 20.318, 14.935)","(753.877, 542.872, 22.53, 8.068)","(774.232, 560.305, 1.626, 32.524)","(782.899, 603.052, 17.888, 47.295)","(784.971, 637.528, -9.614, 34.363)","(757.494, 653.939, -64.987, 9.664)","(711.183, 647.761, -32.596, -17.922)","(668.756, 638.687, -53.604, 12.336)","(643.341, 636.063, -23.962, -6.676)","(632.899, 636.005, -39.989, -1.372)","(599.504, 636.106, -45.558, -1.447)","(570.161, 636.244, -34.901, -2.002)","(556.332, 636.007, -34.397, -0.175)","(556.332, 636.007, -34.397, -0.175)","(555.972, 636.003, -21.591, -0.259)","(555.972, 636.003, -21.591, -0.259)","(555.972, 636.003, -21.591, -0.259)","(554.691, 636.01, -29.702, -2.856)","(549.887, 636.013, -44.946, -2.589)","(546.248, 636.027, -44.482, -4.824)","(533.292, 636.014, -28.943, 0.029)","(525.057, 636.027, -53.429, -1.106)","(511.108, 636.091, -44.574, 2.343)","(488.245, 636.057, -57.725, 2.666)","(462.113, 636.141, -30.709, 3.681)","(436.396, 636.106, -36.581, 0.306)","(402.564, 636.093, -30.875, -2.361)","(364.626, 636.229, -54.973, 2.374)","(328.628, 637.159, -31.581, 1.228)"
