,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,"(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(491.586, 380.492, None, None)","(524.932, 367.735, None, None)","(561.933, 368.926, None, None)","(612.311, 365.053, None, None)","(585.348, 390.351, None, None)","(638.166, 412.214, None, None)","(693.83, 424.513, None, None)","(750.572, 431.731, None, None)","(778.125, 459.12, None, None)","(783.774, 440.559, None, None)","(795.854, 470.637, None, None)","(790.256, 493.804, None, None)","(817.825, 488.063, None, None)","(800.9, 504.926, None, None)","(804.801, 530.268, None, None)","(804.978, 568.081, None, None)","(814.881, 612.753, None, None)","(812.241, 668.086, None, None)","(808.077, 680.766, None, None)","(771.955, 678.005, None, None)","(714.812, 677.432, None, None)","(657.622, 678.483, None, None)","(668.545, 677.837, None, None)","(625.453, 666.899, None, None)","(576.313, 693.944, None, None)","(519.174, 695.249, None, None)","(462.516, 696.929, None, None)","(405.823, 695.43, None, None)","(349.221, 687.227, None, None)","(292.828, 686.338, None, None)","(282.701, 686.009, None, None)","(244.926, 683.991, None, None)","(191.643, 684.492, None, None)","(136.606, 687.873, None, None)","(102.076, 663.651, None, None)","(89.124, 623.246, None, None)","(79.622, 567.384, None, None)","(73.174, 547.022, None, None)","(51.708, 530.619, None, None)","(55.907, 486.967, None, None)","(78.602, 457.517, None, None)","(74.022, 435.147, None, None)","(55.746, 402.331, None, None)","(20.547, 400.036, None, None)",
1,"(457.99, 436.452, 71.627, -36.885)","(491.959, 424.866, 10.892, -37.271)","(531.432, 409.916, 93.273, -55.316)","(560.097, 391.587, 37.79, -69.481)","(599.677, 374.216, -16.959, -28.37)","(625.507, 353.392, 22.467, -43.037)","(659.99, 328.055, 66.187, -53.42)","(680.356, 317.082, 0.952, -27.392)","(707.627, 291.007, 0.918, -5.923)","(727.054, 279.246, 15.374, -42.789)","(746.587, 266.196, 31.081, -52.853)","(762.84, 253.965, 8.903, 37.478)","(774.564, 238.276, 53.629, 7.206)","(782.748, 211.113, -8.274, 0.819)","(786.647, 181.989, 49.075, -42.948)","(788.882, 148.24, 31.54, 10.238)","(782.61, 117.619, -39.686, -71.969)","(768.36, 98.59, -36.562, 13.522)","(726.529, 104.374, -97.898, -48.678)","(695.575, 113.64, 0.535, 3.775)","(680.201, 113.501, -63.122, -21.646)","(663.397, 113.155, -27.198, -4.394)","(632.401, 112.81, -17.072, -37.803)","(603.503, 112.401, -74.519, -2.185)","(584.105, 113.512, -73.48, 42.592)","(547.246, 102.356, -0.203, 29.943)","(507.091, 96.648, 11.36, 19.814)","(468.562, 94.539, -27.407, -4.125)","(423.385, 95.321, -76.424, -7.484)","(383.29, 89.748, -86.744, -38.968)","(346.139, 93.494, -8.446, 48.28)","(303.406, 87.831, -36.835, -20.142)","(272.086, 85.64, -9.885, -6.555)","(241.304, 85.017, -34.273, 35.479)","(215.526, 88.011, -68.563, -4.114)","(178.095, 97.76, -31.185, -22.718)","(129.323, 102.396, -39.198, 28.458)","(111.475, 143.45, -65.382, 15.932)","(102.453, 189.692, 26.006, -1.857)","(100.514, 227.625, -53.675, 19.097)","(100.532, 262.202, 48.122, 64.1)","(102.688, 296.123, 32.407, 72.202)","(104.434, 326.989, 34.404, 18.192)","(109.803, 350.461, -17.1, -7.638)","(90.873, 367.86, 17.054, 40.608)","(43.17, 377.71, -104.278, 60.491)","(None, None, None, None)",
2,"(549.84, 340.434, 51.745, -35.139)","(579.657, 320.18, 76.924, -36.799)","(610.458, 298.074, 30.572, -12.249)","(646.311, 278.622, 25.911, -8.662)","(678.328, 265.428, -1.559, -44.944)","(700.926, 244.669, 75.78, -34.744)","(724.055, 234.99, -10.528, 45.646)","(751.653, 217.291, 17.796, -43.362)","(775.79, 201.449, 7.459, -48.43)","(792.001, 162.299, 86.617, -48.718)","(797.921, 120.964, 35.685, -83.206)","(796.965, 91.722, -57.532, -67.423)","(751.42, 70.181, -54.454, -57.232)","(711.933, 58.641, -37.147, -39.279)","(667.557, 62.079, 6.65, 59.81)","(625.708, 61.538, -79.585, -53.534)","(579.863, 65.086, -71.564, 53.205)","(533.954, 64.203, -72.813, -38.864)","(494.286, 69.945, -85.355, 50.864)","(456.546, 62.106, -27.466, 8.771)","(409.055, 64.534, -32.513, -7.556)","(365.027, 62.276, -1.624, -36.992)","(315.205, 70.043, -63.567, -37.624)","(278.074, 63.595, 2.295, -34.696)","(239.056, 63.911, -59.046, -13.432)","(197.595, 69.692, -29.12, -41.963)","(155.287, 69.292, -11.476, 23.823)","(111.664, 90.13, -87.134, 21.548)","(81.998, 128.772, -19.064, 41.472)","(72.75, 170.978, 16.954, 56.112)","(67.107, 210.569, -33.512, 24.367)","(63.878, 252.699, 22.582, 0.337)","(60.285, 289.406, 4.483, 72.98)","(54.52, 317.305, 69.578, 7.736)","(54.962, 347.305, -31.012, 9.036)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
3,"(493.931, 427.916, -3.824, -11.702)","(532.842, 403.376, 9.982, 27.638)","(571.213, 379.279, 71.281, -60.115)","(603.652, 361.8, -15.834, 36.801)","(633.716, 346.728, 67.526, 32.859)","(661.02, 326.617, -20.337, 4.911)","(682.18, 307.142, -17.815, 21.658)","(710.575, 282.046, 39.688, 14.609)","(731.213, 260.295, -31.697, -69.932)","(750.894, 245.242, 45.427, -7.681)","(772.67, 233.644, 68.153, 21.467)","(786.904, 218.613, 16.586, 32.388)","(797.594, 194.704, 17.179, 28.444)","(792.508, 151.292, -42.81, -3.547)","(790.634, 122.9, -56.971, -5.235)","(781.302, 99.717, -0.607, 60.598)","(725.069, 103.5, -65.35, 72.236)","(687.394, 113.231, -61.256, 16.591)","(669.178, 113.853, -71.816, 17.184)","(636.351, 113.48, -54.221, -26.192)","(608.936, 113.266, -42.043, -4.237)","(589.109, 113.249, -13.571, -39.584)","(571.701, 112.181, 8.127, 27.204)","(532.903, 103.7, -56.917, 6.497)","(492.176, 101.713, -10.807, 10.803)","(452.827, 100.5, -83.133, -17.32)","(415.121, 97.201, -19.249, -42.115)","(376.952, 100.606, 5.704, -4.971)","(331.726, 98.074, -87.399, 9.363)","(290.342, 98.169, -69.441, -14.062)","(256.001, 93.649, -53.204, 49.709)","(227.077, 91.371, 9.202, -38.954)","(192.547, 96.987, -43.72, 54.045)","(161.961, 93.078, -34.324, -72.547)","(123.077, 122.752, -43.033, 57.869)","(113.404, 163.452, 21.903, 47.029)","(110.22, 204.615, 8.325, 70.485)","(113.915, 243.595, 27.148, 76.967)","(114.741, 281.354, 44.828, 42.667)","(108.311, 309.023, -59.981, -0.672)","(96.342, 338.085, -11.051, -8.924)","(86.447, 362.78, -54.726, 57.209)","(46.474, 380.856, -94.635, -14.217)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
4,"(690.958, 397.017, 8.284, -71.039)","(710.507, 360.189, -1.718, 33.846)","(726.194, 339.307, -4.911, 28.64)","(739.087, 319.349, -41.9, -5.927)","(751.571, 303.081, -39.689, -4.638)","(765.684, 289.182, -31.835, -17.616)","(775.57, 272.77, -0.509, 12.512)","(777.733, 251.651, -19.318, -50.074)","(788.606, 241.431, -59.591, 37.373)","(792.82, 233.4, 34.065, 44.599)","(798.634, 205.763, 1.886, -24.722)","(806.607, 170.566, 30.722, -94.763)","(814.972, 133.855, -32.387, 19.054)","(815.275, 96.765, 29.047, -47.42)","(794.055, 80.989, -68.292, 39.563)","(739.954, 73.081, -96.313, 38.293)","(689.409, 79.293, -108.242, 46.545)","(637.247, 83.332, -13.478, -18.688)","(583.276, 88.613, -45.466, 13.391)","(528.898, 77.177, -27.15, -24.157)","(477.921, 78.171, -30.963, 40.013)","(431.747, 77.51, 1.5, 28.03)","(389.123, 71.566, -50.441, 17.639)","(347.838, 68.404, -21.985, -61.291)","(307.786, 63.216, -81.175, -29.235)","(265.997, 60.888, -43.206, 61.38)","(230.037, 63.999, 22.992, 18.273)","(195.055, 64.732, -29.44, 17.605)","(150.156, 68.806, -74.779, 44.344)","(110.647, 96.999, 13.671, 0.155)","(85.169, 125.764, -7.862, 20.821)","(72.183, 166.901, -61.911, 20.238)","(64.971, 211.122, -2.056, 63.814)","(63.262, 248.408, -11.56, 36.482)","(60.541, 285.572, 24.12, -12.321)","(60.948, 322.743, 37.266, 22.648)","(51.241, 357.67, -91.309, -30.49)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
5,"(510.429, 527.205, 83.368, 61.268)","(561.098, 536.551, 6.93, 48.542)","(607.816, 540.102, 94.989, 73.828)","(646.128, 543.161, 55.684, 37.766)","(695.828, 551.26, 109.43, -15.981)","(745.511, 563.536, -16.877, 44.213)","(773.465, 557.085, -20.806, -11.029)","(772.249, 607.362, 16.158, 22.02)","(771.233, 646.954, -37.777, 36.392)","(756.797, 658.968, -108.021, -44.469)","(690.639, 656.806, -84.53, 17.648)","(642.972, 647.137, -33.61, -51.575)","(592.837, 641.948, -16.308, -47.696)","(542.071, 642.207, 15.378, 48.027)","(499.589, 638.156, -0.933, 2.671)","(455.849, 637.476, 10.274, 48.941)","(416.589, 640.737, -85.07, -46.929)","(377.467, 647.324, -4.829, 34.722)","(332.868, 652.18, -42.164, -46.006)","(296.444, 649.18, -35.249, -46.534)","(261.058, 652.397, -32.054, 28.392)","(219.843, 663.371, -87.833, -7.534)","(183.254, 666.86, -15.373, 7.054)","(142.014, 653.476, -44.18, -28.6)","(120.419, 619.58, -14.53, -15.45)","(105.142, 578.529, -57.345, -57.248)","(91.94, 542.913, -26.245, 8.493)","(76.475, 500.222, -59.99, -74.273)","(72.315, 457.846, -41.617, -81.673)","(67.9, 427.481, -31.389, 17.846)","(69.853, 394.974, 40.773, -80.409)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
6,"(333.642, 300.487, 48.266, -20.28)","(364.209, 289.036, 26.117, -45.741)","(398.263, 272.176, 43.908, 5.583)","(434.443, 261.542, 51.103, -31.719)","(469.478, 251.002, -14.009, 31.942)","(495.317, 247.667, 21.678, -42.619)","(527.943, 238.526, 10.106, -27.577)","(552.996, 232.14, 40.63, -10.255)","(577.62, 227.126, 47.792, -8.849)","(605.486, 215.865, 52.873, 15.967)","(631.236, 204.573, -3.747, -23.922)","(660.126, 205.128, 23.928, -52.948)","(687.591, 202.99, 9.519, -5.574)","(707.607, 201.818, 68.991, 64.479)","(732.128, 204.429, 45.916, 48.934)","(749.338, 199.431, -35.325, 19.04)","(766.621, 191.929, -40.181, -51.055)","(771.632, 165.605, 51.945, -29.743)","(780.854, 121.888, -51.96, -100.143)","(769.145, 93.314, -118.227, -22.122)","(721.982, 91.756, -102.555, 44.506)","(686.295, 104.633, -21.227, -14.476)","(660.272, 112.587, -19.933, -12.594)","(639.376, 113.92, 2.917, 14.233)","(614.948, 113.42, -77.568, 7.711)","(598.46, 113.776, -26.223, -10.037)","(577.962, 113.244, -43.142, -30.994)","(563.251, 113.58, 20.353, 60.593)","(542.628, 104.977, -74.609, 35.873)","(503.525, 100.497, -24.402, -25.357)","(462.882, 99.842, -91.255, -46.163)","(431.609, 100.211, -68.451, -17.041)","(391.486, 98.123, -31.806, 38.731)","(348.569, 95.505, 0.887, -26.491)","(308.526, 95.922, 6.342, 11.971)","(272.324, 95.148, -52.836, -0.947)","(233.063, 96.359, -83.232, 8.36)","(214.666, 93.459, -3.718, 3.436)","(191.503, 98.791, -32.805, -9.916)","(162.073, 93.573, -104.294, 1.293)","(127.805, 124.444, -1.914, 92.297)","(121.338, 172.168, 15.373, 10.826)","(110.91, 216.954, 8.271, 33.995)","(104.75, 257.113, -32.326, -7.563)","(99.444, 291.618, 15.869, 66.31)","(98.577, 326.965, -3.266, 10.816)","(92.057, 353.077, 39.273, 23.054)",
7,"(437.508, 555.612, 89.263, 4.594)","(473.626, 561.711, 35.2, 40.41)","(512.77, 559.702, 92.517, -10.682)","(551.752, 556.41, 77.923, -26.237)","(589.627, 564.055, -11.661, 3.096)","(617.031, 564.293, -22.399, 63.527)","(647.688, 571.557, 22.232, 8.264)","(689.484, 563.577, 29.66, 5.086)","(733.509, 567.374, 87.793, 18.853)","(754.128, 570.846, -7.072, 43.139)","(776.351, 562.779, 70.483, -28.637)","(773.904, 620.22, 16.644, 46.222)","(778.353, 653.836, -19.98, 2.23)","(728.576, 660.396, -36.102, -11.928)","(684.97, 660.276, -36.684, -37.623)","(634.532, 661.768, -56.707, 12.233)","(593.486, 665.473, 3.514, 13.103)","(556.625, 675.786, -2.953, 6.231)","(514.409, 679.873, -41.792, -2.726)","(477.48, 681.817, -92.977, -16.968)","(437.266, 684.75, -72.428, -7.291)","(394.366, 684.868, -46.174, 8.591)","(356.981, 683.022, -5.17, 28.147)","(319.034, 679.062, -58.705, -50.062)","(284.328, 682.75, -78.013, 19.268)","(245.317, 678.118, -71.907, -9.329)","(209.287, 674.777, -37.544, -13.821)","(169.046, 670.109, -65.92, -51.142)","(136.238, 642.102, -2.975, -87.253)","(116.953, 600.5, -48.741, -88.474)","(105.738, 561.823, -32.13, -77.086)","(90.262, 521.969, 3.788, 2.07)","(72.847, 481.907, 29.999, -39.233)","(63.387, 450.393, 4.436, -26.941)","(59.747, 425.399, -21.152, -26.759)","(64.626, 395.674, -21.125, -71.667)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
8,"(660.853, 168.989, 57.207, -17.727)","(708.358, 167.329, 41.28, -12.973)","(739.082, 168.681, 9.622, 13.601)","(764.281, 182.072, 61.506, 43.027)","(788.12, 170.936, 42.455, -57.486)","(792.641, 102.077, -23.317, -75.995)","(763.345, 77.667, -20.634, 38.378)","(708.663, 72.049, -47.469, -15.307)","(652.383, 82.472, -52.257, 50.215)","(609.075, 92.982, -90.625, 24.313)","(563.771, 79.669, -72.851, -48.316)","(521.496, 71.0, -59.064, 40.853)","(475.157, 72.149, -49.07, 18.292)","(430.191, 70.735, -57.506, 24.751)","(384.114, 73.245, -47.191, -14.758)","(338.168, 76.557, -31.722, 5.726)","(293.935, 70.885, -29.655, 38.513)","(242.421, 77.116, -88.2, 22.233)","(198.994, 78.201, -21.145, -14.869)","(155.392, 75.481, -48.469, -0.077)","(120.854, 108.866, -76.681, 7.489)","(103.137, 148.138, -34.388, 24.568)","(85.12, 191.433, -48.41, 27.383)","(80.117, 238.659, -36.646, 29.699)","(71.402, 285.339, -16.372, 75.439)","(67.953, 325.584, 13.12, 11.43)","(67.927, 365.742, -12.69, 32.589)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
9,"(759.546, 409.407, 33.4, -74.036)","(779.106, 368.261, -20.459, -44.123)","(792.157, 327.52, 62.708, 19.159)","(802.948, 290.317, 9.602, -35.365)","(805.566, 267.556, 49.863, -88.357)","(813.364, 244.998, 11.745, 2.603)","(818.312, 226.136, -16.011, 43.756)","(818.522, 222.447, -19.092, 15.864)","(816.701, 211.728, 13.092, -48.292)","(812.156, 199.79, -4.296, -27.91)","(810.782, 160.301, -46.083, -71.376)","(813.734, 116.597, -7.196, -14.103)","(809.2, 84.606, -10.163, -38.184)","(770.971, 58.597, -61.798, -2.761)","(714.6, 67.036, -32.325, 19.56)","(666.938, 76.129, -98.841, -26.215)","(620.048, 72.656, -67.925, -58.885)","(581.56, 70.124, -28.287, 19.332)","(539.562, 68.407, -43.365, -23.583)","(497.41, 70.302, -81.968, -41.079)","(449.198, 63.441, 1.729, 1.718)","(399.928, 63.605, -74.86, -6.454)","(355.352, 67.523, -39.514, 37.927)","(312.343, 73.596, -48.803, -28.46)","(271.798, 75.851, -26.307, -1.592)","(230.907, 76.033, -78.184, -20.922)","(198.389, 72.228, -3.889, -57.726)","(152.057, 68.188, -32.759, 52.323)","(121.164, 90.8, -26.474, -9.586)","(93.129, 132.259, 4.7, 64.964)","(87.925, 175.141, 34.077, 31.943)","(85.62, 218.303, 38.538, 31.426)","(86.979, 261.585, 21.053, 16.498)","(83.774, 301.979, 21.48, 86.915)","(75.969, 332.266, -1.935, 27.133)","(50.738, 361.56, -117.355, 68.349)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
