,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,"(450, 375, None, None)","(476.022, 380.948, None, None)","(532.381, 384.681, None, None)","(589.337, 379.403, None, None)","(642.854, 392.565, None, None)","(694.867, 414.945, None, None)","(742.504, 417.128, None, None)","(704.816, 426.403, None, None)","(751.739, 436.92, None, None)","(740.167, 455.598, None, None)","(753.084, 454.662, None, None)","(764.354, 470.056, None, None)","(738.01, 459.049, None, None)","(772.998, 464.535, None, None)","(746.619, 461.847, None, None)","(778.787, 484.319, None, None)","(770.958, 482.88, None, None)","(750.464, 512.68, None, None)","(777.711, 547.265, None, None)","(762.21, 556.421, None, None)","(783.952, 574.949, None, None)","(785.402, 602.558, None, None)","(760.258, 632.003, None, None)","(769.912, 668.02, None, None)","(712.962, 662.683, None, None)","(689.21, 660.792, None, None)","(648.255, 659.011, None, None)","(602.072, 677.027, None, None)","(546.74, 681.701, None, None)","(516.452, 678.054, None, None)","(465.517, 690.499, None, None)","(412.389, 678.512, None, None)","(371.578, 660.363, None, None)","(314.854, 667.722, None, None)","(295.877, 669.4, None, None)","(238.741, 672.111, None, None)","(206.452, 671.253, None, None)","(163.862, 666.104, None, None)","(156.967, 650.39, None, None)","(124.747, 613.37, None, None)","(123.215, 564.935, None, None)","(97.238, 518.192, None, None)","(95.19, 487.904, None, None)","(70.101, 436.5, None, None)","(54.299, 416.346, None, None)","(25.146, 384.873, None, None)",
1,"(438.126, 193.728, 46.381, -42.045)","(471.592, 179.671, 78.035, 28.909)","(499.184, 178.867, 72.9, -11.565)","(532.958, 169.112, 25.193, -60.632)","(557.813, 166.368, 17.581, 7.893)","(576.491, 166.003, 21.679, -1.296)","(608.651, 166.322, 65.814, -5.194)","(640.923, 171.63, 53.045, 16.154)","(666.523, 167.696, 28.349, -15.611)","(691.995, 168.235, 60.098, -14.817)","(710.47, 172.354, 13.02, 36.657)","(718.852, 171.438, -6.812, -36.266)","(739.01, 172.736, 35.211, -22.409)","(747.616, 176.518, 21.98, -46.543)","(761.888, 183.916, -31.894, -38.859)","(771.946, 169.825, 33.36, -39.04)","(764.723, 136.536, -58.725, -71.591)","(759.435, 119.851, -38.09, 31.664)","(761.608, 101.971, -25.497, 2.17)","(763.192, 87.542, -16.46, 5.625)","(714.488, 98.185, -37.646, -10.058)","(686.962, 96.147, -45.002, 31.675)","(650.254, 92.106, 7.201, -30.035)","(626.464, 99.455, -30.83, 38.786)","(610.124, 95.993, -71.911, 22.373)","(578.697, 85.699, -50.788, -24.905)","(526.231, 71.6, -88.044, -48.772)","(482.667, 67.595, -22.142, 40.368)","(437.75, 60.3, -28.47, -13.283)","(387.308, 60.603, -65.446, 10.26)","(341.529, 62.41, -75.427, 22.656)","(298.608, 66.566, -35.391, 18.934)","(254.316, 63.523, -76.765, 30.538)","(219.543, 67.267, -86.899, 60.649)","(177.672, 65.702, -83.973, 17.165)","(129.674, 78.523, -82.091, -9.049)","(94.699, 118.842, -13.446, 28.161)","(75.323, 161.964, -53.435, 10.66)","(63.475, 205.032, -52.683, 12.977)","(62.234, 240.846, -9.589, 23.736)","(64.919, 280.386, 25.606, 66.859)","(62.054, 316.33, 23.681, 0.919)","(63.591, 347.619, -68.743, -26.392)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
2,"(520.147, 166.907, 25.15, 16.886)","(556.36, 166.026, 67.244, -14.858)","(589.293, 166.421, 65.921, -41.566)","(623.912, 166.361, 77.174, 11.297)","(659.995, 166.46, 15.257, -27.992)","(687.716, 166.379, 0.759, 19.654)","(715.742, 166.397, 90.867, -5.027)","(741.355, 167.468, 0.292, -4.855)","(762.626, 165.701, 54.321, 71.775)","(774.062, 176.694, -17.533, 55.911)","(791.649, 157.934, -3.752, -48.858)","(792.575, 118.623, -34.224, -57.503)","(775.458, 86.438, 36.682, -40.048)","(727.518, 70.108, -79.984, -49.829)","(694.6, 79.884, 4.095, 50.769)","(661.228, 86.651, -41.881, 27.181)","(621.321, 80.124, -102.947, -57.997)","(568.029, 71.282, -71.947, -8.377)","(521.269, 73.485, 7.457, -47.19)","(476.337, 74.237, -51.769, -22.719)","(434.204, 79.679, 9.945, 38.738)","(393.485, 74.637, -95.78, 7.421)","(350.123, 75.745, -98.454, -52.811)","(310.516, 81.582, -52.224, -31.826)","(267.754, 78.916, -94.261, 26.852)","(224.792, 83.331, -74.921, -11.487)","(189.898, 84.812, -92.407, 20.12)","(147.103, 77.91, -120.295, 40.942)","(118.983, 114.43, 32.393, 33.493)","(102.508, 153.828, 38.171, 9.476)","(90.597, 196.701, 40.364, 33.192)","(90.782, 240.358, 6.784, 30.008)","(83.595, 283.651, 5.82, 62.83)","(74.384, 319.416, 37.97, 65.342)","(70.987, 349.554, 4.424, 38.322)","(40.735, 368.915, -40.047, -34.302)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
3,"(535.613, 203.46, 0.933, -35.511)","(576.361, 199.468, 1.971, 1.964)","(617.229, 200.321, -6.59, -26.531)","(660.679, 189.442, 74.469, 0.588)","(703.469, 188.057, 79.184, -15.131)","(736.377, 187.931, 36.246, 57.103)","(760.821, 204.189, -26.878, 38.21)","(789.476, 182.539, 84.488, -75.231)","(793.646, 130.793, 67.696, -30.798)","(797.388, 92.696, 17.224, 25.302)","(781.393, 65.158, -16.789, -73.364)","(742.48, 56.401, 1.404, 59.305)","(690.022, 65.294, -94.849, 11.663)","(637.777, 64.798, -75.659, -28.615)","(595.128, 64.46, 7.525, 34.955)","(553.523, 66.452, -35.018, 40.58)","(503.819, 68.401, -87.793, -34.607)","(457.83, 79.423, -71.686, -12.738)","(409.496, 82.905, -68.045, 26.745)","(367.641, 85.978, -54.984, -42.087)","(320.929, 86.456, -40.548, 11.657)","(274.402, 89.049, -14.782, 0.991)","(233.435, 88.177, -14.738, -7.948)","(198.778, 84.014, -46.819, 18.357)","(149.854, 77.471, -7.841, -36.661)","(121.588, 112.162, 21.635, 47.379)","(116.041, 154.607, -47.889, 49.021)","(111.812, 200.799, 48.779, 40.49)","(113.58, 240.412, 14.126, 47.491)","(110.705, 282.629, 24.77, 39.167)","(105.607, 322.662, -15.144, 89.807)","(91.364, 356.354, -22.629, 27.065)","(69.515, 372.824, -78.534, -25.8)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
4,"(479.858, 456.202, 54.692, -6.746)","(517.766, 463.71, 8.619, 6.485)","(562.262, 471.636, -3.21, -31.386)","(605.257, 477.833, 25.194, 33.665)","(631.524, 489.083, 99.132, -4.312)","(659.874, 499.804, -3.837, -1.287)","(688.062, 507.087, 55.963, 53.299)","(712.43, 513.579, -13.025, -14.449)","(733.594, 523.554, 2.968, -36.632)","(754.52, 532.496, 39.259, 36.011)","(781.0, 558.921, 64.434, -29.417)","(799.803, 587.924, -37.931, 22.489)","(793.02, 632.801, -22.304, -4.348)","(782.099, 659.16, -56.945, 36.863)","(724.576, 648.432, -28.956, 20.7)","(679.116, 636.869, -64.097, -35.977)","(656.96, 636.51, 13.639, -25.158)","(635.843, 636.818, 6.684, 19.707)","(635.941, 636.47, 13.849, -13.053)","(634.175, 636.08, 2.838, -32.424)","(625.165, 636.179, -17.177, 6.962)","(607.363, 636.945, -0.173, -16.615)","(591.52, 637.392, -33.319, 12.603)","(574.752, 637.012, -33.934, -13.069)","(545.898, 636.07, 7.154, -10.314)","(520.835, 637.162, -45.499, 39.63)","(492.922, 638.529, -50.052, 15.287)","(462.352, 636.047, -57.34, -54.177)","(427.942, 636.856, -51.934, 18.282)","(387.968, 637.805, -70.724, -56.832)","(363.18, 638.339, -47.077, -13.36)","(324.105, 637.038, -0.735, 17.769)","(286.74, 639.306, -44.925, 15.156)","(256.464, 644.44, -0.624, -30.714)","(239.255, 648.847, -13.981, 13.508)","(212.65, 658.215, 4.883, -39.289)","(161.728, 655.993, -45.782, 19.674)","(131.42, 637.498, -62.417, -72.151)","(129.514, 583.119, -35.537, -62.594)","(121.284, 540.241, -59.868, 3.061)","(112.43, 503.399, 10.869, -58.698)","(106.885, 459.78, 30.187, -65.899)","(99.186, 423.198, -19.509, -53.782)","(98.606, 401.8, 3.015, 25.766)","(81.854, 388.765, -43.389, 29.1)","(45.2, 374.746, -80.461, 11.852)",
5,"(398.148, 545.801, 12.7, -17.327)","(438.73, 548.498, 87.219, 10.677)","(475.773, 552.263, -8.023, 39.859)","(506.101, 552.221, 13.629, 18.595)","(536.108, 550.104, 10.623, 2.859)","(563.978, 553.932, 8.901, 41.897)","(603.564, 554.339, 89.192, 0.717)","(640.804, 559.759, 71.283, 0.508)","(662.307, 554.211, 38.185, -46.939)","(694.062, 548.582, 8.926, 8.788)","(718.407, 548.696, -12.944, 66.043)","(748.731, 550.479, -23.457, 14.147)","(772.168, 563.171, 20.873, 42.051)","(776.17, 603.717, -47.333, 44.992)","(777.252, 641.358, 51.85, 24.329)","(754.594, 650.301, 6.056, -26.228)","(707.214, 643.8, -37.102, 29.44)","(683.227, 636.293, -57.881, -9.405)","(667.084, 636.452, -64.289, 8.702)","(651.639, 638.741, -24.709, 5.316)","(647.882, 636.267, 13.802, -26.47)","(631.164, 637.099, 36.914, 35.329)","(622.744, 636.458, -34.171, -14.435)","(602.934, 637.004, -0.459, 2.979)","(584.493, 636.306, -18.233, -49.504)","(564.316, 636.072, -28.815, -15.154)","(536.833, 636.644, 0.499, -11.361)","(502.198, 636.29, -95.935, -64.577)","(468.494, 636.075, -50.909, -27.78)","(433.38, 636.131, 8.851, -4.454)","(398.943, 636.138, -52.812, -35.201)","(368.349, 638.736, 7.059, 9.434)","(336.297, 636.514, -71.931, 25.622)","(306.787, 636.325, -42.92, -8.598)","(282.786, 636.042, 0.862, -2.804)","(253.512, 637.994, -18.394, 33.177)","(235.753, 650.533, 24.302, 32.12)","(202.846, 670.519, -37.879, 28.421)","(170.314, 675.707, -88.383, 45.914)","(137.097, 650.404, -4.309, -55.723)","(120.429, 615.405, -7.383, -45.938)","(112.636, 573.204, -32.58, -31.849)","(106.347, 527.455, -7.711, -19.269)","(108.978, 479.172, -54.271, -50.124)","(107.583, 444.706, 24.079, -72.85)","(106.958, 415.752, 6.37, -71.329)",
6,"(775.242, 224.622, 74.524, -19.53)","(803.63, 200.067, 50.093, -14.184)","(812.273, 157.446, 3.121, -75.258)","(803.723, 111.081, -21.831, -20.156)","(769.062, 74.702, -54.595, -18.124)","(717.964, 71.895, -38.122, -10.01)","(667.741, 74.991, -19.705, 6.345)","(618.154, 83.688, -37.614, 49.927)","(570.928, 86.796, -61.774, 24.48)","(517.825, 79.44, -34.646, 28.364)","(473.115, 73.179, -99.894, 50.73)","(425.558, 77.834, -38.911, 22.599)","(372.901, 75.308, -70.922, -20.211)","(334.729, 83.397, 7.456, 38.565)","(286.786, 78.288, 5.749, 44.344)","(241.075, 80.725, -91.217, 54.767)","(196.041, 76.537, 7.961, -36.939)","(145.706, 77.688, -44.121, 35.22)","(118.796, 123.094, 29.13, 57.884)","(105.645, 165.435, 26.242, 56.815)","(95.837, 212.406, 23.29, 72.405)","(88.037, 250.409, -36.187, 23.083)","(84.956, 291.802, -30.648, 59.497)","(76.712, 330.091, 23.577, 40.381)","(62.288, 364.016, -37.034, 43.852)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
7,"(485.346, 524.416, 8.441, -46.41)","(528.47, 527.23, 18.894, -1.459)","(564.514, 530.407, 40.204, 29.231)","(607.425, 529.197, 8.625, -51.123)","(641.335, 539.343, 69.37, 46.597)","(675.07, 540.837, -18.151, 11.256)","(711.166, 544.603, 75.963, 67.692)","(731.34, 549.726, -26.064, 53.161)","(745.081, 554.235, -43.805, -42.427)","(771.518, 550.554, 20.17, 54.227)","(772.113, 571.184, -46.043, 6.066)","(764.849, 600.753, 12.353, 42.757)","(779.998, 643.343, 27.032, 13.74)","(733.329, 650.231, -93.847, -8.998)","(687.773, 641.197, -0.453, 13.559)","(646.681, 638.453, -81.259, -3.832)","(629.492, 650.018, -50.638, 37.335)","(570.002, 645.632, -11.255, 3.342)","(535.974, 636.281, -86.205, -14.237)","(510.061, 637.026, -47.889, -54.046)","(483.039, 636.346, 6.174, 3.927)","(444.062, 636.722, -41.228, -37.249)","(429.204, 636.099, -60.754, -0.394)","(408.871, 636.412, -12.791, -4.605)","(384.305, 636.538, -44.703, 25.368)","(347.009, 637.435, -75.97, -1.199)","(306.459, 639.407, -74.648, -31.847)","(272.487, 646.067, -74.938, -11.265)","(244.635, 647.773, -65.501, -54.127)","(219.271, 661.333, -84.4, 49.702)","(163.491, 661.461, -38.471, -0.351)","(126.876, 630.011, -67.92, -33.411)","(118.58, 578.806, 20.503, 12.005)","(113.616, 530.517, 31.606, -1.141)","(105.13, 490.946, 14.612, -51.186)","(100.715, 455.933, 18.056, 11.34)","(95.631, 421.468, 14.875, -29.578)","(85.126, 395.716, -34.041, -39.472)","(59.88, 388.496, -56.968, 40.621)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
8,"(753.75, 317.473, 72.56, -66.425)","(773.615, 278.052, -11.984, 13.757)","(792.368, 242.877, 67.617, -44.848)","(803.56, 216.186, -33.063, -24.08)","(819.54, 187.446, -32.17, -66.51)","(823.516, 148.703, 39.639, -82.757)","(807.55, 104.49, -44.205, -80.946)","(787.266, 71.733, -4.167, 13.297)","(754.958, 57.324, -25.001, 46.298)","(702.86, 57.05, -5.182, 9.81)","(655.135, 60.498, -61.773, -8.649)","(607.729, 64.659, -56.041, 20.109)","(561.034, 65.568, -67.95, 6.473)","(512.717, 70.631, -85.627, -26.744)","(466.232, 73.974, -12.378, 29.22)","(420.909, 78.431, 1.833, 34.648)","(370.168, 83.219, -95.738, 7.287)","(323.261, 77.001, 9.449, 58.23)","(280.435, 77.651, -0.203, -42.452)","(240.333, 77.099, -83.502, -26.76)","(196.528, 76.511, -34.141, -48.457)","(145.094, 76.887, 22.159, -8.996)","(114.556, 116.165, -52.354, -0.785)","(99.672, 162.247, 3.645, 50.887)","(87.115, 206.267, -51.571, 78.287)","(87.027, 245.607, 25.159, 49.123)","(79.765, 286.355, -41.584, -7.394)","(75.179, 325.619, 24.406, -6.813)","(62.096, 359.399, -60.815, -39.631)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
9,"(610.793, 204.27, 39.955, -12.255)","(652.526, 189.771, 2.466, -57.967)","(693.692, 175.329, 0.789, 36.982)","(727.984, 168.316, -9.904, 23.277)","(758.17, 173.475, 82.487, -35.068)","(780.154, 168.641, -5.562, -43.43)","(798.953, 181.304, -24.534, 74.757)","(805.005, 143.225, 35.586, -109.629)","(804.85, 92.66, 24.207, -86.234)","(783.914, 65.249, -12.822, 34.653)","(735.274, 57.811, -42.975, -42.2)","(680.467, 58.194, -75.306, 9.26)","(636.224, 60.419, -53.91, 50.73)","(587.556, 60.066, -48.409, -58.116)","(547.292, 62.038, -71.72, -46.976)","(507.64, 64.752, 5.613, -25.231)","(459.436, 68.544, -35.082, -3.137)","(413.292, 73.599, -69.74, 19.728)","(370.094, 74.079, -80.911, -20.629)","(327.304, 75.992, -6.38, -2.494)","(280.298, 77.907, -50.475, -27.939)","(236.175, 78.223, -60.589, -26.745)","(194.321, 78.314, -66.58, 7.293)","(151.707, 77.149, -5.376, -47.28)","(115.133, 106.495, 25.802, 17.957)","(96.227, 147.771, -22.272, 14.81)","(84.022, 191.189, -45.77, 67.832)","(77.677, 228.719, -35.106, 41.253)","(68.579, 273.698, 15.977, 51.028)","(66.799, 311.967, -45.662, 20.428)","(69.801, 352.572, 3.339, 66.782)","(28.771, 370.019, -59.048, 58.529)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
