,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,"(450, 375, None, None)","(450, 375, None, None)","(500.526, 399.714, None, None)","(556.774, 407.893, None, None)","(612.743, 399.494, None, None)","(668.496, 406.568, None, None)","(724.273, 419.245, None, None)","(768.292, 444.938, None, None)","(782.838, 394.562, None, None)","(774.08, 419.784, None, None)","(770.198, 381.059, None, None)","(767.317, 402.026, None, None)","(769.872, 404.858, None, None)","(769.872, 404.858, None, None)","(775.075, 429.092, None, None)","(782.881, 465.444, None, None)","(782.881, 465.444, None, None)","(782.955, 477.837, None, None)","(783.298, 535.036, None, None)","(783.641, 592.235, None, None)","(783.985, 649.434, None, None)","(745.908, 653.199, None, None)","(688.776, 655.986, None, None)","(631.644, 658.773, None, None)","(594.47, 659.259, None, None)","(537.272, 659.773, None, None)","(504.868, 659.635, None, None)","(447.732, 656.929, None, None)","(391.909, 664.912, None, None)","(365.518, 668.921, None, None)","(330.28, 660.516, None, None)","(273.704, 653.47, None, None)","(216.832, 657.597, None, None)","(205.472, 658.944, None, None)","(204.534, 659.114, None, None)","(203.701, 659.578, None, None)","(203.701, 659.578, None, None)","(188.463, 672.562, None, None)","(153.506, 682.677, None, None)","(99.869, 662.804, None, None)","(96.705, 616.36, None, None)","(98.371, 559.185, None, None)","(100.038, 502.009, None, None)","(105.472, 445.096, None, None)","(109.636, 390.132, None, None)","(52.437, 390.003, None, None)","(51.483, 390.001, None, None)","(51.483, 390.001, None, None)","(51.483, 390.001, None, None)","(51.483, 390.001, None, None)","(43.963, 388.729, None, None)"
1,"(705.056, 232.966, 20.291, -20.813)","(741.01, 216.624, 24.021, -1.746)","(774.861, 193.133, 18.03, -40.774)","(782.709, 143.857, -7.932, -48.875)","(785.55, 105.745, 22.031, -54.023)","(759.019, 84.964, -45.769, -2.147)","(710.821, 87.125, -51.897, 24.402)","(669.265, 96.276, -57.368, -4.215)","(624.406, 98.843, -56.307, -4.861)","(582.376, 96.28, -36.676, -6.681)","(542.102, 89.271, -30.226, -20.813)","(501.459, 85.22, -24.678, 0.883)","(462.095, 84.68, -31.16, -12.611)","(419.919, 85.338, -55.846, 7.77)","(378.943, 85.168, -57.573, -14.006)","(335.874, 84.322, -41.159, -14.257)","(292.464, 83.407, -37.348, 11.388)","(251.066, 83.232, -34.865, -17.938)","(209.055, 81.161, -22.199, 6.94)","(171.137, 78.531, -43.366, -12.588)","(130.682, 94.461, -23.571, 31.388)","(108.591, 131.538, -26.077, 31.421)","(99.114, 173.147, -8.764, 36.057)","(92.296, 214.238, -19.406, 32.247)","(87.214, 257.853, -7.715, 37.161)","(82.764, 296.544, -14.94, 22.868)","(80.026, 335.164, 11.611, 23.032)","(66.128, 365.645, -44.009, 17.319)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(777.45, 185.226, 21.183, -58.139)","(790.507, 130.518, 14.643, -65.523)","(775.262, 92.928, -54.224, -25.668)","(727.701, 80.057, -62.928, -0.242)","(677.282, 80.482, -50.973, 6.05)","(628.019, 80.561, -35.133, -11.582)","(583.253, 79.283, -55.659, -14.647)","(535.08, 74.081, -44.267, -3.597)","(488.599, 74.774, -33.637, 2.295)","(445.164, 75.591, -40.735, 2.077)","(398.501, 77.891, -37.293, -2.368)","(351.756, 79.665, -62.159, -2.334)","(307.517, 79.665, -61.872, -4.279)","(263.111, 80.375, -45.103, -10.065)","(217.363, 79.465, -36.778, 9.364)","(176.175, 78.528, -41.748, -3.886)","(137.02, 91.013, -17.835, 24.471)","(114.953, 133.391, -15.104, 54.295)","(101.951, 177.626, -22.997, 45.272)","(93.269, 220.425, 0.596, 27.776)","(87.87, 264.602, 4.903, 56.118)","(80.607, 307.651, -0.642, 37.486)","(71.018, 351.091, -26.316, 42.385)","(39.9, 369.884, -36.036, -6.578)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(657.812, 242.268, 36.392, -9.596)","(695.673, 228.598, 12.147, -3.963)","(727.203, 220.754, 16.809, -0.13)","(756.897, 211.015, 44.97, -23.45)","(779.327, 185.844, 41.119, -19.834)","(789.226, 141.649, 4.928, -33.147)","(778.215, 112.429, -8.706, -41.605)","(760.936, 94.337, -59.552, -10.493)","(717.357, 102.128, -39.837, 23.962)","(683.074, 112.645, -23.732, 11.309)","(645.94, 113.708, -54.373, -11.318)","(622.074, 113.885, -67.345, -0.688)","(603.232, 113.81, -53.409, -6.79)","(580.123, 113.908, -29.938, -2.482)","(544.186, 103.534, -44.669, -1.936)","(502.487, 97.047, -38.939, -10.165)","(464.189, 97.439, -23.506, 10.461)","(425.248, 96.724, -27.68, 8.828)","(387.295, 96.67, -25.919, 3.17)","(347.622, 96.638, -50.888, 4.873)","(308.715, 95.509, -51.31, -5.913)","(271.719, 94.111, -40.096, 15.671)","(237.337, 91.618, -39.591, -9.991)","(199.928, 88.638, -51.507, 5.483)","(162.84, 83.012, -30.445, -3.523)","(128.315, 97.516, -23.554, 32.018)","(113.413, 134.288, -8.387, 39.952)","(111.549, 176.506, 3.273, 45.642)","(108.783, 217.927, 9.339, 48.034)","(108.049, 256.771, 3.894, 28.874)","(103.704, 293.332, -12.365, 47.51)","(100.239, 329.094, 1.172, 25.143)","(88.952, 357.579, -29.925, 26.454)","(66.119, 371.904, -30.09, -6.59)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
4,"(622.527, 263.533, 22.038, -12.178)","(657.951, 253.724, 55.374, -1.516)","(692.874, 248.05, 33.505, 6.747)","(722.744, 234.115, 10.927, -21.36)","(753.655, 216.92, 38.205, -20.612)","(781.272, 196.537, 8.196, -9.849)","(801.842, 167.154, 18.145, -68.837)","(801.727, 123.966, 3.162, -24.56)","(797.697, 86.632, -19.262, -32.515)","(777.089, 60.946, -29.08, -1.029)","(738.906, 58.467, -38.455, -1.513)","(696.409, 60.292, -40.011, 18.258)","(656.299, 61.793, -32.356, -12.272)","(617.94, 62.288, -29.482, -12.765)","(583.597, 63.259, -42.413, 1.955)","(546.125, 65.213, -46.864, -14.033)","(505.823, 65.986, -36.081, -6.818)","(463.98, 67.843, -53.867, -12.387)","(425.122, 67.55, -35.988, 10.331)","(382.404, 68.095, -35.538, -11.99)","(341.591, 68.902, -32.265, 2.746)","(302.864, 69.051, -34.347, -12.252)","(264.484, 70.145, -28.209, 12.581)","(227.452, 73.523, -47.216, 19.408)","(192.698, 71.71, -46.193, 9.438)","(155.268, 71.549, -33.783, 2.919)","(120.811, 92.756, -39.081, 44.402)","(93.466, 128.41, -12.879, 41.471)","(76.472, 165.139, -1.543, 40.076)","(67.745, 203.388, -9.509, 47.137)","(65.746, 238.283, -13.432, 36.072)","(64.807, 273.178, 9.551, 33.901)","(62.389, 307.953, -9.991, 43.085)","(62.685, 337.891, 3.73, 15.843)","(47.2, 361.184, -60.898, 0.431)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(472.278, 329.581, 36.393, 3.773)","(508.402, 326.779, 40.979, -11.622)","(550.308, 319.167, 27.397, -20.167)","(583.182, 311.349, 23.39, -15.931)","(614.545, 300.395, 26.904, -25.796)","(642.566, 290.678, 18.233, -23.024)","(671.857, 281.38, 34.896, -27.079)","(697.416, 271.192, 46.935, -23.331)","(720.695, 262.233, 46.85, -32.729)","(740.889, 251.929, -1.231, -9.489)","(756.343, 246.136, 38.445, -8.057)","(768.835, 234.745, 19.024, -35.664)","(782.912, 227.043, 20.316, 6.618)","(788.104, 216.367, 7.639, -11.155)","(791.396, 191.959, 4.377, -20.318)","(790.552, 146.786, 8.32, -58.869)","(795.057, 100.768, 5.166, -16.871)","(801.451, 79.911, 7.906, -10.306)","(785.675, 59.668, -24.431, -5.496)","(745.347, 51.133, -40.947, -14.379)","(703.251, 52.942, -57.17, 12.603)","(662.785, 54.667, -29.359, 8.057)","(621.175, 57.456, -53.29, 12.41)","(579.085, 57.714, -32.428, -1.221)","(535.137, 58.286, -38.044, 7.447)","(496.775, 60.31, -56.051, -4.505)","(456.646, 60.442, -39.87, -7.236)","(417.822, 61.54, -51.1, 3.847)","(377.726, 60.395, -52.189, -13.147)","(341.129, 60.913, -23.987, -8.614)","(305.412, 61.865, -46.901, -5.185)","(270.211, 62.169, -36.359, -9.982)","(239.372, 64.568, -44.457, 13.225)","(206.528, 66.292, -36.308, -3.759)","(168.171, 65.034, -28.817, 16.401)","(119.29, 79.571, -46.357, 16.648)","(89.827, 109.901, -29.711, 30.48)","(73.887, 143.455, -20.773, 29.434)","(67.026, 180.919, -3.704, 25.723)","(65.093, 218.19, 11.127, 28.003)","(65.784, 259.685, -14.201, 44.195)","(62.321, 295.91, -17.169, 22.61)","(60.498, 327.545, -13.917, 32.326)","(55.873, 354.961, -18.86, 20.78)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
6,"(776.53, 251.484, 25.308, -29.594)","(801.663, 228.793, 3.635, -29.841)","(809.587, 202.394, 25.522, -25.744)","(821.475, 165.934, 13.784, -50.218)","(823.997, 152.891, 4.148, -27.306)","(821.292, 135.36, -7.864, -26.454)","(809.438, 96.109, 1.954, -57.137)","(791.789, 67.063, -44.229, -35.112)","(746.26, 55.987, -42.533, -10.416)","(697.632, 59.088, -33.31, -6.826)","(652.036, 61.996, -46.062, 6.096)","(609.311, 62.245, -38.36, 12.191)","(568.392, 66.186, -34.573, 8.44)","(525.409, 68.982, -46.101, 4.183)","(482.322, 71.616, -49.499, 7.692)","(440.953, 73.07, -40.806, -7.442)","(401.647, 75.426, -46.676, -11.014)","(362.049, 76.412, -37.078, -4.268)","(321.9, 74.719, -50.411, -9.66)","(282.668, 76.377, -50.454, 0.021)","(246.642, 78.371, -26.758, -4.763)","(208.778, 81.554, -34.624, 12.849)","(170.117, 79.415, -48.806, 3.962)","(133.12, 91.345, -23.998, 41.703)","(113.396, 127.283, -1.726, 30.435)","(102.962, 167.447, -20.381, 30.277)","(99.455, 206.286, -7.215, 52.079)","(98.216, 244.597, -11.18, 36.582)","(95.063, 283.374, -8.717, 37.954)","(89.114, 318.54, -3.915, 27.777)","(83.859, 352.046, -18.435, 9.936)","(47.017, 365.034, -70.412, -3.041)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
7,"(325.076, 533.219, 43.274, -3.671)","(354.164, 527.016, 43.273, -11.278)","(382.602, 522.248, 36.036, 5.706)","(415.505, 521.402, 26.219, -1.397)","(448.823, 521.36, 25.822, -14.359)","(485.304, 522.978, 47.641, 13.152)","(523.626, 523.078, 40.968, -1.561)","(559.251, 528.081, 46.227, 13.092)","(596.943, 534.749, 33.55, 6.7)","(631.313, 539.813, 28.14, -18.403)","(663.043, 538.743, 34.846, 11.695)","(693.833, 538.487, 26.033, 17.533)","(721.855, 538.55, 18.117, 15.276)","(747.508, 534.47, 32.876, 12.333)","(773.352, 542.285, 0.429, 23.809)","(779.918, 571.668, 10.554, 29.125)","(781.597, 606.198, -5.522, 21.83)","(786.548, 636.881, 15.435, 19.099)","(776.74, 657.103, -18.512, 0.29)","(740.1, 657.762, -23.856, -10.295)","(709.886, 648.391, -21.905, -5.087)","(675.496, 658.413, -64.889, 22.489)","(630.235, 659.757, -49.323, 11.984)","(584.441, 655.779, -22.142, 10.225)","(542.778, 659.648, -51.871, -16.545)","(494.061, 647.994, -27.963, 1.43)","(455.872, 637.031, -52.591, -21.325)","(443.057, 636.035, -27.508, -6.834)","(436.125, 636.145, -37.23, 7.442)","(411.621, 636.054, -13.407, -1.475)","(392.354, 636.175, -29.984, -11.677)","(361.296, 636.739, -41.762, -7.92)","(324.111, 637.879, -47.439, -8.98)","(285.805, 637.496, -28.365, -6.864)","(255.246, 639.049, -19.292, 7.221)","(237.068, 639.499, -6.904, 14.66)","(226.114, 641.268, -28.52, -4.679)","(218.859, 636.427, -12.38, -7.146)","(209.669, 639.953, 5.467, -0.934)","(206.448, 647.716, 15.122, 21.788)","(191.142, 651.355, -34.832, -6.47)","(182.374, 651.016, -31.556, -0.349)","(154.244, 656.547, -23.782, 17.648)","(136.229, 634.453, -10.284, -39.561)","(128.406, 590.812, -2.078, -45.17)","(120.714, 551.716, -24.307, -25.004)","(114.934, 513.632, -24.352, -48.099)","(105.871, 477.735, -11.6, -43.923)","(100.089, 448.504, -11.716, -5.93)","(94.753, 428.466, -1.481, -8.352)","(90.997, 409.346, 3.842, -26.627)"
8,"(751.071, 233.162, 36.913, -24.848)","(785.257, 202.296, 16.438, -23.919)","(809.781, 151.683, 15.187, -53.925)","(805.689, 108.972, -17.691, -47.143)","(781.283, 77.054, -45.862, -12.586)","(734.58, 63.179, -56.867, -11.389)","(681.777, 63.867, -40.059, 11.306)","(634.053, 66.562, -51.87, -2.917)","(589.979, 67.927, -44.942, -5.219)","(547.459, 66.401, -27.076, -10.4)","(504.764, 66.986, -51.674, -13.483)","(461.125, 70.151, -30.815, 6.492)","(417.454, 72.243, -26.447, 7.557)","(372.713, 75.164, -36.406, 14.625)","(331.145, 76.448, -47.949, 1.1)","(288.76, 78.017, -44.93, 7.067)","(246.194, 79.999, -34.192, -4.429)","(204.223, 80.96, -36.115, 1.891)","(163.45, 78.612, -56.082, -2.198)","(126.644, 100.401, -43.067, 30.687)","(108.995, 140.486, -1.296, 37.602)","(99.495, 182.648, -7.705, 52.304)","(92.377, 222.783, -19.115, 42.315)","(85.885, 265.11, -13.894, 52.928)","(80.254, 305.577, -13.196, 48.901)","(76.604, 342.131, -18.274, 23.791)","(43.536, 365.345, -64.163, -0.333)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
9,"(299.526, 166.111, 24.84, 1.445)","(319.79, 166.061, 28.217, -0.947)","(337.356, 166.026, 38.531, 0.429)","(361.307, 166.13, 27.339, -7.122)","(390.278, 166.749, 18.949, -1.66)","(419.896, 168.509, 13.358, 4.836)","(446.892, 170.086, 21.439, 3.883)","(469.276, 174.085, 19.542, 7.553)","(497.071, 178.502, 37.382, 16.18)","(523.125, 182.572, 20.98, -3.451)","(552.409, 196.126, 34.884, 9.387)","(575.666, 205.042, 37.356, 5.79)","(600.097, 209.415, 22.279, -4.084)","(626.165, 211.95, 27.674, -7.497)","(648.973, 214.157, 31.625, -16.057)","(673.582, 215.513, 32.36, 0.666)","(698.037, 215.386, 32.594, 5.012)","(718.196, 218.187, 20.131, 7.303)","(735.93, 222.518, 40.932, -7.452)","(752.715, 220.474, -15.643, 19.786)","(769.107, 219.206, 12.451, -18.592)","(774.697, 217.564, -6.919, -14.522)","(783.408, 200.771, -9.541, -10.918)","(794.822, 179.603, -31.185, -17.274)","(789.913, 146.016, 16.43, -77.861)","(797.185, 107.349, 11.25, -43.246)","(786.711, 82.977, -13.758, -29.145)","(762.057, 64.691, -15.993, 8.965)","(729.02, 58.099, -22.947, 7.895)","(697.954, 56.394, -29.807, 6.115)","(663.345, 57.553, -49.819, -6.595)","(624.287, 58.077, -44.074, -5.404)","(584.343, 58.041, -54.173, -3.237)","(541.724, 62.045, -44.796, -2.702)","(498.866, 62.261, -35.346, -14.98)","(457.316, 61.941, -41.594, -14.813)","(416.807, 62.32, -55.906, 9.514)","(379.565, 62.173, -58.187, 13.908)","(343.487, 59.74, -55.854, -9.487)","(309.639, 59.808, -56.942, 18.57)","(275.407, 61.818, -26.816, 11.566)","(240.732, 64.355, -31.05, 12.338)","(208.804, 66.427, -36.221, -8.065)","(173.379, 63.336, -35.371, 6.981)","(133.192, 73.104, -24.779, 26.775)","(98.869, 103.682, -33.482, 13.945)","(78.206, 136.575, -16.314, 21.459)","(68.82, 167.999, -8.905, 36.566)","(64.213, 204.125, -3.683, 50.246)","(63.56, 237.241, -14.063, 28.703)","(64.694, 267.068, 3.342, 43.828)"
