,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,"(450, 375, None, None)","(450.784, 374.457, None, None)","(475.866, 357.093, None, None)","(527.113, 355.926, None, None)","(583.713, 352.531, None, None)","(594.307, 327.183, None, None)","(638.027, 324.088, None, None)","(673.801, 303.319, None, None)","(717.211, 299.116, None, None)","(740.356, 290.247, None, None)","(750.604, 269.79, None, None)","(768.133, 265.226, None, None)","(771.893, 246.533, None, None)","(787.951, 233.042, None, None)","(790.81, 216.122, None, None)","(790.969, 215.182, None, None)","(807.643, 178.779, None, None)","(812.019, 149.551, None, None)","(816.533, 130.072, None, None)","(819.954, 117.172, None, None)","(831.685, 97.527, None, None)","(831.991, 74.65, None, None)","(831.991, 74.65, None, None)","(831.991, 74.65, None, None)","(792.222, 58.562, None, None)","(748.668, 52.018, None, None)","(726.775, 50.892, None, None)","(696.326, 49.02, None, None)","(696.326, 49.02, None, None)","(641.997, 47.904, None, None)","(584.81, 46.729, None, None)","(527.611, 46.381, None, None)","(470.412, 46.072, None, None)","(457.065, 46.001, None, None)","(420.839, 46.15, None, None)","(363.639, 46.385, None, None)","(306.44, 46.62, None, None)","(249.273, 47.801, None, None)","(206.684, 52.445, None, None)","(206.684, 52.445, None, None)","(206.684, 52.445, None, None)","(206.684, 52.445, None, None)","(206.553, 60.07, None, None)","(206.047, 89.619, None, None)","(153.718, 86.299, None, None)","(143.396, 108.983, None, None)","(136.094, 140.379, None, None)","(136.066, 197.579, None, None)","(132.903, 254.638, None, None)","(126.203, 311.395, None, None)","(118.102, 356.433, None, None)","(64.737, 357.953, None, None)","(28.525, 358.985, None, None)","(12.77, 355.186, None, None)"
1,"(565.716, 409.953, 25.616, -11.654)","(595.943, 395.57, 46.099, -12.728)","(627.193, 380.517, 16.728, -23.419)","(657.076, 360.126, 40.494, -30.712)","(689.053, 342.713, 28.018, -32.793)","(716.78, 323.46, 30.026, -20.222)","(740.762, 302.935, 37.985, -28.314)","(763.464, 282.556, 19.521, -15.551)","(780.385, 266.281, 7.126, -22.863)","(788.762, 252.367, -15.514, -34.065)","(794.829, 236.462, -7.684, -43.794)","(802.917, 209.979, -11.17, -14.234)","(811.482, 181.154, 14.605, -12.642)","(810.325, 146.639, 10.844, -33.863)","(812.795, 115.701, -18.261, -38.39)","(791.088, 82.533, -44.739, -26.356)","(755.528, 62.807, -22.367, -29.816)","(720.979, 52.224, -46.392, -24.122)","(680.788, 52.507, -27.564, -6.556)","(637.063, 55.105, -60.575, 0.086)","(596.026, 55.966, -56.419, 10.831)","(551.974, 56.805, -34.136, 9.123)","(509.449, 58.965, -51.126, 3.672)","(470.783, 59.313, -49.163, 13.468)","(431.769, 60.826, -55.677, 10.844)","(392.553, 63.507, -42.522, -14.916)","(353.106, 62.63, -31.664, -7.022)","(315.298, 62.777, -43.694, 1.82)","(278.604, 63.996, -37.8, 0.043)","(245.027, 66.173, -60.48, -0.834)","(208.769, 67.01, -38.943, -9.812)","(169.12, 64.421, -45.427, -7.642)","(122.483, 77.802, -17.385, 4.144)","(95.92, 104.469, -27.896, 30.296)","(78.732, 135.779, -30.509, 26.744)","(69.184, 175.927, -4.983, 48.171)","(66.741, 213.373, 2.997, 41.726)","(65.979, 249.715, -11.533, 23.7)","(65.368, 282.681, 4.853, 25.516)","(65.162, 317.713, -17.225, 42.732)","(61.293, 346.642, -5.054, 26.597)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(564.603, 342.311, 12.254, -18.368)","(585.589, 314.482, 17.205, -18.385)","(614.025, 293.116, 45.579, -19.009)","(648.73, 282.878, 29.253, 1.932)","(677.662, 269.658, 40.817, -6.934)","(707.616, 256.371, 33.103, -23.812)","(731.119, 243.619, 23.727, -7.172)","(752.414, 232.143, -1.216, 5.828)","(772.696, 222.671, 37.9, -12.754)","(781.232, 197.613, 6.659, -18.82)","(793.784, 154.853, 19.578, -53.791)","(809.635, 121.793, -0.388, -35.392)","(807.485, 85.786, 0.581, -16.655)","(800.653, 64.22, -15.549, -25.02)","(774.012, 51.224, -12.162, -6.483)","(737.537, 50.65, -55.159, -10.254)","(687.639, 54.194, -27.998, 14.343)","(643.687, 56.515, -30.742, -0.87)","(602.318, 55.627, -25.004, -3.297)","(561.384, 54.308, -37.248, -4.665)","(516.198, 58.216, -37.552, -3.196)","(473.034, 59.751, -35.296, -10.795)","(433.029, 60.924, -27.159, 7.75)","(391.017, 60.828, -37.878, 0.697)","(351.592, 60.984, -35.133, 16.104)","(311.787, 62.406, -53.398, 16.113)","(275.019, 63.606, -18.763, -10.829)","(235.404, 64.928, -38.875, -6.321)","(200.537, 65.633, -28.371, -7.129)","(161.028, 66.343, -35.226, -10.272)","(111.008, 84.737, -21.317, 12.816)","(85.632, 116.781, -8.77, 24.623)","(72.16, 152.826, -19.565, 40.992)","(66.604, 192.316, -5.719, 35.789)","(65.803, 229.793, 10.321, 37.661)","(65.506, 266.853, 5.886, 45.477)","(63.215, 299.308, 12.685, 25.719)","(61.98, 329.325, -17.664, 25.21)","(56.342, 358.255, -41.078, -4.591)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(374.13, 338.155, 26.716, -4.169)","(415.335, 335.007, 42.699, -5.313)","(449.823, 329.277, 26.037, -20.671)","(484.965, 318.421, 63.006, 6.277)","(523.15, 311.361, 31.613, 8.623)","(553.943, 300.69, 30.526, -28.377)","(588.424, 292.598, 22.255, -15.549)","(623.092, 287.942, 48.995, -9.126)","(657.796, 282.132, 20.76, -21.396)","(685.749, 274.135, 19.68, -4.981)","(707.533, 267.662, -2.217, -19.647)","(729.966, 258.782, 8.108, 1.892)","(750.617, 250.82, 14.533, -22.056)","(763.568, 246.197, 15.017, -8.763)","(777.682, 235.704, 3.98, -6.205)","(786.794, 229.809, -2.183, 18.331)","(795.89, 209.576, -0.074, -22.02)","(797.987, 196.31, 20.241, -17.964)","(805.559, 173.756, -24.735, -37.757)","(810.261, 143.755, 10.883, -36.039)","(809.158, 117.327, -15.203, -47.555)","(795.368, 77.167, -30.385, -20.933)","(775.335, 57.153, -14.601, -14.11)","(746.199, 54.46, -40.344, 2.436)","(702.818, 52.344, -36.111, -2.298)","(667.106, 54.726, -54.692, -16.305)","(623.527, 55.404, -42.288, -5.239)","(586.448, 56.405, -35.531, 12.617)","(544.329, 57.419, -29.458, -11.551)","(498.885, 58.929, -41.767, -5.09)","(454.832, 62.108, -30.288, 1.582)","(414.665, 64.017, -55.733, 9.025)","(373.123, 64.99, -48.006, 9.596)","(333.919, 64.471, -35.147, -5.092)","(301.664, 63.761, -40.101, 11.592)","(270.83, 66.401, -39.508, 6.706)","(240.349, 66.401, -35.121, -2.939)","(207.684, 66.699, -63.601, 0.826)","(170.346, 67.223, -56.454, 24.104)","(128.992, 71.109, -28.39, 26.419)","(100.297, 93.698, -34.452, 24.664)","(75.871, 127.871, -20.523, 49.532)","(64.657, 162.112, -8.575, 38.509)","(60.075, 199.06, 3.893, 35.668)","(59.323, 236.116, 6.043, 24.566)","(57.824, 270.309, -7.881, 31.225)","(54.958, 300.667, -8.22, 15.176)","(54.481, 332.13, 4.155, 39.303)","(47.407, 360.003, -53.412, 13.073)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
4,"(420.692, 462.042, 31.037, 12.89)","(463.061, 467.783, 59.109, 12.915)","(509.881, 471.491, 58.646, -7.126)","(554.989, 470.891, 46.762, -11.83)","(597.848, 470.241, 44.784, -1.918)","(637.572, 474.306, 23.212, -5.119)","(676.512, 479.314, 43.977, 20.769)","(710.089, 486.042, 14.986, 6.148)","(740.642, 496.391, 40.752, 13.151)","(764.003, 505.538, 19.192, 15.644)","(784.12, 515.315, 16.544, 18.661)","(800.255, 534.793, 7.883, 3.609)","(809.192, 554.63, 3.724, 26.085)","(802.909, 583.834, -4.954, 20.278)","(804.099, 623.434, 14.819, 33.542)","(809.28, 659.641, -16.216, 42.126)","(794.446, 682.383, -26.569, 8.687)","(757.936, 690.81, -39.823, 17.506)","(717.263, 691.718, -53.659, -1.183)","(683.075, 692.14, -33.8, 2.057)","(646.684, 689.316, -22.43, 12.822)","(608.563, 686.433, -49.99, 8.602)","(566.025, 682.014, -40.913, 4.005)","(529.683, 679.307, -27.657, -3.297)","(489.934, 681.01, -46.813, -3.054)","(449.177, 681.622, -37.226, 0.366)","(407.618, 678.832, -39.762, -18.202)","(368.142, 677.424, -30.038, 3.397)","(327.792, 678.6, -52.848, 13.469)","(284.334, 678.875, -50.998, -7.35)","(245.622, 676.093, -26.731, 10.18)","(207.789, 671.62, -37.95, -7.054)","(170.233, 667.543, -42.513, 11.913)","(137.794, 647.45, -2.904, -40.052)","(124.588, 609.391, -10.913, -37.248)","(119.056, 569.881, 9.922, -35.625)","(111.547, 533.463, -20.001, -37.324)","(107.176, 496.692, -1.217, -41.615)","(102.363, 459.596, -2.929, -39.127)","(97.072, 432.984, -12.974, -10.997)","(92.61, 411.335, 5.279, -12.505)","(86.068, 394.868, -20.592, -18.492)","(68.051, 387.217, -14.981, -26.158)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(289.438, 356.622, 20.856, -39.436)","(321.865, 338.042, 21.628, -27.323)","(354.747, 325.781, 46.665, -8.107)","(388.768, 318.317, 33.222, -18.946)","(426.396, 308.336, 53.489, -2.797)","(460.934, 297.3, 29.014, -4.765)","(493.821, 287.906, 26.214, -11.766)","(524.475, 278.967, 31.135, 9.998)","(556.473, 267.551, 40.596, 11.456)","(586.121, 259.967, 27.256, 0.462)","(619.577, 252.755, 44.135, -18.423)","(651.739, 246.782, 34.249, 9.356)","(676.591, 240.155, 25.598, 6.436)","(700.674, 230.593, 39.323, 8.037)","(722.197, 226.949, 26.652, 11.336)","(739.67, 224.874, 3.867, 0.916)","(760.022, 221.218, 7.593, -14.49)","(775.403, 208.823, 15.805, -25.248)","(788.252, 176.158, 2.959, -48.827)","(785.094, 136.731, 0.868, -39.34)","(790.027, 106.098, 23.939, -21.14)","(759.008, 85.875, -40.779, -7.771)","(724.673, 86.296, -19.053, 19.596)","(683.766, 82.157, -56.123, 10.491)","(643.097, 84.507, -27.727, -6.867)","(610.43, 87.304, -46.981, -12.85)","(570.72, 85.671, -65.002, -12.011)","(533.934, 94.427, -20.659, 19.106)","(498.036, 99.524, -33.455, -7.118)","(461.462, 98.646, -39.375, -1.629)","(418.366, 98.184, -52.855, -0.168)","(377.459, 97.196, -29.016, -12.814)","(337.769, 97.652, -23.986, 1.28)","(298.46, 96.315, -46.508, 9.845)","(268.91, 96.81, -36.41, 8.157)","(239.85, 96.311, -39.15, -0.692)","(206.874, 93.49, -12.196, 5.389)","(174.593, 98.619, -36.463, 3.038)","(140.767, 98.434, -34.539, 78.341)","(129.649, 146.471, 14.429, 45.519)","(126.214, 185.442, -4.838, 42.627)","(122.192, 223.531, -10.239, 37.016)","(120.372, 257.633, -10.576, 24.982)","(118.885, 291.018, -13.04, 26.819)","(115.173, 320.284, -0.753, 22.811)","(109.229, 347.036, 0.373, 26.439)","(97.034, 364.359, -11.809, 32.064)","(80.581, 375.987, -34.766, -3.384)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
6,"(578.981, 464.387, 12.54, -6.169)","(608.132, 472.933, 17.339, -12.11)","(637.099, 477.108, 18.068, 6.76)","(667.704, 479.748, 26.226, 5.766)","(697.681, 483.693, 47.656, 6.053)","(729.116, 488.792, 17.372, -6.324)","(754.245, 498.027, 17.929, -0.668)","(774.209, 506.737, 9.892, 27.411)","(793.136, 519.635, 9.246, 35.444)","(802.427, 534.992, 31.448, 22.73)","(820.893, 556.919, 5.644, 8.358)","(828.993, 574.059, -15.832, 23.39)","(829.749, 578.375, 14.398, -0.78)","(840.237, 583.902, 1.569, 5.595)","(841.161, 583.989, 30.088, 1.476)","(841.381, 583.987, 13.213, -0.11)","(841.381, 583.987, 13.213, -0.11)","(841.381, 583.987, 13.213, -0.11)","(841.638, 583.97, 15.56, -0.349)","(842.099, 583.994, -3.489, 0.059)","(841.283, 583.939, 6.971, 0.271)","(840.76, 583.997, -21.6, 1.647)","(840.474, 583.967, 5.306, 1.87)","(840.267, 583.97, -6.422, -0.128)","(839.439, 583.996, -13.964, 1.938)","(837.408, 583.972, -17.224, 2.856)","(829.136, 580.581, -24.579, -2.428)","(799.315, 609.336, -16.834, 30.405)","(790.851, 650.458, 13.388, 52.51)","(755.557, 652.298, -33.11, 15.175)","(716.584, 654.739, -27.753, -6.572)","(679.864, 655.817, -31.284, -16.131)","(641.219, 655.579, -34.33, 16.523)","(605.703, 656.358, -29.689, 3.599)","(568.999, 654.265, -21.878, -3.668)","(533.216, 655.863, -31.839, 11.899)","(498.969, 656.199, -35.001, -11.846)","(465.148, 656.207, -42.198, 2.159)","(430.239, 658.14, -26.046, -3.061)","(394.411, 659.408, -18.061, 2.372)","(359.204, 659.76, -22.01, 8.914)","(324.675, 660.546, -22.552, 8.896)","(292.37, 662.029, -38.08, -3.779)","(259.092, 662.455, -32.397, -7.525)","(226.94, 666.095, -48.661, 1.887)","(197.236, 665.298, -27.6, 15.07)","(165.915, 663.739, -31.661, 12.216)","(142.073, 644.834, -18.447, -45.143)","(131.549, 609.853, -13.747, -37.233)","(120.26, 578.976, -25.094, -19.512)","(108.391, 547.487, 1.718, -40.406)","(96.973, 517.135, -11.795, -18.449)","(90.069, 489.88, -6.295, -32.217)","(87.576, 466.426, -10.148, -12.252)"
7,"(455.95, 242.136, 57.589, -0.582)","(501.644, 239.415, 53.732, -3.644)","(542.148, 228.365, 24.374, -18.575)","(582.933, 220.179, 34.031, -23.444)","(621.396, 212.895, 36.46, 13.342)","(659.128, 212.29, 36.969, 0.389)","(691.774, 205.828, 10.248, -1.336)","(717.792, 198.353, 16.781, -23.958)","(742.317, 197.126, 21.003, 0.201)","(766.824, 192.715, 11.705, 19.346)","(780.108, 174.027, -10.776, -42.799)","(786.489, 129.234, -27.452, -23.114)","(771.772, 108.028, -7.168, -20.527)","(777.684, 92.462, -46.233, -17.837)","(728.219, 92.389, -56.403, 4.542)","(680.431, 112.827, -52.197, 25.324)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(672.308, 113.987, -44.4, 0.822)","(670.38, 113.99, -115.654, 0.204)","(648.805, 113.897, -43.151, -4.392)","(635.449, 113.954, -46.268, 0.094)","(622.539, 113.957, -13.207, 5.205)","(607.459, 113.775, -63.897, -3.362)","(586.459, 113.809, -33.237, -6.822)","(576.329, 113.966, -29.574, 6.763)","(566.571, 113.637, -40.421, -11.672)","(529.577, 102.314, -33.47, -14.428)","(496.224, 99.034, -23.169, 6.912)","(463.967, 99.804, -36.295, 4.361)","(430.861, 99.126, -35.423, 6.743)","(400.997, 99.079, -24.239, -13.505)","(370.265, 99.282, -44.897, 13.926)","(339.699, 97.14, -42.462, -11.773)","(308.712, 98.106, -52.162, -5.429)","(279.477, 97.271, -28.38, 12.735)","(248.2, 95.894, -18.136, 1.766)","(218.412, 90.451, -25.485, -11.732)","(185.42, 96.163, -17.86, 6.623)","(156.108, 86.442, -29.424, -14.538)","(132.386, 115.163, -17.465, 43.254)","(126.33, 160.615, -1.59, 36.966)","(123.828, 198.09, -18.362, 36.52)"
8,"(547.308, 542.946, 34.419, 15.4)","(576.779, 547.372, 38.967, -8.657)","(608.475, 546.093, 20.338, -16.601)","(641.766, 548.646, 22.134, 1.338)","(675.494, 549.928, 20.536, -4.782)","(712.84, 544.907, 49.52, -7.018)","(742.771, 543.123, 23.526, -10.08)","(771.266, 544.988, 24.924, 11.884)","(780.559, 561.886, 3.529, 2.299)","(791.559, 605.264, -18.276, 74.395)","(791.607, 647.999, 2.336, 32.145)","(763.042, 670.954, -61.183, 34.428)","(718.394, 682.574, -43.996, 16.939)","(677.845, 685.51, -30.172, 9.052)","(634.121, 683.293, -60.977, -12.253)","(588.345, 679.791, -35.961, -7.767)","(548.078, 676.807, -29.742, -15.607)","(508.408, 678.681, -25.365, -12.758)","(466.86, 681.827, -37.398, 1.39)","(424.723, 681.108, -29.028, -11.204)","(380.339, 678.913, -57.535, 0.84)","(340.26, 676.126, -28.855, -4.13)","(299.109, 673.632, -40.813, 14.436)","(260.056, 672.872, -29.551, 11.283)","(219.097, 670.332, -46.492, -1.078)","(180.687, 669.631, -41.128, -14.253)","(139.755, 656.864, -24.774, -35.009)","(119.874, 617.509, -24.749, -48.575)","(107.05, 577.813, -13.232, -44.89)","(95.823, 537.567, -7.954, -41.068)","(84.822, 498.465, -7.556, -25.696)","(75.579, 461.501, -22.143, -38.809)","(66.843, 430.965, 10.775, -24.698)","(70.818, 401.093, 1.044, -14.088)","(32.712, 383.443, -51.588, -8.355)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
9,"(250.429, 426.063, 27.294, -12.458)","(277.922, 420.512, 39.276, 8.54)","(308.229, 413.52, 35.306, -15.35)","(337.862, 402.976, 20.578, -23.236)","(370.916, 394.399, 17.461, -5.684)","(403.059, 384.848, 35.476, -1.856)","(436.783, 375.625, 19.24, -0.491)","(470.594, 366.495, 30.503, 1.566)","(502.018, 356.816, 40.629, -2.247)","(533.546, 348.474, 38.191, -1.366)","(563.243, 339.629, 43.89, -3.175)","(595.596, 330.153, 22.54, 3.858)","(625.965, 319.489, 19.546, -3.394)","(653.648, 308.915, 26.312, 4.329)","(680.076, 299.112, 12.52, -19.261)","(704.76, 292.196, 0.281, 6.721)","(721.817, 285.39, 8.61, -17.888)","(736.233, 281.223, 28.453, 4.231)","(750.173, 274.245, 22.902, 5.876)","(762.868, 268.402, 9.544, -3.729)","(774.853, 261.343, 17.45, 6.934)","(783.362, 257.042, 0.084, -14.672)","(794.22, 249.926, 14.997, -16.7)","(800.477, 239.889, 4.216, -28.287)","(802.809, 225.461, -3.032, -22.848)","(805.752, 211.825, 9.379, -30.42)","(815.433, 191.778, -13.887, -16.707)","(809.124, 169.994, 4.832, -33.144)","(799.847, 144.873, -14.344, -19.671)","(798.17, 121.326, -6.831, -36.936)","(803.107, 92.725, 13.312, -34.533)","(796.009, 86.843, -29.309, -17.021)","(775.137, 74.735, -14.183, 1.84)","(744.394, 68.3, -36.85, -7.663)","(713.592, 64.071, -25.881, 0.824)","(680.449, 63.045, -26.243, 2.25)","(650.247, 63.4, -45.943, -7.46)","(622.65, 64.122, -15.351, 11.466)","(590.644, 64.122, -38.885, -14.92)","(557.824, 64.302, -26.002, -6.128)","(523.17, 64.61, -23.257, 11.88)","(486.461, 63.658, -34.117, -0.357)","(447.831, 63.447, -52.926, 18.748)","(409.846, 65.708, -46.232, 10.739)","(373.031, 65.844, -32.464, -2.064)","(336.493, 66.025, -30.568, 11.388)","(302.796, 65.941, -15.38, 12.307)","(271.292, 66.285, -35.823, 1.154)","(240.366, 68.034, -30.969, -7.085)","(210.268, 71.106, -47.503, -19.576)","(180.042, 66.149, -26.56, 2.784)","(143.305, 72.834, -17.302, 30.465)","(114.974, 104.672, -20.328, 51.885)","(98.325, 139.956, -22.914, 22.853)"
