,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,"(450, 375, None, None)","(484.681, 368.564, None, None)","(520.158, 405.326, None, None)","(576.139, 417.068, None, None)","(632.164, 427.087, None, None)","(685.465, 424.204, None, None)","(715.687, 470.394, None, None)","(766.435, 496.785, None, None)","(802.978, 524.707, None, None)","(806.35, 562.48, None, None)","(786.231, 613.276, None, None)","(804.326, 641.407, None, None)","(775.868, 673.509, None, None)","(769.823, 679.429, None, None)","(740.273, 679.004, None, None)","(710.505, 636.093, None, None)","(670.817, 662.493, None, None)","(613.947, 662.44, None, None)","(569.145, 662.201, None, None)","(512.01, 660.934, None, None)","(457.098, 647.46, None, None)","(446.611, 647.538, None, None)","(415.02, 660.585, None, None)","(363.31, 652.732, None, None)","(306.972, 653.024, None, None)","(259.826, 660.027, None, None)","(215.185, 683.023, None, None)","(158.119, 683.318, None, None)","(123.014, 666.244, None, None)","(100.125, 613.825, None, None)","(97.432, 559.086, None, None)","(68.876, 515.596, None, None)","(83.489, 462.786, None, None)","(55.451, 412.929, None, None)","(27.414, 363.071, None, None)","(24.143, 357.255, None, None)","(24.143, 357.255, None, None)","(24.143, 357.255, None, None)",
1,"(589.244, 418.69, 34.357, -9.968)","(609.281, 406.713, 38.437, -1.126)","(632.569, 391.563, 19.436, 1.422)","(653.573, 376.281, 15.584, -6.988)","(677.348, 359.299, 14.829, -30.069)","(702.084, 341.348, 31.766, -17.237)","(724.12, 322.485, 8.084, -33.157)","(744.736, 305.329, 24.838, -1.784)","(767.262, 288.552, 7.109, -29.551)","(783.069, 273.353, 23.057, -5.579)","(796.671, 262.113, 9.865, 0.827)","(808.882, 254.224, -0.136, -11.474)","(815.923, 249.994, -12.698, -14.441)","(822.249, 246.443, 2.188, -4.798)","(825.057, 239.173, -7.972, -8.75)","(826.678, 229.588, 2.929, -16.602)","(825.775, 218.186, -4.115, -28.668)","(822.388, 210.775, 5.786, 6.763)","(817.271, 208.875, 1.621, -6.066)","(817.255, 207.915, -8.031, -0.88)","(811.482, 200.063, 10.312, -46.87)","(818.971, 179.383, -10.926, 1.264)","(811.35, 165.055, -24.036, -51.913)","(804.351, 137.533, 7.716, -35.929)","(807.601, 117.276, 1.065, -40.197)","(813.118, 92.266, 13.196, -18.688)","(806.61, 76.99, 1.829, -24.473)","(789.837, 61.653, -25.885, -11.703)","(759.298, 57.005, -36.972, -2.199)","(721.473, 59.148, -35.749, 9.193)","(688.378, 59.93, -10.494, -8.309)","(655.446, 59.326, -14.888, -7.744)","(620.116, 57.658, -50.073, -13.754)","(583.314, 57.021, -23.942, -4.496)","(546.292, 59.193, -49.31, 5.039)","(511.686, 59.172, -48.797, 7.014)","(478.67, 61.755, -20.17, 10.237)","(444.904, 62.74, -19.295, -11.356)",
2,"(287.13, 222.54, 16.345, -3.848)","(319.48, 213.819, 28.501, -22.131)","(347.994, 209.183, 32.935, 9.182)","(378.839, 205.264, 35.609, 7.755)","(406.899, 201.148, 15.015, 5.649)","(438.084, 199.924, 18.835, -9.649)","(472.445, 203.851, 47.286, 4.252)","(511.908, 201.953, 45.574, -8.333)","(550.511, 194.489, 47.999, -2.638)","(583.38, 189.017, 30.925, 4.86)","(612.756, 181.766, 31.757, 2.186)","(640.608, 179.085, 14.481, -3.899)","(664.089, 185.489, 24.427, 1.698)","(698.995, 188.8, 13.808, -15.658)","(723.512, 189.508, -2.131, -10.409)","(739.199, 192.354, -9.648, 14.529)","(751.131, 191.897, 36.078, 32.321)","(771.228, 193.263, 3.087, -3.085)","(776.289, 165.045, 13.972, -37.598)","(778.161, 139.82, -18.537, -23.561)","(786.817, 112.15, 31.384, -5.183)","(780.772, 95.047, -49.585, -7.105)","(729.706, 89.053, -63.129, 5.482)","(690.432, 100.129, -28.828, 24.677)","(657.069, 97.668, -53.924, -0.974)","(627.163, 96.088, -45.687, -9.798)","(587.591, 89.982, -54.544, 5.388)","(542.851, 97.824, -40.144, 21.154)","(506.658, 103.239, -43.779, -9.098)","(466.081, 103.136, -43.567, 11.536)","(425.956, 103.047, -44.85, -11.666)","(386.517, 103.947, -32.881, 15.927)","(345.389, 103.125, -39.729, 7.981)","(311.303, 103.519, -38.655, 7.905)","(278.005, 102.658, -40.329, 13.589)","(247.051, 102.998, -18.5, -13.025)","(228.142, 100.2, -19.26, 14.52)","(202.569, 97.378, -36.716, 25.011)",
3,"(630.224, 276.587, 50.965, -42.109)","(666.731, 255.123, 21.679, -20.797)","(700.239, 237.194, 20.617, -15.0)","(731.535, 221.935, 44.388, -6.801)","(761.89, 209.353, 38.516, -21.883)","(778.416, 172.964, 10.868, -56.972)","(770.321, 124.708, -26.611, -52.666)","(770.711, 95.469, -11.284, -43.166)","(750.26, 86.869, -65.396, -13.295)","(700.34, 103.196, -24.506, 30.473)","(664.889, 113.684, -40.934, -10.744)","(639.425, 113.82, -67.192, -0.428)","(604.313, 113.672, -30.772, 5.392)","(579.216, 113.719, -52.53, -4.646)","(548.47, 106.067, -59.983, -12.97)","(504.025, 97.118, -28.29, -7.725)","(464.522, 96.301, -52.826, 8.852)","(425.391, 96.887, -25.703, -8.425)","(384.969, 96.699, -35.443, -16.704)","(346.286, 95.317, -47.442, 13.34)","(306.731, 93.769, -27.161, 2.049)","(268.899, 90.954, -38.873, -14.15)","(229.218, 88.451, -37.357, -17.824)","(191.429, 89.266, -46.772, 2.361)","(151.846, 78.996, -55.724, -0.332)","(120.789, 108.228, -21.786, 42.11)","(107.303, 147.313, -1.092, 52.162)","(102.242, 187.61, -10.321, 41.971)","(97.708, 226.656, 11.262, 21.163)","(92.433, 263.295, -11.176, 32.974)","(86.516, 300.513, 1.633, 41.26)","(80.761, 333.716, 4.484, 19.983)","(66.496, 365.274, -44.936, 8.347)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
4,"(705.436, 264.256, 41.78, 3.54)","(749.143, 248.023, 29.375, -13.236)","(786.967, 229.634, 28.654, -10.99)","(808.398, 199.586, 10.248, -29.97)","(811.005, 175.468, -21.433, -33.852)","(806.272, 131.478, -0.361, -60.123)","(802.746, 85.58, -22.155, -26.383)","(776.803, 58.857, -29.41, -21.613)","(725.15, 56.034, -41.228, 12.374)","(674.918, 60.389, -44.254, 18.335)","(630.3, 62.278, -41.045, -12.164)","(587.842, 62.983, -27.733, 10.768)","(543.832, 61.823, -38.832, 10.028)","(500.948, 61.951, -42.553, -9.659)","(461.454, 62.61, -36.008, -0.56)","(423.464, 63.052, -33.344, -5.993)","(383.605, 64.909, -35.502, 9.107)","(345.491, 65.818, -30.046, -5.632)","(307.349, 67.911, -52.288, -4.902)","(268.684, 70.56, -52.171, 6.151)","(231.4, 77.328, -40.224, 16.986)","(195.144, 78.339, -35.93, -0.098)","(155.427, 75.644, -39.896, 13.223)","(123.012, 101.695, -38.114, 48.453)","(103.237, 139.524, -7.846, 28.29)","(91.026, 181.09, 8.293, 47.871)","(84.239, 221.883, 4.199, 34.12)","(82.68, 260.497, 9.124, 29.671)","(81.539, 300.548, -8.431, 35.546)","(80.992, 334.908, -8.033, 27.46)","(72.897, 364.514, -38.162, 7.014)","(31.341, 374.689, -67.304, 1.294)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
5,"(688.897, 575.075, 30.132, 12.24)","(724.652, 579.6, 23.332, 8.443)","(749.682, 574.715, 19.217, -16.261)","(768.222, 569.637, 22.916, -23.554)","(778.79, 594.693, -5.131, 27.915)","(778.081, 635.901, 6.668, 54.821)","(759.627, 653.0, -62.048, -19.655)","(709.336, 646.357, -65.33, -24.136)","(663.691, 641.6, -43.938, 8.476)","(619.045, 638.313, -58.794, -20.806)","(586.773, 636.078, -28.795, 3.252)","(566.055, 636.05, -47.993, -2.071)","(550.619, 636.059, -69.236, -8.068)","(548.069, 636.043, -31.764, 1.869)","(521.868, 636.035, -41.027, -3.679)","(494.569, 636.004, -31.147, -21.467)","(462.382, 636.269, -49.765, -2.674)","(436.974, 636.117, -56.816, -0.081)","(411.759, 636.073, -30.546, -6.187)","(377.894, 636.918, -35.425, 11.445)","(338.691, 636.454, -44.727, -12.789)","(298.673, 637.731, -32.658, 13.28)","(260.515, 642.584, -41.889, 11.936)","(224.507, 652.387, -47.194, -1.468)","(186.161, 656.738, -30.572, -7.791)","(143.751, 659.976, -10.864, -57.629)","(123.835, 619.098, -21.14, -42.41)","(112.895, 577.749, -25.958, -23.308)","(103.465, 537.296, 0.08, -46.505)","(93.736, 497.455, -20.676, -53.187)","(87.755, 462.689, 9.357, -21.098)","(87.632, 430.163, 0.478, -38.19)","(84.845, 402.124, 6.907, -39.004)","(66.846, 384.925, -32.363, -5.193)","(40.182, 381.105, -39.828, 19.21)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
6,"(610.481, 360.743, 25.733, -33.396)","(638.211, 332.079, 26.463, -28.101)","(667.753, 308.267, 38.113, -26.861)","(692.965, 289.871, 11.428, -16.872)","(715.667, 271.016, 34.648, -5.084)","(741.314, 250.834, 33.649, -10.422)","(765.487, 235.303, 3.92, -11.07)","(781.564, 216.033, 11.135, -39.581)","(793.473, 185.0, 11.759, -6.225)","(798.158, 148.296, 7.522, -36.754)","(799.012, 108.622, 9.362, -6.103)","(793.467, 84.538, 5.129, -7.827)","(762.551, 52.567, -21.039, -13.322)","(709.313, 51.545, -70.463, 16.5)","(651.395, 60.149, -43.301, -2.154)","(610.938, 60.169, -27.609, 6.632)","(568.262, 60.356, -37.306, -3.212)","(528.17, 64.879, -36.225, 3.267)","(485.652, 65.494, -44.163, -5.537)","(438.617, 65.581, -53.531, 15.936)","(392.334, 65.238, -51.581, 7.043)","(348.786, 64.447, -37.307, 6.251)","(308.379, 63.835, -47.687, 9.825)","(267.234, 64.715, -34.667, -11.137)","(229.219, 68.2, -39.703, 19.153)","(189.1, 67.684, -45.403, 1.328)","(148.947, 69.964, -61.159, 3.327)","(118.845, 99.091, -19.055, 36.876)","(98.899, 139.499, -22.924, 31.859)","(90.15, 181.058, -10.77, 40.684)","(84.682, 220.138, -9.445, 23.806)","(79.352, 257.266, -14.527, 35.784)","(74.182, 291.757, 11.465, 22.364)","(67.636, 326.24, 12.448, 29.562)","(65.454, 355.305, -14.075, 38.893)","(28.194, 373.714, -61.601, 23.39)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
7,"(485.937, 263.021, 39.89, -31.033)","(532.467, 244.712, 45.888, -18.387)","(568.143, 232.96, 45.28, -26.262)","(598.978, 223.905, 19.385, -8.282)","(631.182, 216.257, 34.523, -23.607)","(662.457, 209.738, 20.039, -2.243)","(695.303, 204.882, 32.147, 3.107)","(719.512, 200.783, 16.271, -4.664)","(738.229, 192.754, 3.269, 6.71)","(753.27, 190.639, 33.775, -18.802)","(774.826, 179.118, 29.196, -19.192)","(778.138, 156.609, -12.786, -41.216)","(784.745, 123.169, -2.329, -10.471)","(777.062, 104.045, -21.11, -11.298)","(753.137, 88.152, -90.174, -21.057)","(707.796, 81.945, -65.83, 2.781)","(661.091, 94.664, -44.915, -3.425)","(626.404, 85.374, -55.806, -19.652)","(574.973, 84.975, -71.771, 1.695)","(530.01, 92.115, -53.813, 19.339)","(485.664, 96.957, -40.32, -2.667)","(439.583, 98.558, -42.649, -4.464)","(394.014, 95.782, -40.458, -12.624)","(350.906, 96.729, -50.942, -11.851)","(309.613, 95.697, -43.255, -12.897)","(271.959, 94.709, -60.464, -16.792)","(234.541, 91.74, -37.872, 7.129)","(196.484, 92.542, -43.366, -11.298)","(167.873, 91.806, -17.554, -32.351)","(134.141, 100.479, -13.549, 53.602)","(121.301, 145.956, -18.858, 31.472)","(116.471, 189.277, 1.822, 46.864)","(111.186, 228.654, 3.236, 28.584)","(104.535, 267.385, -20.404, 44.888)","(99.441, 303.97, -23.176, 28.071)","(91.272, 336.785, -18.052, 30.807)","(79.672, 352.924, -7.41, 19.555)","(65.551, 363.556, -6.329, 25.065)",
8,"(639.547, 226.531, 24.179, -30.56)","(673.438, 210.35, 51.191, -19.258)","(700.78, 198.153, 25.591, -12.519)","(729.895, 192.663, 53.108, -14.514)","(753.396, 192.204, 15.383, -6.884)","(770.652, 193.307, 24.826, 23.65)","(775.189, 155.442, 6.661, -40.231)","(762.984, 120.635, -3.543, -28.618)","(754.691, 107.905, 1.43, -19.209)","(759.922, 95.251, -0.831, -28.41)","(756.822, 83.977, 3.459, -1.301)","(750.247, 77.115, 0.588, 6.503)","(742.22, 74.86, -6.725, 0.3)","(726.214, 82.676, -9.082, 31.693)","(725.089, 105.067, -3.69, 2.102)","(730.335, 112.13, -5.592, -10.546)","(730.187, 113.8, 16.72, -6.413)","(727.941, 113.963, -28.732, -1.301)","(729.283, 113.99, -15.397, 5.047)","(727.208, 113.959, -21.196, -1.21)","(728.112, 113.889, -0.608, -2.114)","(728.373, 113.989, 0.096, 2.405)","(728.55, 113.995, 15.397, 1.307)","(733.671, 107.967, 13.734, 16.786)","(741.849, 112.632, -12.814, -0.167)","(747.192, 113.157, 13.401, -8.944)","(747.694, 112.932, -7.778, -17.103)","(757.688, 106.337, -10.143, -9.337)","(773.893, 90.547, -67.014, 0.818)","(733.755, 94.975, -19.339, 6.271)","(718.636, 106.361, -27.972, 11.799)","(707.12, 113.934, -25.898, -0.896)","(703.627, 113.955, -36.762, 1.008)","(703.627, 113.955, -36.762, 1.008)","(701.323, 113.964, -42.153, -1.49)","(693.646, 113.941, -21.719, -1.281)","(682.234, 113.93, -47.711, -3.979)","(675.326, 113.983, -21.128, 3.937)",
9,"(715.51, 376.062, 31.413, -35.088)","(738.72, 348.925, 21.129, -26.513)","(759.404, 324.399, 6.434, -21.645)","(777.581, 299.919, -0.626, -35.692)","(793.861, 278.851, 14.124, -25.464)","(805.466, 253.995, -0.008, -10.886)","(814.681, 233.267, 0.441, -19.75)","(820.995, 220.497, 5.638, -25.251)","(818.559, 205.1, -8.745, -17.932)","(814.663, 202.053, 5.982, -13.225)","(810.934, 192.884, -8.269, -8.823)","(810.759, 166.52, -22.162, -45.592)","(812.688, 132.288, -8.197, -9.898)","(811.792, 102.348, -10.954, -26.075)","(806.276, 83.636, -11.848, -10.025)","(783.604, 63.499, -14.532, -30.544)","(749.583, 47.106, -44.27, -15.035)","(701.276, 50.296, -44.958, -4.392)","(658.284, 56.452, -28.403, 12.152)","(615.973, 57.0, -34.365, -0.231)","(572.562, 57.46, -33.101, 11.333)","(527.536, 58.573, -61.035, 7.394)","(485.29, 59.386, -43.626, 4.608)","(440.801, 60.633, -38.373, 3.119)","(397.195, 62.057, -37.063, 16.159)","(353.861, 62.653, -40.694, 14.019)","(316.421, 63.48, -16.013, -11.11)","(279.968, 64.344, -57.402, 10.644)","(241.591, 66.155, -35.14, 14.563)","(206.003, 66.448, -66.222, 12.332)","(165.483, 66.695, -19.082, -12.124)","(122.686, 81.405, -46.034, 3.882)","(94.044, 107.0, -32.805, 28.586)","(76.309, 137.941, -2.951, 29.114)","(66.153, 174.9, -3.251, 29.163)","(62.722, 214.356, -1.358, 52.86)","(60.725, 253.454, 15.308, 37.765)","(58.897, 289.42, 10.347, 20.189)",
