,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"(444.053, 412.667, None, None)","(444.053, 412.667, None, None)","(471.18, 394.926, None, None)","(522.998, 372.005, None, None)","(576.435, 351.752, None, None)","(593.788, 309.583, None, None)","(622.408, 285.951, None, None)","(669.358, 288.567, None, None)","(707.325, 285.369, None, None)","(739.649, 239.597, None, None)","(765.202, 203.356, None, None)","(765.139, 180.832, None, None)","(773.208, 127.594, None, None)","(732.03, 107.735, None, None)","(677.276, 96.851, None, None)","(625.889, 75.029, None, None)","(568.689, 75.014, None, None)","(512.409, 83.546, None, None)","(455.699, 87.298, None, None)","(398.51, 86.162, None, None)","(341.36, 83.794, None, None)","(284.434, 79.36, None, None)","(228.168, 69.067, None, None)","(176.305, 92.36, None, None)","(162.516, 98.881, None, None)","(130.672, 88.914, None, None)","(103.479, 135.684, None, None)","(93.124, 164.793, None, None)","(91.382, 221.967, None, None)","(89.641, 279.14, None, None)","(88.015, 332.502, None, None)","(50.881, 355.83, None, None)"
1,"(682.76, 329.935, -30.331, -46.556)","(702.59, 303.282, -14.296, -20.606)","(728.427, 272.001, 76.439, -84.43)","(751.696, 242.756, -14.944, 26.919)","(775.821, 222.443, 74.592, 6.122)","(800.592, 176.383, 21.658, -107.311)","(796.878, 125.427, -19.697, -47.017)","(770.059, 77.497, -21.443, -2.804)","(719.573, 77.899, -62.857, 22.956)","(671.217, 72.465, -62.976, 45.557)","(626.407, 71.062, -2.296, 49.808)","(579.026, 67.373, -0.625, 22.919)","(543.503, 67.705, -26.688, 55.866)","(492.861, 71.568, -37.241, 5.169)","(449.091, 70.413, -42.76, -11.569)","(404.097, 71.599, -9.42, -14.711)","(356.754, 69.622, -17.305, 26.152)","(312.056, 69.061, -62.347, -47.122)","(266.227, 68.226, -70.66, 28.833)","(225.202, 76.307, -64.806, -15.294)","(186.159, 74.901, -7.478, -54.22)","(143.281, 77.537, -11.232, 79.248)","(114.413, 115.852, 29.952, 11.648)","(100.9, 162.12, -19.659, 40.89)","(88.091, 207.633, -25.394, 85.716)","(73.584, 243.719, 34.833, 32.011)","(66.122, 282.814, -39.802, 38.05)","(63.455, 323.042, -38.088, 59.431)","(67.83, 359.616, -3.179, 74.125)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(709.871, 560.803, 106.209, 75.209)","(750.885, 569.783, 77.295, 44.46)","(780.348, 574.395, 51.003, 77.69)","(774.613, 624.965, 30.882, -8.918)","(774.546, 657.331, -53.741, 45.352)","(717.514, 650.306, 2.213, 18.615)","(672.077, 645.531, -38.56, -0.64)","(619.569, 647.06, -94.222, 35.792)","(571.772, 643.078, -40.02, 16.652)","(530.448, 640.493, -103.378, -35.901)","(479.51, 640.232, -14.767, -45.475)","(439.858, 636.424, -80.853, -32.609)","(403.837, 636.829, 4.375, 29.97)","(348.883, 639.62, -50.821, 10.18)","(306.419, 647.09, -52.325, 33.51)","(257.523, 648.944, -76.653, 65.016)","(211.464, 660.172, -64.483, 50.225)","(175.385, 661.394, -84.98, -48.828)","(143.238, 648.24, -78.147, -15.318)","(126.829, 603.057, 11.981, -47.688)","(115.705, 558.496, 37.677, -45.503)","(102.108, 516.866, -46.66, -9.892)","(82.302, 470.639, -59.369, -68.503)","(70.138, 437.553, -40.525, -89.454)","(72.7, 401.677, -29.834, 3.155)","(36.294, 383.436, -113.032, 9.514)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(534.362, 366.033, 83.653, 15.947)","(561.713, 345.153, 17.487, -30.057)","(598.768, 326.915, 88.737, 31.247)","(634.866, 307.806, 33.608, 31.437)","(672.577, 287.741, 87.758, -50.034)","(706.61, 273.797, 32.076, -18.896)","(730.675, 250.696, 66.153, -47.014)","(751.893, 238.488, 18.263, -65.371)","(772.805, 218.561, 39.974, -23.86)","(784.801, 211.974, -26.361, -29.113)","(792.85, 180.829, -16.212, -64.998)","(792.734, 147.594, 17.353, -7.222)","(803.595, 114.796, 39.279, -71.618)","(803.476, 91.982, 23.532, 26.039)","(766.689, 69.297, -61.907, -66.446)","(722.153, 61.864, -36.58, -34.529)","(675.372, 61.279, -28.02, 23.404)","(632.251, 64.26, -97.099, 36.649)","(587.32, 63.89, -93.676, -28.786)","(541.591, 61.172, -54.159, -49.82)","(495.88, 59.723, -14.23, -45.89)","(448.768, 62.955, -38.151, -41.349)","(406.827, 64.498, -83.954, 37.808)","(363.065, 62.097, -42.899, -54.143)","(325.082, 64.843, -23.49, 11.317)","(288.347, 60.265, -69.262, 1.628)","(249.99, 64.06, -5.585, -54.144)","(214.92, 67.713, -60.908, 16.401)","(174.158, 63.055, -82.508, 20.305)","(120.055, 82.97, -67.346, -17.916)","(84.741, 108.323, -11.404, 34.57)","(67.608, 150.794, -34.648, 55.442)"
4,"(250.612, 403.067, -4.911, 28.903)","(276.269, 389.785, 26.818, -51.885)","(298.094, 378.905, 63.807, -52.184)","(324.19, 368.072, 7.785, -18.486)","(349.602, 361.384, -27.733, -50.343)","(378.171, 353.773, 70.892, -55.57)","(407.141, 348.509, 29.823, 12.363)","(438.321, 352.624, 67.332, -32.2)","(462.16, 350.273, -3.823, 47.108)","(495.932, 345.631, 67.703, -17.916)","(528.398, 336.309, 56.357, -21.232)","(564.634, 328.828, 1.761, -43.729)","(601.081, 320.289, 74.407, -9.66)","(636.569, 308.89, 65.963, -21.782)","(659.223, 295.714, 14.663, -36.892)","(677.62, 288.443, -1.826, 27.601)","(702.851, 276.246, 54.939, 11.687)","(723.415, 257.423, -12.137, 19.051)","(747.635, 240.623, -18.106, -61.047)","(771.89, 224.156, -22.007, -46.095)","(782.736, 197.68, -34.616, -51.301)","(782.348, 170.188, 27.677, -24.652)","(785.723, 146.488, -21.085, 10.918)","(786.633, 115.392, -33.615, 5.208)","(768.445, 97.212, -102.917, -35.798)","(735.807, 97.702, -74.532, 32.158)","(689.095, 106.397, -46.328, 13.136)","(655.995, 106.217, -27.9, -26.217)","(636.575, 111.948, -17.278, -14.838)","(616.871, 112.59, -32.472, -25.15)","(594.979, 112.664, -7.346, -39.397)","(574.69, 112.557, 16.936, -18.284)"
5,"(437.432, 304.324, 72.179, -61.685)","(474.042, 289.587, 31.06, -1.221)","(511.926, 273.244, 95.74, -39.417)","(542.991, 247.122, 47.272, -31.077)","(574.613, 230.896, 9.323, -25.578)","(608.99, 220.671, 54.229, 25.925)","(644.26, 204.85, 48.344, -28.843)","(680.875, 199.765, 83.332, 26.033)","(717.386, 194.597, 8.225, -11.921)","(738.604, 180.279, 66.947, -64.214)","(759.249, 178.865, 8.9, -70.877)","(775.391, 173.396, 37.532, 16.378)","(784.723, 156.879, 35.337, -35.378)","(786.104, 113.83, 3.311, -5.85)","(760.396, 94.992, -112.7, -32.059)","(708.017, 113.843, -98.388, 14.773)","(682.299, 113.584, -27.966, -1.499)","(645.662, 113.143, -78.385, 0.348)","(610.646, 113.272, -101.831, -2.597)","(583.438, 113.697, -67.31, 8.705)","(565.583, 112.737, -10.338, -38.764)","(537.478, 105.959, -20.068, 26.66)","(493.664, 103.442, -82.676, -44.907)","(455.011, 102.326, -72.006, -22.961)","(415.513, 99.793, -42.421, 41.304)","(373.084, 105.291, -15.206, 25.102)","(327.213, 99.048, -96.807, 54.586)","(283.459, 100.034, -53.219, 29.542)","(242.123, 98.518, -58.528, -19.445)","(204.023, 94.664, -65.734, 54.671)","(174.562, 98.675, -35.816, 33.435)","(151.853, 88.372, -28.62, 17.171)"
6,"(306.756, 344.447, 2.505, -41.017)","(336.784, 329.164, 43.834, 1.647)","(371.406, 326.828, 79.02, 5.784)","(402.844, 317.984, 72.692, 7.051)","(425.601, 308.632, 77.267, 20.301)","(457.957, 299.087, 82.915, 40.768)","(493.515, 284.283, -11.753, -68.282)","(526.671, 270.18, 15.935, -50.775)","(562.22, 264.875, 22.976, 46.963)","(595.01, 258.07, 62.22, -58.596)","(619.577, 250.653, 2.761, -13.739)","(642.212, 245.886, -5.407, 43.448)","(661.007, 242.723, -40.277, 33.167)","(679.449, 228.611, 43.88, -49.186)","(699.1, 228.64, 64.681, -13.862)","(723.0, 218.221, 61.395, -68.79)","(752.863, 213.955, 7.304, -30.821)","(771.234, 205.68, -54.624, -90.22)","(783.831, 167.13, -48.829, -89.118)","(786.965, 126.082, 40.649, -89.901)","(780.466, 98.735, -80.707, -1.592)","(737.856, 112.067, -91.024, 24.776)","(704.487, 113.783, 8.006, 1.365)","(680.854, 113.055, -81.27, -41.008)","(653.984, 113.077, -19.183, 40.837)","(628.824, 112.895, -32.677, 54.831)","(609.063, 104.668, -32.071, -32.559)","(554.529, 90.466, -53.084, -13.35)","(507.752, 95.923, -63.409, -32.715)","(466.312, 97.732, -19.334, -15.221)","(422.355, 100.765, -18.365, 8.02)","(385.11, 98.712, -38.038, -14.574)"
7,"(752.354, 335.079, 27.54, -22.86)","(778.097, 300.59, 72.68, 8.265)","(794.276, 267.517, -34.546, -78.647)","(803.398, 229.525, -32.941, -7.528)","(813.371, 196.204, 6.602, -43.395)","(823.881, 154.673, -4.12, -57.925)","(823.934, 137.158, 44.657, 0.65)","(808.714, 85.685, 29.213, -68.464)","(779.694, 62.579, 8.06, -29.283)","(736.356, 62.414, -81.335, 38.804)","(691.741, 61.468, -29.559, 44.632)","(645.902, 60.469, -14.515, -17.363)","(594.487, 60.7, -40.794, 46.939)","(545.496, 63.97, -0.899, 38.472)","(505.775, 62.943, -47.551, 49.988)","(467.902, 67.051, -4.68, 8.237)","(423.277, 66.722, -76.263, 11.169)","(383.722, 68.294, -1.867, -40.78)","(344.744, 68.83, -48.344, -25.322)","(303.65, 66.598, -29.886, 58.511)","(259.807, 67.197, -70.064, 6.608)","(214.668, 72.331, -103.401, 38.463)","(170.401, 73.259, -33.198, -55.742)","(124.822, 87.883, -45.851, 52.732)","(88.423, 128.867, -73.71, 13.368)","(75.256, 168.95, 21.92, -2.811)","(66.497, 217.936, -24.142, 8.52)","(67.968, 258.925, -6.143, 58.915)","(65.003, 297.167, 50.525, -0.592)","(62.441, 336.997, 7.753, 35.606)","(28.472, 367.158, -118.303, 8.157)","(None, None, None, None)"
8,"(603.571, 568.09, 47.715, -14.291)","(637.744, 577.375, 6.089, 5.793)","(669.049, 583.48, 86.404, 1.994)","(695.703, 583.595, 87.877, -7.412)","(723.869, 582.589, 68.181, -31.978)","(745.968, 580.258, -10.454, 39.309)","(763.233, 563.684, 70.042, 0.785)","(771.167, 587.581, 9.719, -10.607)","(769.518, 625.226, -47.184, 39.225)","(773.243, 652.54, -52.837, 44.015)","(750.656, 650.926, -108.215, -64.486)","(698.783, 636.66, -59.237, -31.705)","(662.273, 636.141, -82.422, -49.381)","(626.718, 636.365, -71.203, 13.128)","(593.424, 636.537, -82.393, 4.353)","(555.284, 636.607, 3.003, 4.696)","(510.12, 639.661, -90.526, 29.173)","(470.209, 637.699, -73.79, 38.408)","(430.935, 636.762, -35.015, -24.627)","(386.612, 636.95, -44.597, -30.405)","(337.014, 637.781, -73.423, -5.895)","(286.933, 639.88, -90.581, 29.925)","(247.438, 649.973, -0.813, -0.111)","(207.841, 658.219, 9.007, -39.145)","(170.934, 661.511, -15.066, 25.469)","(138.694, 649.677, -35.23, -6.612)","(118.337, 609.815, 28.861, -9.49)","(101.705, 572.463, 19.858, -16.943)","(89.001, 534.017, -46.279, 2.372)","(76.204, 494.216, -37.432, -3.397)","(69.494, 459.242, 7.938, -6.341)","(66.636, 431.318, 3.797, -34.348)"
9,"(682.537, 507.453, 64.652, 67.105)","(715.945, 518.74, 45.606, -13.211)","(743.285, 533.85, 8.146, 58.464)","(774.604, 541.458, 49.696, 2.933)","(796.731, 577.608, -5.338, -1.209)","(793.622, 627.087, 20.687, 74.365)","(765.296, 661.212, -28.074, 45.696)","(718.394, 669.032, -58.891, -8.44)","(668.869, 664.162, -63.532, -8.058)","(620.227, 664.067, -36.795, 52.853)","(577.219, 658.646, -10.423, -12.874)","(535.408, 653.276, -17.793, -46.825)","(488.421, 652.989, 4.469, -17.923)","(442.537, 648.215, -35.256, -34.001)","(398.737, 647.671, -7.114, -14.344)","(363.878, 647.63, -91.35, 20.315)","(322.732, 648.723, 10.732, 38.082)","(280.748, 649.152, 1.473, -42.816)","(238.2, 658.999, -4.996, 43.514)","(201.236, 668.478, -91.497, 5.529)","(156.423, 664.702, -32.05, 14.661)","(135.999, 629.635, -35.544, 11.028)","(124.498, 584.984, -8.281, 2.655)","(108.705, 545.603, -57.382, -59.4)","(97.525, 505.5, -7.517, -12.29)","(87.604, 463.732, 17.354, -39.3)","(79.526, 433.923, -41.743, -8.451)","(80.304, 406.588, -47.542, -24.288)","(61.602, 389.552, -17.777, -30.079)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
