,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,"(472.033, 382.077, None, None)","(525.134, 384.839, None, None)","(575.527, 397.123, None, None)","(623.147, 428.811, None, None)","(660.45, 453.634, None, None)","(688.98, 478.757, None, None)","(737.845, 507.699, None, None)","(761.193, 558.829, None, None)","(777.296, 603.704, None, None)","(747.814, 642.148, None, None)","(690.905, 646.099, None, None)","(633.776, 648.027, None, None)","(576.914, 654.233, None, None)","(519.985, 659.563, None, None)","(463.21, 666.183, None, None)","(406.298, 671.919, None, None)","(349.238, 675.746, None, None)","(292.434, 681.457, None, None)","(236.149, 678.791, None, None)","(179.495, 674.568, None, None)","(143.009, 656.038, None, None)","(112.309, 611.988, None, None)","(104.389, 556.574, None, None)","(108.286, 500.137, None, None)","(94.265, 446.064, None, None)","(55.263, 404.577, None, None)","(31.041, 386.031, None, None)","(31.041, 386.031, None, None)","(31.041, 386.031, None, None)"
1,"(445.212, 447.594, 28.292, -28.337)","(477.158, 447.351, -13.517, 53.534)","(508.119, 446.725, -4.676, -35.105)","(547.816, 443.943, 58.328, -28.973)","(590.695, 450.909, 67.185, -23.528)","(624.41, 449.025, 91.447, -5.771)","(666.35, 460.472, 46.876, -27.619)","(708.635, 476.089, -8.117, 66.052)","(741.696, 489.744, -25.31, 66.176)","(758.135, 505.683, 43.201, -50.743)","(779.459, 510.994, -27.75, -36.701)","(784.493, 527.492, 47.057, 20.984)","(800.599, 561.303, -31.891, -5.759)","(800.436, 607.391, 7.964, 90.604)","(795.653, 645.879, -51.877, 16.489)","(761.786, 662.634, -60.613, -31.463)","(704.629, 659.513, -42.944, 13.156)","(654.081, 645.865, -98.354, 2.015)","(616.709, 636.419, -23.31, 3.136)","(587.357, 636.483, -54.532, -29.598)","(558.466, 636.902, -6.98, 9.007)","(515.28, 636.818, -29.506, -57.218)","(481.48, 637.589, 5.798, 5.001)","(447.651, 637.188, 10.843, 39.642)","(412.917, 636.295, -3.459, -14.156)","(378.186, 637.148, -11.097, -33.371)","(344.437, 636.407, -83.178, 7.978)","(298.096, 639.277, -46.694, -35.035)","(254.019, 642.444, -79.95, -31.273)"
2,"(659.916, 202.889, 76.236, -62.724)","(704.24, 194.098, 78.295, -21.726)","(740.416, 192.646, 18.389, 2.516)","(761.06, 192.515, -23.308, -1.53)","(780.493, 160.646, 63.339, -72.081)","(776.905, 98.492, 7.663, -102.1)","(722.741, 85.997, -5.893, -1.44)","(664.615, 94.793, -65.166, 56.673)","(613.318, 100.885, -91.06, -56.428)","(572.762, 97.199, -90.235, -39.804)","(524.254, 90.29, -16.58, -25.85)","(475.446, 84.381, -34.393, -34.595)","(423.507, 83.329, -17.795, 33.297)","(376.451, 86.65, -4.936, 22.287)","(331.214, 85.622, -30.305, 19.932)","(285.87, 80.733, -1.354, -32.662)","(234.666, 81.359, -28.723, -57.669)","(191.717, 78.764, -50.677, -31.28)","(146.475, 81.045, 24.959, 34.387)","(116.706, 120.923, -68.448, 45.898)","(97.482, 163.975, 2.057, 82.931)","(90.876, 207.108, -6.139, 26.025)","(85.648, 251.566, -15.731, 65.262)","(79.094, 293.544, -4.031, 83.361)","(73.871, 330.52, -20.412, 43.905)","(58.761, 361.079, -26.358, -34.96)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(582.346, 360.989, 47.605, -64.705)","(611.702, 337.885, -8.335, -40.635)","(642.241, 317.899, 24.08, -31.489)","(667.248, 294.055, 87.548, 3.15)","(695.786, 273.816, 10.661, 20.315)","(722.348, 259.297, 41.453, -35.822)","(738.485, 246.632, 54.424, -46.578)","(755.929, 232.923, -12.31, -18.65)","(772.307, 223.557, 0.771, -27.019)","(784.976, 191.134, -9.864, -38.384)","(792.342, 153.877, -10.807, -22.743)","(795.235, 124.716, 29.243, -66.748)","(787.807, 90.31, -78.262, 23.346)","(760.287, 74.998, -19.12, -21.615)","(735.234, 59.614, -71.966, -6.931)","(689.016, 54.497, -56.167, -0.356)","(649.815, 67.051, -90.455, -41.734)","(615.514, 68.263, -2.615, 26.297)","(568.282, 69.792, -95.147, 44.93)","(527.565, 62.11, -76.456, -53.687)","(485.934, 57.906, -31.813, -43.703)","(440.066, 57.056, -58.663, -43.203)","(399.399, 56.214, -27.193, -26.19)","(356.144, 61.965, -12.33, -51.275)","(312.28, 61.583, -6.398, -17.683)","(268.27, 60.299, -43.817, -32.503)","(233.148, 59.59, 12.654, 14.848)","(196.616, 62.747, -48.211, -18.266)","(150.927, 68.986, -97.85, 8.107)"
4,"(644.961, 335.106, 76.493, -22.12)","(675.151, 309.827, 25.086, -6.476)","(707.229, 284.473, 56.34, -13.109)","(735.553, 262.373, 55.555, -6.684)","(754.94, 248.786, -34.119, -35.39)","(775.389, 224.853, 65.764, -48.114)","(791.811, 202.21, -31.428, 33.286)","(812.13, 175.77, -41.11, -85.084)","(808.054, 145.833, -15.207, -108.68)","(810.97, 107.402, -31.044, -0.908)","(799.026, 81.5, -68.307, 17.823)","(765.7, 68.935, -43.498, -48.996)","(736.019, 53.285, -87.287, -25.454)","(684.405, 59.262, -19.679, 16.042)","(644.808, 62.504, -6.603, 22.442)","(597.044, 67.138, -84.494, 21.384)","(558.836, 64.793, 11.276, 18.75)","(521.236, 66.56, -14.312, 14.264)","(474.576, 57.823, -0.832, -19.216)","(434.311, 61.351, -13.161, 22.268)","(389.836, 63.474, -79.732, -29.7)","(346.556, 64.407, -19.697, -25.336)","(300.272, 62.66, -8.781, 43.256)","(262.947, 66.007, -55.265, -44.346)","(226.073, 64.812, -47.311, -43.463)","(188.765, 64.068, -40.03, 37.804)","(134.072, 82.697, -55.482, 78.233)","(111.27, 123.288, 36.767, 23.123)","(113.305, 183.893, -30.042, 80.524)"
5,"(752.582, 304.787, 48.962, 5.681)","(761.822, 278.357, 27.864, -56.262)","(775.995, 248.903, 6.268, -71.874)","(788.374, 227.781, 71.094, -36.764)","(804.201, 195.963, -15.856, -12.476)","(805.299, 159.366, -45.098, -62.283)","(800.586, 111.483, -7.696, -3.915)","(785.908, 76.819, -56.511, -42.148)","(751.597, 56.35, -101.598, 13.886)","(698.656, 59.613, -92.052, -11.106)","(647.169, 65.904, -70.779, 5.913)","(612.826, 65.031, 1.192, 13.574)","(572.665, 68.026, -67.966, -21.105)","(525.734, 69.85, -65.187, 16.503)","(480.411, 71.723, -52.868, -4.934)","(436.619, 70.551, -51.664, 24.552)","(393.576, 71.556, -50.993, -18.527)","(346.015, 68.739, -14.344, -15.374)","(300.3, 67.975, -69.78, -44.216)","(254.256, 70.296, -81.121, 12.076)","(210.515, 71.056, -62.554, -43.068)","(171.894, 70.673, -78.638, -4.35)","(127.61, 88.419, -52.533, 44.256)","(96.666, 126.202, 7.665, 78.456)","(77.149, 170.717, -65.835, 57.182)","(69.366, 218.406, -5.268, 38.601)","(66.573, 261.178, -27.944, 60.933)","(60.517, 303.994, -34.127, 81.054)","(62.868, 329.726, 8.302, -21.981)"
6,"(576.2, 191.601, 69.13, 21.22)","(608.62, 187.346, 7.677, -22.099)","(650.697, 190.206, 76.23, 4.785)","(694.784, 178.361, 16.95, -59.778)","(717.639, 169.502, 21.56, -28.678)","(738.92, 166.212, 70.92, -68.651)","(753.92, 166.122, 37.705, 57.305)","(756.186, 168.944, 52.134, 3.318)","(763.432, 175.728, 44.548, -23.571)","(773.943, 184.533, -33.71, -6.368)","(775.892, 143.963, -22.649, -33.563)","(776.151, 116.862, -13.549, -8.102)","(765.722, 87.35, 17.398, -53.746)","(720.116, 99.333, -43.094, 8.966)","(679.906, 98.993, 8.217, -7.363)","(645.237, 91.514, -89.97, 50.741)","(600.106, 84.104, -36.668, -4.368)","(560.698, 85.721, -32.678, 18.932)","(516.423, 86.425, -86.88, -11.795)","(479.517, 90.03, -32.845, 8.306)","(437.633, 96.009, -86.569, 41.142)","(390.726, 96.387, -4.764, -15.965)","(349.974, 99.705, -53.605, 48.586)","(311.804, 94.453, -44.528, -42.213)","(269.374, 95.391, -51.163, 9.97)","(232.938, 93.507, 3.96, 50.272)","(187.451, 95.263, -52.175, -35.434)","(161.616, 92.391, -3.931, 25.194)","(128.33, 126.152, 18.937, 67.757)"
7,"(601.122, 277.965, 34.02, -5.104)","(640.051, 260.281, 64.315, -28.186)","(676.697, 239.035, -1.669, 37.007)","(715.11, 225.916, 70.011, 25.281)","(734.752, 210.67, -29.563, -61.771)","(748.045, 203.106, 41.379, 7.496)","(767.714, 201.293, 77.363, 14.6)","(782.334, 166.848, 19.522, -5.625)","(781.47, 127.653, 19.703, -22.254)","(766.235, 94.473, -104.992, 35.259)","(701.947, 106.176, -40.196, 28.141)","(677.593, 113.186, -20.929, -19.844)","(650.733, 113.297, -50.684, 22.418)","(604.256, 113.049, -83.774, -39.244)","(573.068, 113.925, -18.858, 18.983)","(536.513, 103.283, -48.617, -33.162)","(485.328, 100.089, -48.942, -22.996)","(434.963, 98.415, -7.506, 39.454)","(387.626, 99.12, -30.712, 18.242)","(340.894, 99.742, 8.253, -27.75)","(302.49, 100.667, -25.749, 10.364)","(260.174, 96.324, -41.543, 13.91)","(218.955, 92.233, -28.232, -30.418)","(176.188, 95.579, 15.358, 0.408)","(140.013, 95.941, 8.136, 21.845)","(122.053, 151.37, -34.746, 18.592)","(115.43, 201.22, 15.592, 93.76)","(115.777, 244.927, 2.746, -4.154)","(113.312, 285.936, -20.96, 17.94)"
8,"(480.532, 517.44, -8.439, -17.338)","(520.279, 531.086, 78.21, -36.093)","(560.901, 534.602, 25.94, 15.578)","(594.936, 536.605, -8.429, 62.744)","(626.996, 543.527, 62.407, 51.364)","(668.503, 545.773, 4.342, 41.27)","(706.679, 547.857, 43.128, 48.887)","(732.964, 553.007, 38.926, 23.052)","(755.045, 553.591, 16.633, 28.052)","(768.289, 561.584, -28.378, 88.164)","(772.915, 625.039, -22.023, 70.215)","(762.184, 659.906, -22.368, -11.281)","(718.587, 654.554, -4.132, -64.415)","(662.683, 643.203, -87.075, -40.729)","(611.748, 637.759, -58.952, -32.612)","(576.937, 636.113, -54.691, -8.692)","(539.635, 639.204, 2.911, 45.787)","(502.638, 639.557, -14.045, 13.769)","(463.343, 637.871, -64.915, 0.437)","(428.675, 638.168, 9.893, -43.984)","(388.847, 638.236, -83.984, -31.4)","(340.805, 640.323, -93.611, 35.185)","(293.675, 641.461, -61.284, -33.583)","(243.342, 656.134, -80.36, 38.972)","(188.274, 661.426, -57.735, -34.434)","(146.017, 662.04, 6.929, -96.816)","(130.149, 621.687, 24.323, -63.372)","(110.525, 578.098, -48.458, -68.996)","(103.562, 528.854, -53.052, -63.166)"
9,"(375.877, 509.762, 52.312, 2.279)","(412.035, 502.913, 0.197, -49.782)","(442.406, 503.673, 77.95, 48.68)","(473.719, 509.245, 25.078, 39.236)","(504.447, 509.551, 1.601, 16.541)","(542.889, 510.575, 44.367, 12.0)","(571.668, 514.914, -13.447, -39.356)","(604.094, 512.514, 75.746, -4.204)","(638.757, 514.494, 25.503, -4.655)","(673.841, 520.982, -2.583, -12.322)","(703.046, 525.555, 58.906, -0.563)","(732.569, 531.933, 73.015, 36.66)","(760.392, 527.197, 61.602, -37.965)","(783.99, 544.656, 27.388, -32.885)","(801.704, 577.573, -46.266, 76.148)","(796.695, 622.602, 4.678, 14.953)","(784.505, 657.093, 9.633, -11.685)","(745.917, 672.478, 9.728, 29.491)","(706.195, 679.297, 1.817, 46.721)","(670.966, 675.938, -101.803, 25.852)","(628.937, 677.179, -47.759, -49.278)","(585.765, 677.616, -67.452, -27.887)","(546.601, 678.304, -65.223, 57.398)","(507.046, 680.737, -53.787, 30.15)","(471.028, 682.016, 14.003, -59.929)","(433.666, 677.874, 5.272, -4.284)","(399.465, 679.522, 0.686, 38.482)","(360.947, 680.734, -67.091, -4.43)","(323.345, 680.025, 1.392, 46.655)"
