,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"(450, 375, None, None)","(450, 375, None, None)","(494.657, 388.707, None, None)","(551.363, 394.033, None, None)","(606.251, 381.837, None, None)","(640.53, 338.032, None, None)","(679.963, 297.431, None, None)","(727.705, 266.696, None, None)","(766.012, 224.299, None, None)","(780.322, 171.297, None, None)","(775.144, 114.906, None, None)","(757.378, 97.763, None, None)","(701.178, 95.742, None, None)","(644.049, 92.985, None, None)","(586.949, 89.637, None, None)","(529.898, 85.75, None, None)","(472.711, 84.505, None, None)","(415.525, 83.26, None, None)","(358.338, 82.014, None, None)","(301.385, 85.089, None, None)","(244.398, 89.504, None, None)","(187.225, 89.672, None, None)","(157.596, 99.289, None, None)","(157.596, 99.289, None, None)","(157.596, 99.289, None, None)","(115.047, 120.982, None, None)","(102.208, 176.71, None, None)","(91.642, 232.926, None, None)","(81.077, 289.141, None, None)","(52.117, 337.656, None, None)"
1,"(358.901, 362.056, 45.957, -2.166)","(391.677, 347.705, 25.714, -12.444)","(422.275, 333.224, 16.502, -7.905)","(453.23, 320.454, 28.767, -15.278)","(486.0, 310.312, 38.069, -18.405)","(521.297, 297.842, 32.242, 1.23)","(552.898, 283.084, 13.441, -24.762)","(586.537, 270.241, 35.825, 3.595)","(617.879, 261.111, 42.242, -19.967)","(645.735, 255.606, 15.438, 0.626)","(672.684, 247.816, 45.26, -19.182)","(700.195, 241.748, 21.159, 2.052)","(718.288, 238.479, 26.157, -14.379)","(731.473, 234.209, -1.81, 10.385)","(745.338, 230.582, 29.841, 6.846)","(764.726, 228.766, 32.435, -17.68)","(775.764, 221.305, 23.619, -0.683)","(785.801, 203.018, 10.869, -35.75)","(792.562, 177.158, -5.158, -20.566)","(785.387, 142.229, -11.4, -57.256)","(776.372, 122.343, 13.16, -35.055)","(783.373, 94.621, -52.457, -3.886)","(746.532, 81.029, -44.981, -0.822)","(713.117, 88.897, -34.056, -15.134)","(676.659, 80.871, -32.874, -17.131)","(641.109, 90.474, -31.291, -3.035)","(609.598, 90.507, -53.741, -15.743)","(570.574, 99.977, -16.943, -6.337)","(537.619, 99.199, -46.318, 6.676)","(501.03, 99.193, -37.939, 14.643)"
2,"(581.694, 302.026, 30.989, -39.97)","(609.155, 284.943, 24.981, -12.779)","(642.63, 269.801, 51.709, -5.808)","(678.527, 252.642, 31.253, -20.55)","(712.063, 238.326, 36.36, -2.682)","(739.637, 228.494, 21.955, -23.026)","(761.034, 217.48, 27.128, -26.261)","(781.764, 195.228, 12.923, -30.21)","(791.208, 159.447, -30.419, -65.526)","(777.493, 117.222, 2.915, -49.351)","(763.418, 85.629, -44.612, -13.608)","(708.783, 71.746, -40.486, 3.865)","(663.302, 66.376, -31.572, -11.581)","(615.969, 58.09, -58.884, -15.285)","(571.455, 56.875, -53.23, 2.316)","(531.473, 56.015, -26.436, -7.011)","(499.977, 59.763, -22.613, 10.656)","(459.692, 64.665, -58.785, -10.778)","(414.562, 70.345, -53.409, 15.245)","(369.579, 71.557, -50.596, -11.926)","(327.055, 71.362, -28.421, 4.294)","(286.848, 70.815, -33.699, -2.286)","(249.2, 72.737, -38.011, -5.199)","(213.033, 73.736, -48.133, 8.07)","(180.822, 70.406, -32.685, -6.098)","(142.626, 75.91, -38.919, 13.762)","(115.669, 111.118, -24.007, 49.729)","(109.914, 160.14, 11.443, 35.65)","(111.072, 209.819, -7.056, 35.814)","(111.026, 253.617, 9.583, 45.21)"
3,"(395.053, 503.334, 24.362, -2.138)","(427.057, 496.62, 36.066, -17.087)","(461.885, 493.734, 21.812, 6.612)","(497.933, 497.461, 55.004, 17.949)","(535.24, 498.473, 36.196, 15.107)","(569.728, 495.831, 37.425, 6.169)","(600.695, 495.818, 14.85, -7.488)","(633.468, 500.591, 20.064, 2.235)","(665.524, 502.759, 47.45, -0.427)","(692.612, 510.057, 7.584, 0.852)","(714.244, 513.509, 31.169, 17.787)","(735.156, 516.961, 14.997, 6.88)","(751.787, 521.475, 13.171, -1.712)","(766.783, 526.681, -3.748, 19.195)","(774.051, 544.215, -1.3, 13.769)","(784.226, 568.486, 20.177, 35.673)","(783.063, 609.211, -0.49, 29.871)","(793.311, 637.497, 31.721, 37.206)","(782.734, 653.043, -25.272, -5.895)","(755.029, 661.575, -48.304, -0.023)","(723.988, 662.931, -11.811, 3.793)","(683.379, 662.435, -31.553, 9.207)","(644.71, 658.796, -12.498, -13.234)","(606.23, 660.448, -31.364, 6.915)","(569.432, 656.524, -42.588, 1.547)","(525.954, 656.633, -54.495, 10.463)","(488.185, 656.418, -52.825, 16.068)","(445.674, 658.196, -7.87, 5.286)","(407.778, 662.869, -33.095, 3.729)","(366.723, 664.006, -29.759, 4.912)"
4,"(494.253, 272.703, 23.479, -24.92)","(519.858, 257.48, 41.469, -20.05)","(548.49, 241.222, 20.481, -19.485)","(579.41, 236.402, 34.699, -13.249)","(614.779, 229.482, 38.02, -10.72)","(651.247, 222.356, 31.97, -20.931)","(686.33, 216.906, 29.445, -8.65)","(714.412, 214.411, 3.459, -0.103)","(733.623, 208.287, 7.796, -19.15)","(756.372, 210.431, -9.098, -7.497)","(773.919, 198.695, 12.856, -23.034)","(787.546, 153.57, -13.337, -45.24)","(781.76, 122.167, -5.893, -30.276)","(766.075, 95.826, -52.138, 7.76)","(716.041, 101.739, -20.128, 4.802)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(699.354, 113.993, -5.322, 6.735)","(694.773, 113.954, -38.43, 2.296)","(682.079, 113.908, -50.51, 3.618)","(664.919, 113.647, -21.954, -3.959)","(661.451, 113.963, -1.827, 2.834)","(659.902, 113.994, -44.798, 1.284)"
5,"(641.94, 218.862, 66.481, -1.776)","(682.52, 210.086, 67.737, 1.11)","(721.138, 198.157, 29.45, -16.915)","(755.199, 188.262, 35.126, 15.301)","(779.483, 182.781, 14.701, 2.592)","(775.921, 130.093, -5.072, -28.97)","(777.683, 97.609, 9.901, -46.791)","(731.209, 96.661, -50.639, 22.234)","(686.864, 106.166, -50.663, 21.348)","(645.693, 110.335, -35.205, -5.78)","(606.961, 113.754, -33.619, 4.853)","(583.787, 113.945, -61.466, -2.738)","(553.861, 108.93, -54.775, -20.417)","(510.779, 95.192, -47.53, 4.693)","(469.919, 94.345, -45.589, 3.013)","(428.371, 94.362, -40.058, 8.993)","(384.369, 94.614, -61.316, 9.845)","(337.15, 92.538, -42.67, -15.51)","(291.425, 89.898, -58.145, -8.62)","(246.292, 86.136, -53.886, 0.31)","(206.856, 84.032, -30.336, 5.509)","(161.928, 77.224, -40.369, -12.589)","(120.112, 89.322, -32.62, 21.931)","(98.313, 124.868, -8.678, 23.651)","(88.712, 165.067, -21.595, 44.367)","(87.672, 203.661, 5.428, 47.675)","(84.768, 242.76, -8.909, 39.303)","(86.66, 284.965, -7.404, 25.066)","(85.746, 325.465, -9.634, 36.106)","(83.212, 359.324, -17.415, 20.278)"
6,"(371.658, 568.492, 51.07, 5.784)","(410.664, 569.162, 52.64, -15.378)","(446.38, 568.037, 35.311, -6.753)","(482.386, 569.104, 43.871, -19.366)","(519.855, 568.045, 49.875, 7.862)","(552.597, 566.55, 21.202, -0.544)","(586.361, 568.141, 30.692, -16.159)","(613.02, 559.38, 14.431, -17.389)","(648.26, 545.885, 42.843, 5.602)","(676.137, 548.801, 48.784, 13.138)","(703.962, 547.375, 20.608, -17.327)","(724.189, 547.528, 25.152, 8.849)","(744.18, 550.485, 24.645, 14.618)","(762.185, 550.882, 24.066, 1.193)","(769.649, 572.563, -8.364, 31.482)","(770.117, 619.698, -9.82, 33.271)","(763.696, 635.737, 3.045, -6.311)","(760.626, 648.987, -21.566, 7.578)","(772.886, 665.092, -3.913, 29.383)","(726.05, 669.761, -55.418, 7.785)","(684.001, 667.249, -36.792, 13.079)","(640.664, 668.999, -37.26, -18.313)","(603.03, 669.677, -30.382, 9.721)","(564.087, 671.635, -33.738, 10.909)","(524.644, 669.543, -34.912, -18.462)","(480.764, 665.981, -72.649, 2.018)","(441.895, 663.788, -48.275, -1.038)","(400.116, 668.231, -33.965, -13.86)","(352.008, 662.974, -26.072, 4.308)","(315.405, 659.73, -36.737, -5.262)"
7,"(651.261, 168.57, 51.057, -13.582)","(673.409, 166.002, 59.621, -4.409)","(674.308, 166.024, 53.934, 1.334)","(674.308, 166.024, 53.934, 1.334)","(674.308, 166.024, 53.934, 1.334)","(674.688, 166.024, 22.829, -0.031)","(674.688, 166.024, 22.829, -0.031)","(678.129, 166.062, 47.165, 1.027)","(694.473, 166.244, 38.812, 5.321)","(708.342, 166.101, 37.848, -1.139)","(724.499, 166.044, 37.778, -5.6)","(739.486, 166.012, 22.205, -8.636)","(750.669, 166.05, 35.806, -11.898)","(762.277, 155.388, 3.413, -5.937)","(765.49, 146.399, -0.256, -24.183)","(756.129, 151.935, 6.774, 4.585)","(757.199, 156.659, 4.944, 18.941)","(758.315, 162.814, -10.089, 16.297)","(758.66, 165.49, 18.183, -1.242)","(769.196, 177.675, 16.779, 9.272)","(773.423, 177.973, 12.575, -28.827)","(768.927, 147.682, 7.407, -11.627)","(761.762, 131.914, -22.806, -0.459)","(762.594, 124.758, 26.456, -31.398)","(770.355, 102.345, -3.354, -20.922)","(761.549, 94.991, -39.593, 12.961)","(728.967, 93.822, -25.368, -21.139)","(699.748, 85.503, -32.491, -5.071)","(666.252, 84.956, -15.785, 3.769)","(633.644, 80.879, -41.013, 3.453)"
8,"(522.03, 250.515, 42.746, -20.655)","(552.499, 233.573, 42.114, -23.543)","(589.126, 224.593, 31.379, -13.939)","(625.513, 216.118, 17.878, -16.297)","(659.884, 211.453, 27.313, -20.641)","(695.596, 207.562, 35.705, -11.63)","(726.792, 197.301, 9.273, 9.952)","(749.445, 195.988, 26.227, -14.791)","(762.731, 193.31, -2.48, 14.972)","(770.909, 193.036, 23.448, 12.693)","(779.936, 162.286, 11.791, -50.488)","(765.392, 128.0, -28.11, -10.865)","(757.821, 118.703, -8.647, -3.089)","(755.827, 112.713, -0.167, -22.062)","(763.766, 104.909, 0.734, -31.427)","(769.915, 92.628, -21.521, -33.125)","(769.69, 87.552, 34.072, -22.561)","(727.24, 85.29, -55.892, 2.148)","(695.758, 81.537, -26.253, -9.389)","(650.917, 85.718, -20.658, 23.284)","(612.091, 89.343, -57.929, -5.856)","(560.665, 98.9, -49.65, 20.401)","(517.599, 97.677, -51.646, 2.067)","(475.142, 98.292, -34.073, -12.895)","(431.894, 98.487, -22.252, 13.035)","(391.987, 97.682, -56.029, -11.014)","(353.496, 97.736, -30.197, 4.208)","(314.984, 97.112, -43.718, -7.78)","(277.904, 96.99, -17.876, -18.25)","(241.09, 96.373, -36.814, 1.424)"
9,"(500.319, 321.449, 20.328, -19.948)","(533.682, 309.543, 38.875, -25.087)","(565.114, 296.573, 18.812, -25.071)","(596.927, 285.229, 16.136, -23.9)","(627.437, 275.755, 22.991, 6.307)","(658.134, 266.49, 36.455, -25.352)","(690.693, 255.945, 46.245, -16.263)","(723.939, 239.376, 31.683, -29.379)","(742.06, 228.93, 11.593, 10.844)","(772.859, 222.713, 32.218, 2.942)","(789.649, 210.662, 15.43, -29.117)","(801.177, 177.533, 8.932, -52.963)","(804.822, 135.02, -8.584, -41.885)","(807.657, 99.267, -13.231, -43.461)","(794.594, 69.199, -8.285, -33.99)","(758.215, 53.376, -39.073, 11.422)","(713.718, 57.367, -52.54, -2.236)","(675.251, 55.66, -27.216, -4.983)","(635.288, 57.883, -25.221, 7.063)","(593.784, 59.559, -35.713, -8.483)","(550.228, 61.968, -54.568, 16.942)","(505.405, 62.13, -31.804, -5.53)","(463.966, 63.067, -60.563, 6.913)","(422.916, 62.658, -30.783, 9.504)","(381.737, 62.124, -54.521, 13.941)","(342.063, 63.835, -48.232, -0.495)","(304.68, 62.983, -52.421, -0.429)","(269.852, 62.778, -44.242, -8.558)","(231.923, 65.276, -41.332, 10.456)","(195.454, 64.533, -40.255, 5.219)"
