,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,"(450, 375, None, None)","(450, 375, None, None)","(496.713, 375.231, None, None)","(553.912, 375.514, None, None)","(611.111, 375.798, None, None)","(651.151, 375.996, None, None)","(667.922, 354.017, None, None)","(702.62, 308.543, None, None)","(737.317, 263.069, None, None)","(755.731, 249.728, None, None)","(782.1, 240.348, None, None)","(783.973, 193.672, None, None)","(788.761, 160.651, None, None)","(770.832, 136.318, None, None)","(756.087, 113.225, None, None)","(716.145, 110.416, None, None)","(696.175, 109.012, None, None)","(647.309, 100.666, None, None)","(590.575, 95.655, None, None)","(533.385, 96.682, None, None)","(476.194, 97.709, None, None)","(419.003, 98.737, None, None)","(361.864, 96.845, None, None)","(304.745, 93.799, None, None)","(247.626, 90.753, None, None)","(196.219, 88.012, None, None)","(195.271, 87.913, None, None)","(148.486, 89.75, None, None)","(145.726, 146.883, None, None)","(142.965, 204.016, None, None)","(140.329, 234.371, None, None)","(131.744, 290.923, None, None)","(128.295, 348.003, None, None)","(97.488, 373.136, None, None)","(40.346, 375.719, None, None)"
1,"(756.494, 529.947, -12.098, -27.833)","(769.165, 561.051, -61.407, 24.633)","(765.151, 622.93, -5.29, 100.674)","(754.812, 666.886, -44.769, 24.792)","(694.156, 665.512, -65.604, -15.247)","(641.18, 663.909, -30.126, 30.24)","(586.277, 659.562, -106.157, 61.793)","(535.746, 659.975, -70.827, -10.185)","(479.915, 663.109, -88.768, 7.169)","(435.32, 656.304, -87.669, -40.628)","(391.363, 654.131, -60.45, -36.544)","(345.251, 656.825, -30.539, -2.573)","(294.539, 659.49, -89.875, 8.548)","(249.693, 660.372, -9.214, -39.652)","(215.045, 663.964, -18.926, -55.043)","(170.498, 658.931, -85.364, -5.636)","(142.103, 641.359, 27.567, -79.444)","(122.152, 601.196, -56.118, -95.625)","(110.929, 562.095, 35.822, -38.601)","(95.681, 514.862, -31.221, -2.313)","(79.706, 471.521, 13.639, 1.726)","(70.864, 423.556, -20.587, -50.327)","(55.909, 385.783, -55.528, -69.371)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(359.97, 424.384, 11.11, -18.074)","(390.795, 438.168, 38.413, 56.492)","(420.005, 450.005, -21.08, -46.727)","(452.231, 457.834, 81.364, 43.134)","(491.997, 459.954, 85.03, -37.418)","(530.047, 473.669, 16.309, -1.191)","(565.416, 481.122, 64.62, 32.275)","(602.48, 488.051, 59.993, -37.377)","(631.769, 501.501, -5.219, 5.21)","(662.874, 508.472, 36.583, 3.538)","(691.536, 508.909, 16.26, -44.969)","(716.371, 513.37, 46.925, 44.555)","(739.763, 519.549, 40.334, 7.974)","(768.847, 529.868, 54.876, -6.879)","(779.056, 544.618, 3.3, -0.92)","(779.303, 583.005, -15.824, 28.064)","(776.549, 627.039, 28.896, 9.348)","(775.388, 654.767, -59.172, 24.015)","(737.223, 652.875, -37.514, 30.879)","(715.245, 644.087, 13.204, 40.783)","(685.319, 661.01, -60.342, -8.452)","(635.695, 667.411, -110.091, 11.458)","(588.679, 650.045, -54.945, -59.947)","(564.096, 637.836, 20.269, 9.463)","(539.173, 636.128, -75.44, -33.372)","(512.343, 637.018, -91.255, -13.934)","(477.338, 637.659, -16.918, -49.032)","(443.545, 637.827, -23.795, -46.224)","(413.463, 639.411, -75.911, 21.749)","(382.876, 651.08, -65.296, 25.586)","(330.32, 659.778, -7.133, -57.076)","(289.842, 662.323, -87.813, -0.125)","(256.741, 668.077, -65.897, 20.264)","(230.7, 673.227, -13.522, -41.924)","(190.294, 681.672, -55.988, -55.295)"
3,"(304.041, 491.966, 78.218, -53.958)","(331.336, 490.515, -10.303, 44.642)","(363.606, 491.982, 47.819, 5.981)","(394.201, 486.963, 50.25, -23.393)","(432.915, 487.411, 14.224, -5.201)","(465.353, 485.1, 22.256, -29.163)","(502.568, 480.45, 25.853, -2.216)","(536.803, 485.783, 46.092, 32.267)","(566.383, 485.24, -16.592, -22.116)","(592.495, 478.569, 2.981, -14.851)","(620.604, 479.29, 29.597, -1.125)","(650.229, 485.504, 7.581, -17.709)","(676.132, 488.752, -0.948, 32.033)","(707.102, 486.571, 66.916, 5.619)","(727.925, 493.366, 11.396, 60.888)","(753.398, 498.078, -27.708, 5.191)","(773.505, 511.618, -33.773, 44.326)","(789.378, 535.356, -8.448, 73.843)","(796.327, 567.892, -24.661, -6.491)","(799.648, 605.363, -5.048, 1.148)","(804.908, 647.634, -24.139, -12.358)","(778.973, 675.214, -14.748, 40.975)","(743.429, 680.779, -31.545, 12.843)","(713.466, 682.441, 6.84, 46.529)","(681.708, 686.384, -67.221, -4.432)","(638.276, 689.961, -94.414, 36.379)","(595.523, 685.69, -52.501, -52.957)","(561.51, 679.586, -73.725, -42.559)","(527.064, 677.056, -85.681, -14.782)","(495.614, 677.558, -33.96, -53.341)","(458.788, 685.193, -82.872, 24.232)","(425.814, 681.049, -18.772, -54.849)","(387.698, 683.431, -89.246, -52.774)","(355.102, 684.514, -39.025, -56.55)","(316.908, 681.807, 5.481, -30.016)"
4,"(718.057, 312.727, 72.771, -27.915)","(749.3, 282.215, -23.813, -24.45)","(776.167, 256.389, 0.576, 8.015)","(796.988, 223.091, 50.993, -20.134)","(812.076, 185.85, 28.058, -86.652)","(814.43, 143.498, 35.938, -63.191)","(799.776, 113.192, 23.06, -95.85)","(778.438, 84.225, -25.064, -62.612)","(731.418, 72.456, -28.073, 44.331)","(686.984, 77.749, -42.625, 27.969)","(643.436, 78.819, -85.448, -2.749)","(599.763, 80.302, -21.35, 3.996)","(562.258, 80.567, -6.419, 44.393)","(515.884, 72.086, -78.041, 53.95)","(474.252, 67.112, -27.399, 8.986)","(431.979, 71.014, -16.769, -40.497)","(394.607, 75.928, 4.097, 24.881)","(347.861, 81.012, -62.372, -19.92)","(309.661, 75.87, -23.371, -48.883)","(270.56, 77.176, -84.088, -5.687)","(227.231, 79.818, -55.835, 50.737)","(187.986, 77.571, -46.625, -43.165)","(144.127, 77.862, -50.237, 22.388)","(117.342, 115.523, -33.848, 62.516)","(99.505, 155.038, 33.502, 97.929)","(83.67, 194.419, -47.365, 41.171)","(75.803, 228.889, 28.47, 14.87)","(66.701, 264.119, 44.826, 65.383)","(64.709, 304.633, 24.583, 17.072)","(59.108, 341.72, 7.242, 94.553)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(329.941, 284.899, 48.587, -49.074)","(374.294, 276.092, 61.776, -6.822)","(418.025, 273.015, 35.127, 45.392)","(456.622, 268.374, 46.198, 51.962)","(493.575, 260.489, 10.09, 12.15)","(531.732, 254.838, 3.003, -25.673)","(570.026, 250.024, 62.987, -20.002)","(612.085, 250.565, 91.187, -34.765)","(646.484, 247.491, 72.44, -40.933)","(683.126, 249.378, 68.026, 18.755)","(707.18, 243.047, 50.695, 13.708)","(732.557, 234.563, 33.13, -16.008)","(747.83, 232.131, 18.542, -14.351)","(773.269, 220.606, -29.183, 40.325)","(778.837, 192.57, -10.518, -47.989)","(778.678, 142.268, -17.481, -33.116)","(774.384, 105.337, 51.467, -41.545)","(740.377, 90.634, 3.785, 35.304)","(703.864, 109.718, -28.662, 8.906)","(676.895, 113.591, -25.05, 5.335)","(653.979, 113.705, -20.563, 16.781)","(628.923, 113.012, -86.488, -19.174)","(608.593, 113.872, -6.221, 43.168)","(586.082, 112.888, -3.642, -25.296)","(569.725, 112.632, 0.552, 33.749)","(548.998, 106.167, -87.572, -69.043)","(506.441, 102.589, -75.122, -60.353)","(457.907, 99.781, -53.721, 37.094)","(415.682, 97.483, -51.194, -4.089)","(375.055, 100.064, 16.184, -18.793)","(335.408, 97.514, -93.931, 8.164)","(299.278, 92.196, -65.467, -34.908)","(262.322, 95.64, -66.066, 53.701)","(223.919, 95.699, -1.598, -42.411)","(190.032, 97.099, -19.665, 2.127)"
6,"(300.353, 253.686, 57.189, -22.396)","(333.575, 249.34, 38.418, -28.097)","(372.867, 251.374, -7.043, 0.302)","(404.748, 252.6, 84.285, -42.566)","(437.751, 248.853, 55.525, 19.66)","(472.341, 245.113, -2.675, 4.53)","(499.064, 246.159, 5.483, -49.512)","(540.684, 241.099, 56.263, -56.325)","(575.693, 239.149, 16.826, -40.344)","(608.866, 234.163, 18.494, 18.605)","(640.238, 232.975, 84.157, 7.673)","(674.181, 228.036, 72.533, 57.334)","(707.907, 229.16, 2.06, 29.126)","(738.263, 231.025, 65.279, -31.445)","(762.45, 222.766, 15.826, -5.785)","(780.999, 200.081, 62.011, -17.991)","(782.964, 164.229, 16.09, -19.24)","(786.68, 124.927, -8.731, -60.629)","(792.051, 97.73, -49.392, -10.907)","(750.885, 77.461, -111.304, -16.665)","(705.211, 77.256, 6.108, -13.312)","(655.367, 68.68, -90.158, -16.611)","(613.424, 67.511, -36.095, -5.535)","(575.926, 64.006, -19.123, -11.708)","(538.11, 62.281, -87.426, 11.064)","(497.569, 68.842, -55.366, -14.559)","(456.191, 75.26, -67.532, 42.689)","(414.934, 75.325, 7.199, 24.673)","(375.511, 75.231, -88.571, 14.584)","(326.306, 78.259, -78.631, 3.812)","(286.646, 83.838, -71.758, -8.755)","(251.87, 82.597, 3.741, 55.564)","(212.33, 80.398, -9.777, 5.581)","(172.639, 67.352, -43.487, 1.797)","(135.848, 83.813, -71.291, 19.307)"
7,"(463.039, 412.101, -7.611, 36.155)","(504.291, 418.654, 86.109, 15.608)","(540.104, 427.021, 0.968, 30.498)","(577.329, 439.549, 44.991, 51.446)","(611.72, 448.74, 43.021, 22.084)","(641.597, 461.999, 35.677, 22.302)","(676.415, 475.76, -3.039, 30.187)","(706.134, 484.539, 64.25, -33.856)","(732.61, 495.12, 1.736, -22.955)","(749.267, 511.433, 52.828, -14.884)","(772.861, 522.663, 22.493, -35.471)","(784.157, 539.662, -17.75, 9.3)","(804.147, 575.775, 17.529, 65.666)","(803.032, 616.634, -36.935, 16.452)","(810.04, 658.421, -23.029, -1.376)","(792.977, 680.397, -50.117, 16.172)","(741.71, 689.956, -100.201, 60.416)","(698.131, 692.096, -14.969, -51.684)","(655.754, 692.391, -38.879, 20.011)","(613.633, 683.675, 7.951, 21.776)","(574.735, 680.311, 1.911, -3.849)","(535.995, 679.098, -90.005, -49.25)","(492.991, 678.234, -82.903, -38.373)","(458.076, 679.361, -89.436, 17.767)","(413.757, 677.723, 9.363, 28.25)","(370.212, 681.391, -8.389, -17.771)","(322.734, 680.291, -49.696, 16.551)","(288.231, 681.94, -27.967, 40.895)","(251.716, 679.495, -36.674, -47.432)","(214.997, 676.622, -26.721, 60.07)","(177.389, 680.07, -58.54, 26.565)","(137.804, 654.071, 23.531, -60.642)","(116.696, 616.71, -65.547, -52.988)","(110.516, 571.49, 6.296, -88.508)","(97.443, 533.348, 21.204, -54.992)"
8,"(380.934, 290.773, 30.582, 41.167)","(422.534, 288.115, -5.965, -0.235)","(459.924, 283.366, 18.097, 35.26)","(501.079, 278.377, 23.5, -46.299)","(543.546, 273.759, 29.477, 18.205)","(585.696, 265.25, -0.394, -28.0)","(618.827, 258.447, 44.129, -53.522)","(656.588, 249.341, -5.997, 19.119)","(691.51, 242.906, 62.637, 38.341)","(722.912, 223.77, 5.792, 49.253)","(751.627, 216.671, 60.5, -12.493)","(773.105, 208.826, 14.089, 13.671)","(782.203, 194.826, 41.086, -32.552)","(790.948, 164.642, -50.367, -2.652)","(784.598, 118.895, -16.175, -14.492)","(755.911, 96.495, -24.592, 30.753)","(709.257, 96.211, -4.372, -27.845)","(651.655, 79.799, -108.186, 4.699)","(605.064, 65.01, -53.316, -7.98)","(563.742, 68.138, 3.559, 25.114)","(521.049, 69.998, -55.732, 3.261)","(473.762, 70.996, 3.128, -37.167)","(431.755, 73.133, -30.265, -10.389)","(382.357, 78.031, -97.374, -2.533)","(333.46, 73.757, 13.566, -46.241)","(294.396, 73.937, -22.522, 40.966)","(258.102, 73.765, 3.501, -6.389)","(222.648, 75.455, -13.293, -16.923)","(182.17, 71.491, -3.166, 25.522)","(138.691, 86.498, 15.81, 79.007)","(106.342, 122.301, 18.882, 74.966)","(85.683, 163.602, -22.544, 55.861)","(74.311, 215.226, 22.699, 77.935)","(69.813, 254.278, -15.684, 25.6)","(61.938, 297.846, -48.584, 86.33)"
9,"(638.493, 384.248, 69.581, -38.919)","(665.652, 401.759, 69.73, 12.743)","(689.842, 421.295, 27.23, 32.876)","(715.422, 442.097, 61.935, 46.233)","(744.479, 475.802, 56.268, 30.939)","(765.145, 496.13, 50.527, 8.172)","(786.42, 519.331, 70.263, 19.959)","(797.883, 558.314, -12.329, 43.873)","(799.537, 602.779, -31.963, 26.465)","(803.512, 643.902, 36.194, 58.481)","(772.708, 665.688, -46.288, 26.148)","(723.177, 649.503, -68.604, -8.692)","(682.995, 637.347, -15.958, -17.903)","(653.444, 636.65, -21.325, -48.206)","(623.812, 636.401, -84.945, -37.412)","(588.922, 636.881, -37.772, -8.231)","(562.221, 636.473, -35.793, -5.106)","(530.222, 636.262, -46.574, 12.825)","(498.489, 639.277, -4.355, 4.728)","(468.837, 637.623, -39.041, 52.504)","(439.944, 639.151, 11.109, 43.186)","(409.097, 638.445, -52.908, 18.894)","(372.933, 636.175, -60.399, -28.144)","(338.628, 636.128, -67.656, -32.352)","(312.952, 636.626, -60.867, 31.022)","(281.683, 639.054, 8.027, -55.413)","(240.347, 642.727, -52.001, 32.116)","(226.774, 654.97, -50.356, 62.049)","(181.034, 665.867, -45.459, -5.087)","(138.717, 656.072, -54.42, -51.478)","(128.032, 613.198, 27.413, -100.854)","(122.764, 569.671, 5.102, -76.233)","(115.593, 524.912, 42.661, 0.937)","(107.078, 486.053, -9.675, -23.41)","(95.456, 449.148, -31.633, -49.138)"
