,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,"(450, 375, None, None)","(450, 375, None, None)","(455.712, 375.31, None, None)","(512.827, 378.415, None, None)","(569.803, 382.749, None, None)","(626.155, 392.564, None, None)","(682.506, 402.379, None, None)","(731.344, 410.886, None, None)","(773.21, 447.005, None, None)","(778.263, 451.364, None, None)","(778.63, 453.235, None, None)","(787.989, 500.946, None, None)","(787.995, 523.826, None, None)","(788.0, 540.032, None, None)","(790.756, 579.977, None, None)","(774.027, 622.961, None, None)","(759.394, 636.623, None, None)","(729.43, 664.599, None, None)","(679.135, 669.432, None, None)","(642.125, 672.988, None, None)","(587.787, 673.329, None, None)","(530.588, 673.689, None, None)","(481.969, 673.994, None, None)","(447.651, 673.551, None, None)","(390.456, 672.813, None, None)","(333.261, 672.075, None, None)","(276.066, 671.336, None, None)","(218.873, 670.404, None, None)","(161.681, 669.458, None, None)","(130.66, 644.611, None, None)","(120.666, 588.291, None, None)","(114.868, 553.503, None, None)","(107.07, 496.837, None, None)","(100.771, 439.989, None, None)","(72.397, 398.387, None, None)","(51.478, 389.242, None, None)",
1,"(440.327, 338.276, 21.168, -16.448)","(482.467, 326.601, 55.725, 9.774)","(523.04, 322.724, 26.708, -16.915)","(562.586, 318.72, 26.679, 6.426)","(599.177, 311.279, 41.106, -2.44)","(632.905, 304.904, 34.892, -15.85)","(664.981, 298.227, 15.98, 6.194)","(697.066, 289.018, 17.78, -24.242)","(725.859, 278.117, 23.373, 3.604)","(749.793, 268.783, 27.656, -24.434)","(771.406, 257.151, 33.865, -2.201)","(787.324, 244.444, 13.679, -12.793)","(796.995, 235.721, 18.602, -24.086)","(804.212, 220.131, -15.601, -38.941)","(814.02, 200.029, 17.148, -24.599)","(813.839, 181.104, -17.955, -26.251)","(807.01, 152.486, -8.103, -41.028)","(808.408, 118.449, -4.909, -23.662)","(812.447, 83.139, -6.424, -12.264)","(799.575, 65.407, -20.245, -16.801)","(776.214, 54.796, -13.246, -15.55)","(745.969, 56.26, -27.988, 17.561)","(714.406, 60.139, -21.117, 16.436)","(677.751, 61.332, -42.045, -7.508)","(638.844, 59.687, -27.778, -13.835)","(597.883, 58.23, -48.303, 9.616)","(561.447, 61.982, -32.389, -10.594)","(521.709, 63.408, -32.983, 7.464)","(479.84, 65.458, -33.797, -6.19)","(440.277, 65.594, -42.639, 0.148)","(401.822, 63.256, -37.871, -15.246)","(366.912, 63.867, -35.686, 9.484)","(329.969, 62.965, -52.142, -10.963)","(293.973, 63.34, -33.873, 15.405)","(257.773, 65.555, -30.435, 2.826)","(222.15, 67.997, -33.96, 15.072)",
2,"(685.949, 320.301, 33.195, -22.553)","(715.335, 302.708, 15.514, -5.248)","(742.902, 286.376, 31.798, -23.761)","(767.298, 269.91, 22.819, -16.244)","(788.331, 252.833, 3.366, -22.065)","(802.379, 234.404, -9.461, -33.812)","(810.849, 218.657, 6.334, 0.023)","(814.89, 210.41, 9.156, -3.665)","(811.839, 198.577, -1.633, -16.358)","(814.099, 172.779, 1.192, -28.348)","(805.228, 129.072, 4.794, -17.802)","(805.264, 93.743, 5.406, -29.119)","(793.361, 74.165, -20.03, -11.195)","(771.132, 53.796, -32.445, -37.652)","(724.63, 52.576, -34.876, 14.562)","(673.953, 53.901, -57.283, 5.647)","(627.304, 55.632, -47.54, 9.681)","(586.191, 57.806, -39.407, -6.613)","(539.478, 60.008, -25.447, 18.404)","(495.355, 61.077, -53.299, 11.052)","(456.218, 60.672, -52.55, -5.085)","(418.345, 60.456, -26.089, -0.417)","(378.111, 62.397, -33.459, 6.877)","(333.49, 62.635, -45.288, -12.171)","(293.341, 63.94, -32.603, 10.143)","(252.06, 64.692, -26.404, -14.463)","(214.251, 69.949, -58.295, -0.59)","(176.442, 64.552, -39.903, 18.06)","(133.211, 78.062, -40.812, 22.163)","(96.166, 111.942, -45.26, 50.647)","(74.63, 146.344, -20.235, 20.995)","(63.926, 182.666, -13.776, 51.525)","(61.063, 221.763, 5.183, 41.02)","(60.697, 259.45, -11.827, 47.347)","(60.452, 295.949, -13.052, 27.855)","(58.366, 324.572, 15.124, 31.45)",
3,"(661.924, 178.852, 50.07, -27.587)","(695.531, 166.707, 33.67, -10.071)","(716.997, 166.169, 35.575, 2.829)","(736.23, 166.177, 29.706, 10.042)","(750.781, 169.031, 29.067, 6.321)","(760.561, 171.158, 17.467, -9.711)","(777.303, 172.578, 2.878, -33.053)","(787.981, 176.481, -23.759, -12.092)","(800.558, 159.1, 16.601, -37.168)","(803.99, 119.998, 18.183, -44.986)","(805.701, 85.533, -22.149, -1.874)","(794.608, 63.985, -11.32, -30.015)","(762.857, 51.405, -48.856, -15.619)","(713.913, 57.627, -38.228, 8.122)","(670.036, 63.444, -50.809, 2.731)","(627.079, 66.058, -49.758, 3.251)","(579.946, 68.006, -32.425, -1.652)","(536.88, 63.593, -30.238, -12.047)","(495.976, 62.332, -40.593, 2.902)","(454.476, 64.288, -29.763, 15.466)","(412.212, 65.962, -29.971, 15.435)","(372.794, 64.391, -26.961, -9.311)","(331.721, 64.87, -44.915, -10.497)","(291.74, 65.917, -27.784, 12.372)","(252.383, 67.182, -23.536, 7.553)","(215.699, 73.202, -23.011, -0.217)","(178.167, 70.068, -27.861, 0.088)","(137.438, 78.394, -39.729, 28.576)","(109.158, 112.744, -17.443, 29.205)","(97.448, 155.147, -21.405, 58.214)","(93.007, 194.904, -7.364, 49.722)","(87.6, 232.12, -15.683, 34.462)","(81.192, 268.7, -9.325, 23.074)","(75.799, 302.715, -10.822, 48.952)","(69.975, 333.401, 14.675, 32.744)","(65.608, 358.466, -2.246, 13.826)",
4,"(546.653, 176.431, 22.513, -18.778)","(582.499, 166.662, 41.907, 2.3)","(594.312, 166.097, 28.041, -0.704)","(595.14, 166.001, 49.679, -5.761)","(604.67, 166.138, 33.38, 1.795)","(621.247, 166.181, 35.598, 9.409)","(644.278, 166.032, 37.799, -7.044)","(662.211, 166.37, 29.877, 4.551)","(682.25, 166.346, 14.47, -12.819)","(700.905, 166.185, 34.176, -2.387)","(714.813, 166.223, 14.248, 5.273)","(735.029, 166.218, 15.738, 2.903)","(753.394, 170.646, 14.383, 1.517)","(762.95, 179.312, 29.595, 8.321)","(774.861, 179.196, -11.078, -20.132)","(767.77, 140.624, -11.175, -11.679)","(768.362, 114.866, 12.732, -18.22)","(768.824, 90.401, -43.009, -27.58)","(734.235, 76.158, -43.791, -12.215)","(690.387, 79.126, -32.003, 5.896)","(647.539, 81.285, -46.368, 18.225)","(607.087, 87.976, -20.412, 12.405)","(570.525, 96.021, -42.482, 11.873)","(537.095, 99.21, -50.526, 12.808)","(498.376, 100.207, -41.282, 14.905)","(461.986, 100.08, -47.015, 0.407)","(423.607, 98.757, -26.135, 5.151)","(385.446, 98.802, -24.838, 1.421)","(348.132, 97.542, -35.934, -16.405)","(311.173, 98.379, -26.081, 5.562)","(276.973, 98.433, -27.674, -0.386)","(238.717, 96.02, -30.283, -22.532)","(203.976, 91.717, -39.583, 13.192)","(174.683, 93.941, -38.62, -17.54)","(140.635, 95.054, -25.278, 58.054)","(123.597, 140.428, -17.783, 35.992)",
5,"(266.21, 470.263, 9.361, 16.225)","(293.1, 474.396, 36.117, -5.957)","(321.071, 478.482, 43.86, 4.351)","(347.876, 482.021, 44.072, -10.284)","(376.115, 484.523, 23.324, -5.277)","(402.985, 487.189, 37.702, -6.46)","(429.953, 488.857, 39.818, -0.387)","(456.861, 492.473, 32.653, -6.492)","(485.718, 494.659, 11.916, 2.262)","(513.2, 497.427, 11.709, -12.587)","(541.252, 501.812, 22.239, 8.794)","(569.723, 505.601, 39.948, 16.795)","(594.77, 510.102, 29.585, 18.934)","(622.016, 513.18, 24.864, 2.901)","(646.445, 516.97, 6.519, 5.706)","(669.013, 520.835, 23.209, 14.913)","(689.174, 522.72, 26.705, -14.058)","(707.42, 523.781, 16.004, -4.351)","(720.941, 521.636, 11.277, 6.946)","(733.969, 522.492, -2.255, -4.461)","(746.923, 518.041, -1.945, 15.26)","(758.641, 514.977, -2.245, -13.944)","(775.195, 515.101, 21.347, -8.174)","(785.019, 521.791, -6.959, 13.098)","(793.233, 537.465, 14.061, 7.802)","(803.646, 560.026, -9.697, 12.813)","(801.962, 582.77, 5.877, 24.519)","(801.377, 605.607, -3.705, 22.927)","(803.697, 630.906, 3.147, 40.803)","(796.073, 655.758, -7.115, 12.612)","(773.509, 655.107, -13.508, 5.094)","(750.928, 658.044, -25.83, 19.037)","(727.768, 667.769, -38.077, 22.831)","(696.246, 676.488, -33.639, 5.543)","(662.435, 678.497, -20.794, -9.141)","(629.866, 680.408, -22.027, -6.164)",
6,"(536.891, 340.897, 18.731, -0.978)","(571.258, 335.454, 21.625, 8.442)","(608.675, 330.603, 21.467, -3.074)","(643.453, 323.014, 36.558, -16.863)","(673.716, 314.099, 26.434, -21.623)","(702.048, 304.276, 31.29, -12.05)","(730.147, 293.03, 34.55, -27.014)","(753.794, 280.152, 27.105, -16.379)","(773.262, 267.273, 24.762, -7.714)","(787.865, 252.183, 20.166, -2.816)","(800.736, 239.499, 7.376, 0.054)","(807.963, 226.495, 12.747, -21.919)","(811.035, 209.637, -10.81, -21.522)","(817.013, 189.09, 13.23, -30.235)","(808.68, 155.274, -3.362, -47.92)","(808.484, 114.934, 7.867, -24.323)","(806.781, 85.414, 6.6, -6.194)","(796.127, 62.134, -31.81, -29.228)","(766.814, 51.392, -27.311, -14.079)","(721.956, 52.669, -56.389, 9.389)","(677.014, 57.763, -37.349, -4.978)","(635.631, 58.499, -52.584, 8.07)","(596.601, 58.863, -28.189, 12.854)","(552.058, 59.764, -38.189, -4.977)","(511.151, 61.951, -52.421, 14.672)","(471.082, 60.84, -49.245, -16.749)","(432.256, 59.329, -39.695, 12.938)","(395.708, 59.329, -45.657, -2.034)","(357.751, 58.96, -28.411, -12.958)","(321.269, 60.763, -37.248, -15.733)","(284.775, 60.716, -20.108, -6.542)","(249.676, 63.087, -28.102, -1.857)","(215.951, 67.657, -19.017, -2.124)","(180.109, 62.921, -22.005, -3.432)","(135.648, 69.671, -29.05, 32.436)","(104.683, 97.42, -22.841, 29.7)",
7,"(548.887, 410.34, 28.993, 25.266)","(582.541, 423.636, 36.678, 23.402)","(615.984, 431.636, 18.682, -3.492)","(646.737, 438.37, 24.04, 19.836)","(676.027, 446.533, 15.108, 11.452)","(706.752, 456.556, 33.97, 21.204)","(734.084, 465.341, 18.497, 3.432)","(759.23, 473.613, 18.823, -0.468)","(779.492, 492.206, 5.187, 24.728)","(796.041, 508.694, 1.259, 22.599)","(802.746, 520.476, 12.171, 17.579)","(811.451, 534.282, 5.414, -1.056)","(818.242, 540.196, -7.656, -7.15)","(818.859, 541.274, -7.704, -9.778)","(816.501, 543.134, 10.132, 0.752)","(818.011, 549.638, 11.978, 16.277)","(823.933, 546.098, -9.776, -25.619)","(814.98, 543.579, -13.513, 3.553)","(818.516, 546.835, 15.565, -6.004)","(822.128, 540.831, -21.434, 1.561)","(811.97, 536.727, 4.281, 9.528)","(809.711, 538.721, 15.562, -0.826)","(816.202, 551.603, 27.161, 31.676)","(819.782, 576.166, 3.604, 21.755)","(810.529, 610.05, 11.93, 29.495)","(811.614, 647.469, -9.419, 22.494)","(803.193, 669.431, -0.265, -2.774)","(782.775, 680.687, -21.06, 6.944)","(750.368, 686.81, -45.812, -12.442)","(714.809, 689.262, -31.164, -14.151)","(675.824, 688.837, -33.613, 9.138)","(641.097, 688.499, -27.104, -0.66)","(600.956, 685.2, -28.57, -14.715)","(565.152, 682.809, -39.479, 2.426)","(525.609, 683.084, -38.798, -13.279)","(491.849, 682.472, -36.725, -14.1)",
8,"(321.736, 318.447, 16.877, -5.34)","(353.837, 306.456, 33.56, -21.196)","(388.295, 296.59, 26.999, -11.134)","(421.819, 288.051, 24.289, 8.975)","(451.598, 281.948, 40.38, -16.408)","(482.382, 277.599, 15.924, -9.203)","(514.516, 274.823, 43.716, -2.608)","(543.432, 270.161, 21.863, 5.174)","(572.349, 267.05, 18.889, 5.044)","(602.35, 260.892, 28.667, -12.136)","(630.865, 258.839, 13.905, 13.318)","(657.202, 254.91, 30.849, -8.625)","(680.877, 252.434, 12.747, -2.958)","(703.334, 248.25, 46.066, -1.935)","(723.433, 242.317, 27.732, -22.843)","(743.433, 232.18, 25.06, -13.943)","(760.043, 226.261, 2.685, -26.56)","(773.974, 214.108, 7.687, -2.358)","(787.733, 182.529, 2.161, -27.148)","(787.889, 156.508, -19.984, -37.428)","(789.84, 134.144, -1.436, -16.918)","(798.162, 107.089, 17.327, -53.485)","(795.391, 84.1, 9.709, -9.364)","(776.58, 64.418, -14.956, 4.604)","(742.561, 59.83, -31.912, 9.159)","(705.58, 58.646, -42.136, -0.148)","(663.657, 57.735, -36.179, 7.637)","(625.06, 56.706, -55.677, -10.885)","(584.402, 57.462, -44.516, 16.758)","(544.061, 61.508, -36.079, 7.79)","(499.575, 63.043, -48.403, 10.713)","(457.684, 65.172, -34.639, -5.823)","(417.42, 64.152, -31.923, 14.471)","(379.058, 63.032, -53.869, -8.626)","(338.994, 64.099, -30.461, 13.814)","(302.921, 63.581, -32.199, 2.93)",
9,"(643.336, 341.0, 20.873, -12.281)","(668.345, 328.134, 32.023, -23.976)","(694.421, 314.186, 29.251, 1.217)","(719.837, 298.872, 25.74, -14.013)","(742.513, 287.179, 29.174, -17.977)","(764.489, 275.213, 36.184, -3.216)","(783.584, 266.23, 5.025, -27.095)","(799.294, 248.949, 23.795, -15.382)","(808.445, 235.688, -2.746, -7.233)","(811.865, 222.509, -0.148, -22.363)","(811.276, 211.166, 13.607, -5.248)","(817.362, 194.087, 25.328, -36.016)","(813.885, 171.969, -6.694, -15.515)","(810.418, 134.215, -9.595, -39.549)","(813.526, 100.892, -0.826, -28.681)","(811.22, 73.997, -20.835, -24.283)","(791.103, 57.843, -46.158, -21.783)","(754.236, 53.488, -28.931, -10.389)","(711.612, 55.67, -43.272, 8.017)","(665.766, 55.652, -42.779, -0.801)","(625.667, 55.704, -34.836, -1.732)","(586.013, 57.65, -38.999, 12.002)","(545.844, 59.013, -52.088, 12.795)","(505.395, 60.272, -35.376, -7.862)","(461.038, 61.026, -51.675, 10.866)","(418.263, 61.006, -44.094, 17.494)","(378.513, 62.294, -48.797, 13.068)","(341.306, 63.147, -43.594, 5.579)","(304.11, 62.826, -28.557, -14.957)","(268.958, 64.257, -19.289, -9.444)","(236.293, 65.619, -39.831, 4.054)","(196.189, 62.825, -28.923, -14.421)","(157.025, 66.222, -42.99, -2.479)","(116.327, 80.912, -35.551, 31.1)","(88.522, 108.231, -17.049, 44.262)","(70.953, 144.824, -8.897, 39.533)",
