,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,"(450, 375, None, None)","(467.936, 390.694, None, None)","(514.306, 416.254, None, None)","(566.918, 432.828, None, None)","(619.648, 454.663, None, None)","(674.055, 470.794, None, None)","(722.272, 497.413, None, None)","(741.899, 518.671, None, None)","(762.983, 564.273, None, None)","(782.975, 617.606, None, None)","(765.053, 653.951, None, None)","(715.579, 670.615, None, None)","(659.233, 661.802, None, None)","(602.175, 658.802, None, None)","(544.986, 659.904, None, None)","(487.797, 661.007, None, None)","(430.607, 662.109, None, None)","(373.418, 663.212, None, None)","(316.228, 664.314, None, None)","(259.039, 665.416, None, None)","(201.85, 666.519, None, None)","(144.66, 667.621, None, None)","(138.229, 612.55, None, None)","(133.548, 555.542, None, None)","(128.867, 498.534, None, None)","(124.187, 441.525, None, None)","(84.868, 408.711, None, None)","(32.955, 384.694, None, None)"
1,"(499.289, 176.81, 62.454, 0.818)","(545.49, 167.059, 41.949, -19.096)","(577.23, 166.006, 57.812, -3.191)","(594.627, 166.136, 51.663, 2.035)","(607.201, 166.011, 39.63, -0.7)","(610.67, 166.017, 67.684, 0.706)","(611.609, 166.011, 56.378, -0.379)","(625.645, 166.006, 51.769, 0.082)","(646.319, 166.051, 43.861, -0.425)","(659.186, 166.088, 31.035, -1.259)","(669.823, 166.015, 29.086, -1.598)","(681.304, 166.12, 47.282, 4.617)","(692.815, 166.013, 46.52, -2.824)","(714.072, 166.057, 33.268, 2.521)","(729.645, 166.389, 15.212, 9.664)","(744.731, 170.454, 9.83, 3.341)","(750.331, 181.727, 16.089, -5.729)","(761.274, 191.118, 55.857, -12.696)","(774.59, 183.074, -6.207, -26.974)","(783.067, 177.919, 27.686, -12.785)","(799.061, 171.368, 16.102, -12.763)","(799.719, 182.667, -24.472, 6.895)","(790.007, 141.543, -3.094, -15.365)","(785.576, 105.009, 5.613, -7.731)","(777.608, 93.135, -15.665, -28.958)","(755.493, 75.607, -33.646, -15.865)","(714.864, 78.545, -42.116, 1.733)","(667.545, 82.578, -60.729, -14.248)"
2,"(741.26, 382.123, 7.863, -14.365)","(760.21, 353.379, 13.587, -17.493)","(778.218, 325.316, 28.281, -27.395)","(792.699, 296.687, 21.279, -16.701)","(804.17, 274.925, 2.613, -15.955)","(813.437, 255.884, 24.27, -14.611)","(818.992, 237.88, 0.131, -36.743)","(815.834, 216.965, -8.713, -30.805)","(817.327, 204.303, 12.282, 10.197)","(813.682, 188.217, 15.56, -28.894)","(813.891, 162.154, -8.147, -36.588)","(814.976, 125.417, 7.446, -16.222)","(804.571, 91.76, -5.718, -33.103)","(770.856, 65.865, -42.073, -34.276)","(729.125, 54.059, -45.247, -12.716)","(684.406, 58.461, -71.101, 1.837)","(642.343, 60.431, -52.235, -16.212)","(599.649, 58.903, -41.707, -3.944)","(556.615, 58.41, -33.584, 5.059)","(513.764, 58.553, -49.431, 16.534)","(472.948, 60.591, -41.223, 17.034)","(434.687, 61.146, -31.713, 12.534)","(396.58, 60.478, -22.581, 12.079)","(357.642, 61.765, -20.993, 11.038)","(318.529, 63.608, -47.6, -5.487)","(279.18, 63.966, -51.958, -15.548)","(242.088, 65.694, -32.837, -2.613)","(203.586, 66.28, -29.308, -13.59)"
3,"(431.796, 363.837, 8.649, -37.872)","(465.435, 340.193, 39.416, -21.053)","(508.37, 334.234, 37.127, 6.466)","(544.535, 323.503, 23.957, -28.011)","(575.155, 312.861, 38.999, 2.375)","(605.664, 300.754, 43.593, -4.0)","(637.479, 290.177, 41.215, -21.599)","(661.681, 280.641, 30.302, -12.55)","(687.128, 270.253, 37.233, 0.549)","(709.286, 261.595, 15.332, -12.653)","(730.056, 252.52, 12.894, -0.145)","(747.139, 239.788, 27.242, -28.014)","(769.72, 230.088, 32.306, -23.828)","(787.684, 222.778, 21.172, -7.769)","(797.818, 204.571, 13.209, -20.332)","(809.613, 169.525, 15.293, -26.355)","(814.842, 125.005, -13.265, -25.084)","(817.949, 88.676, -3.409, -15.431)","(811.778, 72.689, 11.466, -12.728)","(806.77, 65.185, -0.21, 11.708)","(797.279, 61.862, -35.02, -24.11)","(766.752, 54.329, -37.092, -15.08)","(725.186, 55.554, -58.264, 18.6)","(687.361, 59.541, -36.081, 0.659)","(649.525, 59.134, -45.691, 2.145)","(609.198, 57.81, -31.896, 11.973)","(569.096, 58.265, -57.076, -7.226)","(527.35, 59.12, -32.715, 2.033)"
4,"(283.921, 372.373, 41.952, -15.142)","(311.439, 356.251, 15.735, -5.865)","(340.437, 342.042, 45.217, -15.427)","(370.955, 331.397, 34.198, -8.886)","(401.603, 323.342, 46.699, -11.604)","(432.526, 315.705, 35.445, -16.975)","(463.586, 306.793, 25.865, -19.926)","(495.086, 298.547, 23.187, -14.306)","(525.437, 288.99, 33.492, 8.078)","(557.166, 278.674, 23.366, 0.828)","(587.978, 271.472, 36.222, -16.583)","(614.81, 265.202, 31.047, 7.48)","(640.953, 261.568, 24.959, -14.145)","(664.372, 256.688, 16.798, -5.436)","(687.106, 252.764, 19.504, -12.228)","(709.466, 246.931, 24.383, 11.758)","(722.293, 242.512, 11.787, -11.784)","(738.265, 238.732, 25.061, -6.952)","(756.791, 230.587, 7.639, 4.279)","(771.275, 227.576, 14.753, -7.635)","(783.049, 219.378, 5.374, -4.561)","(790.118, 201.773, -2.332, -38.962)","(794.008, 178.022, -2.847, -32.722)","(798.432, 146.14, -3.517, -54.598)","(798.629, 115.305, -8.313, -38.116)","(780.302, 93.704, -25.12, -29.702)","(747.181, 78.079, -64.982, -23.144)","(702.426, 81.126, -25.078, 15.793)"
5,"(624.53, 359.821, 18.32, -35.189)","(646.402, 334.552, 21.683, -20.636)","(675.426, 312.979, 43.046, -17.916)","(704.346, 294.614, 6.354, -6.336)","(729.065, 279.258, 33.603, -3.823)","(747.107, 263.866, 6.539, -27.978)","(766.542, 252.104, 5.499, 3.413)","(787.785, 226.275, 2.144, -32.964)","(801.655, 195.504, 7.551, -60.329)","(809.841, 144.708, 17.694, -59.191)","(815.164, 122.84, -18.401, -41.988)","(814.545, 86.784, 13.585, -15.627)","(813.438, 72.102, -17.147, -23.707)","(809.648, 65.692, 6.889, 11.17)","(804.877, 64.615, -8.752, -0.273)","(774.486, 54.095, -52.633, -0.341)","(737.975, 50.634, -54.585, 0.942)","(697.157, 53.118, -32.395, -7.471)","(656.741, 53.557, -55.668, -14.159)","(615.493, 53.905, -23.021, -5.121)","(572.225, 55.002, -33.519, -2.136)","(530.368, 55.444, -24.618, 13.758)","(490.942, 55.271, -40.885, -8.362)","(448.613, 56.192, -42.65, 9.512)","(406.405, 56.861, -27.034, -0.258)","(362.583, 57.801, -41.72, 2.658)","(322.002, 59.072, -21.56, 5.903)","(286.523, 60.35, -28.327, 14.316)"
6,"(545.497, 282.979, 50.702, -14.743)","(585.535, 261.946, 42.778, -16.916)","(622.666, 242.748, 35.359, -31.724)","(658.183, 234.102, 43.506, -22.459)","(691.446, 222.784, 37.988, -27.221)","(712.678, 214.626, 17.399, -17.703)","(736.014, 207.55, 22.469, -11.617)","(763.53, 204.004, 12.578, -5.882)","(782.02, 166.231, 17.982, -34.406)","(782.084, 125.165, -17.131, -45.373)","(788.742, 97.991, -28.196, -55.703)","(734.867, 86.125, -81.135, 1.739)","(686.085, 99.77, -28.882, 34.82)","(645.611, 111.842, -37.653, 8.771)","(625.976, 113.954, -69.151, 4.108)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.799, 113.945, -71.386, -0.122)","(623.415, 114.0, -23.04, 3.302)","(622.286, 113.979, -67.737, -1.239)","(622.286, 113.979, -67.737, -1.239)"
7,"(706.674, 316.792, 20.262, -25.777)","(736.894, 288.635, 23.835, -11.049)","(760.884, 269.151, 24.483, 3.871)","(780.473, 245.477, 19.895, -16.782)","(794.253, 232.866, -4.062, -36.034)","(803.643, 213.962, 9.136, -21.93)","(826.708, 192.025, 34.509, -47.846)","(835.466, 166.51, 5.256, -44.863)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)","(835.716, 166.011, 15.03, -29.943)"
8,"(240.464, 465.271, 10.697, 12.161)","(268.004, 477.864, 13.688, 1.415)","(298.946, 486.931, 21.812, 19.26)","(333.339, 493.203, 19.865, 0.853)","(365.889, 499.132, 34.25, -6.561)","(397.652, 505.082, 27.504, 1.64)","(429.035, 510.002, 35.712, 1.165)","(463.081, 512.887, 19.665, 12.482)","(497.33, 518.893, 33.653, 21.175)","(529.963, 523.073, 20.427, 8.131)","(564.961, 528.631, 49.364, 10.315)","(599.992, 534.744, 24.271, 11.696)","(631.858, 537.428, 22.642, -7.096)","(663.791, 538.367, 25.93, -10.624)","(692.362, 538.489, 16.705, 4.776)","(719.084, 541.15, 8.552, 2.324)","(744.353, 540.282, 10.311, 12.45)","(767.632, 539.964, 23.153, 12.073)","(770.557, 560.275, -14.737, 33.65)","(770.815, 584.406, -3.343, 38.749)","(777.293, 610.362, 23.54, 32.897)","(790.613, 639.339, 20.267, 32.184)","(776.147, 650.882, -18.775, 13.072)","(749.321, 649.721, -41.476, -0.093)","(727.499, 652.007, -12.084, 15.89)","(708.687, 657.316, -9.804, 8.725)","(685.23, 664.505, -24.066, -4.549)","(656.351, 673.259, -24.803, 16.445)"
9,"(365.797, 286.289, 34.697, -2.017)","(401.179, 274.926, 21.012, -27.001)","(436.79, 264.252, 25.179, -14.616)","(474.466, 254.883, 30.848, 3.562)","(511.637, 247.867, 34.889, -3.9)","(546.896, 244.188, 50.441, -5.735)","(579.857, 242.93, 26.505, 2.064)","(609.923, 239.184, 25.14, 10.288)","(636.632, 232.751, 14.594, -3.866)","(663.8, 230.929, 10.817, 11.731)","(689.358, 228.417, 22.069, -2.268)","(715.811, 220.771, 30.965, -8.478)","(739.84, 219.612, 5.744, 9.136)","(764.669, 213.064, 21.157, -2.81)","(777.099, 202.179, 18.2, -27.86)","(782.771, 187.565, 5.552, -9.61)","(801.869, 157.867, 19.711, -14.923)","(812.022, 129.147, 6.984, -34.761)","(805.562, 95.758, 1.494, -35.124)","(768.706, 73.337, -65.415, -37.132)","(739.738, 57.902, -40.846, 8.652)","(707.43, 54.208, -32.964, -16.492)","(668.246, 52.878, -34.843, 2.695)","(633.746, 54.717, -65.379, -5.581)","(595.907, 55.045, -25.924, -9.806)","(555.861, 55.238, -37.933, -8.746)","(515.147, 58.846, -49.237, -10.982)","(475.914, 60.407, -40.858, -3.329)"
