,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,"(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(494.726, 377.694, None, None)","(532.79, 379.987, None, None)","(532.79, 379.987, None, None)","(543.549, 373.836, None, None)","(565.895, 361.06, None, None)","(616.418, 338.593, None, None)","(642.451, 308.69, None, None)","(661.594, 296.158, None, None)","(670.367, 290.414, None, None)","(699.804, 259.207, None, None)","(716.609, 255.734, None, None)","(724.078, 254.191, None, None)","(743.144, 254.008, None, None)","(765.062, 254.614, None, None)","(778.404, 254.984, None, None)","(778.404, 254.984, None, None)","(775.06, 229.462, None, None)","(775.06, 229.462, None, None)","(780.903, 201.465, None, None)","(780.903, 201.465, None, None)","(783.582, 183.55, None, None)","(787.952, 154.322, None, None)","(787.952, 154.322, None, None)","(774.329, 121.786, None, None)","(773.308, 102.746, None, None)","(773.053, 97.986, None, None)","(773.053, 97.986, None, None)","(773.053, 97.986, None, None)","(773.053, 97.986, None, None)","(770.193, 97.988, None, None)","(739.686, 98.0, None, None)","(733.022, 97.645, None, None)","(675.903, 94.604, None, None)","(627.352, 92.019, None, None)","(599.745, 90.544, None, None)","(542.626, 87.491, None, None)","(496.931, 85.05, None, None)","(491.218, 85.317, None, None)","(434.08, 87.987, None, None)","(391.227, 89.989, None, None)","(338.023, 85.57, None, None)","(283.87, 81.072, None, None)","(266.727, 80.295, None, None)","(209.586, 77.706, None, None)","(182.292, 79.886, None, None)","(144.267, 88.936, None, None)","(111.672, 81.804, None, None)","(107.867, 83.867, None, None)","(87.64, 137.372, None, None)","(77.089, 161.875, None, None)","(54.354, 211.23, None, None)","(55.989, 263.638, None, None)","(53.378, 295.946, None, None)","(51.462, 317.788, None, None)","(48.1, 349.068, None, None)","(47.311, 352.798, None, None)","(46.128, 358.395, None, None)"
1,"(576.294, 550.715, 60.873, -27.113)","(624.606, 559.18, 81.424, -37.601)","(666.496, 569.489, 31.379, 58.82)","(703.21, 576.036, 3.945, -14.86)","(739.161, 576.293, 11.698, 53.075)","(768.539, 563.484, 41.381, -47.303)","(773.783, 604.791, -52.655, 84.031)","(777.191, 644.155, -28.536, 19.726)","(746.646, 652.941, -12.54, -5.792)","(701.861, 643.964, -41.256, -29.305)","(657.646, 638.767, 12.048, -56.372)","(619.809, 640.614, -72.842, -36.421)","(581.23, 640.891, -89.248, 42.456)","(536.445, 636.402, -49.097, 10.901)","(495.526, 636.111, -24.88, -17.642)","(450.506, 643.734, -47.406, -29.836)","(409.613, 639.791, -22.411, -18.623)","(366.501, 640.059, -71.616, -2.134)","(328.088, 644.703, -31.993, 34.377)","(286.543, 645.605, -14.018, 45.236)","(248.741, 654.219, -92.739, -20.794)","(209.606, 665.334, -67.216, 21.823)","(174.182, 666.376, -19.494, 6.725)","(132.556, 649.354, 6.734, -8.415)","(115.457, 605.296, 15.33, -41.757)","(104.622, 561.551, -22.164, -35.113)","(96.476, 521.211, -53.893, -10.808)","(83.848, 481.592, 1.23, -27.158)","(81.523, 450.828, -47.818, -75.676)","(81.322, 413.374, 10.11, -39.781)","(66.237, 385.526, -37.355, -33.082)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(603.808, 196.114, 63.584, -65.955)","(642.882, 195.09, 69.971, 9.285)","(679.961, 191.812, 25.864, 26.508)","(712.657, 186.097, 75.714, 61.647)","(749.573, 188.594, 9.123, -11.065)","(774.23, 181.812, -10.414, -14.288)","(767.913, 137.052, -19.766, -11.89)","(770.449, 106.46, 26.794, -79.466)","(742.418, 93.185, -57.739, 52.212)","(695.908, 108.572, -13.035, 26.327)","(661.796, 109.967, -74.627, -29.299)","(621.429, 112.784, -77.498, -14.497)","(578.349, 109.117, -76.935, -33.625)","(543.806, 103.386, -30.768, -63.533)","(498.723, 98.481, -21.236, 28.85)","(461.001, 98.651, -81.605, 46.423)","(416.321, 98.818, -76.836, 46.774)","(373.281, 99.042, -20.36, -11.322)","(327.692, 98.895, -26.67, 40.507)","(284.841, 97.543, -11.502, -59.928)","(240.722, 96.525, -7.815, -1.415)","(204.844, 90.298, -9.817, -2.875)","(174.519, 96.03, 20.351, -14.268)","(134.386, 103.167, -81.205, 28.046)","(117.71, 162.47, -26.443, 77.243)","(112.72, 212.174, -46.153, 74.581)","(107.057, 249.678, -33.027, 56.344)","(96.602, 288.777, -47.203, -6.251)","(88.665, 329.042, -28.064, 59.376)","(76.961, 359.556, -54.013, 29.639)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(675.348, 583.028, -5.394, -1.553)","(706.596, 583.683, -14.779, 41.606)","(741.563, 579.168, 19.367, 22.757)","(765.522, 566.312, 68.718, -13.34)","(773.541, 588.128, -41.114, 93.825)","(773.354, 629.796, 19.532, 22.043)","(763.371, 654.432, -4.961, -30.568)","(715.146, 652.035, -97.038, -14.762)","(665.92, 649.618, -99.977, -23.655)","(617.946, 641.951, -2.908, -8.898)","(573.253, 643.254, -26.68, 42.386)","(531.737, 636.507, -58.279, -45.273)","(489.211, 637.573, 3.524, -19.911)","(445.722, 636.332, -33.086, -54.238)","(399.764, 639.918, -88.343, -6.851)","(350.847, 636.333, -31.578, -16.707)","(315.01, 641.262, -26.314, 52.381)","(275.396, 639.547, -14.429, -4.833)","(234.025, 649.455, -19.152, 68.134)","(199.139, 661.724, -23.099, -44.273)","(158.463, 663.932, -88.47, 7.543)","(130.432, 630.821, -0.179, -73.762)","(120.291, 588.059, 17.818, -33.379)","(106.093, 545.661, -29.882, -92.807)","(96.101, 498.835, 29.97, -35.637)","(92.586, 459.213, -6.268, -9.214)","(86.9, 426.309, 15.147, 5.164)","(77.806, 394.182, -3.803, -7.413)","(43.61, 380.67, -56.818, 41.647)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
4,"(519.706, 568.462, 98.517, -44.574)","(569.661, 567.71, 109.965, -9.232)","(615.973, 575.557, -9.382, 44.034)","(636.969, 582.288, -11.215, -34.616)","(671.141, 580.362, -18.52, -37.805)","(709.927, 573.605, 14.637, -31.99)","(746.036, 574.375, -1.315, 21.791)","(768.649, 571.755, -8.753, -27.787)","(774.794, 581.515, 33.003, 89.343)","(771.54, 632.212, 41.557, 14.723)","(774.405, 655.633, 47.464, 3.201)","(730.835, 649.682, -85.548, -35.296)","(678.08, 642.837, -95.232, -25.582)","(631.41, 636.909, -92.391, -0.829)","(586.943, 637.49, -92.162, -34.637)","(544.16, 642.997, -71.144, 6.642)","(498.335, 644.367, -81.685, -14.228)","(454.711, 638.529, -4.355, -1.226)","(417.746, 636.081, -0.704, -27.478)","(378.45, 643.038, -74.432, 52.971)","(343.997, 648.982, -80.428, 0.816)","(295.005, 650.072, 3.69, 22.315)","(255.688, 652.004, -22.487, 46.4)","(216.029, 663.133, -77.18, 50.622)","(184.823, 664.629, -9.156, 16.523)","(140.851, 653.496, -65.3, -10.081)","(129.382, 616.823, -45.049, -99.513)","(124.66, 577.901, -56.971, -44.034)","(116.207, 540.506, 9.857, -53.756)","(101.775, 497.82, 36.883, -79.519)","(91.512, 459.625, 46.83, -76.272)","(85.943, 430.769, -42.746, -13.18)","(77.137, 406.367, -27.964, 1.196)","(58.999, 387.386, -104.419, -46.363)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(402.039, 268.523, 49.248, -12.632)","(443.708, 254.536, 9.682, 20.459)","(480.398, 246.7, -6.296, -66.174)","(522.133, 239.14, 49.256, -29.467)","(556.902, 232.6, -11.925, -25.997)","(584.79, 234.491, -16.467, 22.595)","(617.062, 224.955, 57.33, -53.849)","(650.572, 226.625, 47.016, 11.051)","(677.656, 227.774, -24.288, 38.243)","(701.154, 230.059, 42.858, 36.141)","(727.072, 222.754, 88.583, -57.911)","(753.302, 215.215, 47.262, 15.249)","(773.183, 203.379, -2.562, -60.465)","(778.926, 168.99, -30.457, -100.215)","(774.644, 117.071, -48.494, -70.047)","(763.779, 93.172, -30.526, -25.893)","(708.122, 90.594, -20.557, -38.516)","(658.855, 103.98, -75.644, 40.888)","(621.143, 113.52, -72.257, 45.575)","(598.197, 113.887, -83.659, 43.424)","(566.822, 113.802, -29.136, 48.441)","(522.145, 98.212, -93.588, -7.863)","(483.56, 85.227, 8.913, -29.354)","(436.18, 82.485, -71.692, -22.771)","(393.823, 83.966, -26.804, 32.748)","(350.327, 77.63, -69.644, 19.823)","(312.974, 72.705, -81.921, -13.55)","(274.273, 71.735, -30.772, -58.682)","(235.777, 67.965, -36.445, -7.73)","(202.713, 73.434, -25.862, 19.31)","(163.583, 71.518, -0.062, 6.918)","(125.199, 88.789, 5.699, -15.989)","(97.912, 131.704, 4.362, 15.727)","(82.279, 174.116, -29.204, 40.918)","(70.248, 218.221, -38.862, 69.651)","(67.956, 254.122, -37.46, 31.565)","(65.612, 292.349, -10.123, -1.846)","(64.322, 320.216, 2.101, 2.203)","(57.813, 358.623, -21.134, 52.365)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
6,"(261.804, 210.129, 42.973, -28.907)","(287.514, 204.603, 14.988, -52.535)","(311.115, 196.616, 24.074, 26.861)","(347.162, 202.317, 76.756, -26.464)","(378.8, 200.083, 9.658, -57.292)","(410.637, 199.117, 36.874, 20.947)","(442.843, 206.395, -19.758, 34.956)","(471.379, 210.089, 20.592, 54.356)","(505.557, 214.92, -16.983, 30.269)","(535.538, 227.685, 6.565, 20.577)","(568.056, 223.99, 76.732, -5.195)","(590.371, 223.266, -27.151, -61.355)","(616.93, 217.49, 5.655, -33.81)","(647.092, 212.487, 67.803, -21.328)","(684.239, 214.457, 34.857, 21.416)","(719.425, 209.467, -8.359, -79.743)","(743.841, 207.665, 24.925, 12.687)","(760.738, 213.682, 18.3, -0.867)","(771.827, 200.426, 0.875, -60.315)","(783.886, 167.451, -36.735, -17.815)","(784.213, 127.929, -6.807, -69.068)","(778.219, 91.122, 17.681, -8.719)","(747.891, 66.807, -3.561, 20.683)","(710.166, 55.841, -39.713, 15.912)","(675.073, 53.124, -48.34, 35.868)","(637.33, 58.632, -81.729, 3.176)","(603.684, 57.988, 9.359, 44.702)","(562.182, 56.331, 0.159, 26.225)","(523.497, 58.991, -84.534, 52.782)","(480.914, 57.354, -19.435, 19.928)","(451.785, 59.584, 3.503, 39.58)","(413.524, 61.503, 16.324, 31.645)","(380.206, 59.945, -85.625, 59.334)","(343.713, 62.54, 6.169, 34.102)","(309.043, 62.645, 3.324, 33.012)","(274.932, 63.167, -8.192, 21.918)","(240.817, 66.427, 14.037, 44.938)","(209.206, 68.126, -28.75, -35.306)","(175.309, 66.865, -74.913, 41.293)","(133.857, 84.794, -89.313, 83.134)","(105.133, 126.405, -42.416, 39.957)","(99.928, 171.279, -20.042, 58.884)","(96.065, 213.005, -14.863, 28.268)","(95.217, 252.216, 41.886, 83.58)","(92.441, 289.47, 25.721, 46.077)","(88.119, 322.8, 27.957, -12.086)","(72.844, 358.633, 20.116, 74.266)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
7,"(675.549, 529.551, 3.994, 55.287)","(720.346, 533.734, 11.709, 27.803)","(758.112, 539.14, 39.799, -32.847)","(794.054, 557.4, 7.924, 53.22)","(806.297, 597.096, 8.307, 45.404)","(808.255, 653.877, -7.113, -15.943)","(786.715, 676.025, -63.895, 13.608)","(756.771, 683.98, -40.606, -45.392)","(710.43, 678.739, -47.339, 3.196)","(660.717, 682.851, -59.283, 37.831)","(611.345, 676.923, 12.459, -15.403)","(570.1, 675.667, -22.287, -16.092)","(529.008, 672.531, -6.537, 45.924)","(487.928, 677.881, -26.608, 54.853)","(449.809, 673.506, -53.851, -42.139)","(408.432, 667.591, -62.667, -25.729)","(366.551, 672.398, -72.423, 33.156)","(327.874, 667.888, -70.142, 44.904)","(282.412, 670.767, 4.873, 42.429)","(245.807, 670.217, -32.429, -0.161)","(204.145, 671.341, -16.94, 51.78)","(166.672, 671.238, -19.636, -8.22)","(128.688, 644.901, -55.703, -25.274)","(108.655, 600.071, -44.015, -97.147)","(91.335, 555.526, 13.525, -30.097)","(70.681, 512.404, -15.791, -10.545)","(60.386, 472.523, -28.094, -1.077)","(61.534, 436.564, -8.756, -8.916)","(66.263, 409.218, -36.287, -52.362)","(46.27, 384.493, -116.815, -59.55)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
8,"(677.036, 367.171, 21.721, -21.999)","(704.231, 349.229, 78.976, 26.157)","(734.732, 331.206, 51.79, -64.517)","(761.689, 306.892, 9.017, -45.555)","(782.772, 284.102, 68.977, -21.063)","(799.885, 266.739, 58.187, -57.145)","(808.455, 249.089, 28.191, -6.002)","(812.78, 226.49, 6.907, -28.104)","(814.357, 215.34, -4.949, 29.276)","(812.68, 202.65, -43.01, -44.028)","(806.564, 172.535, -69.117, -67.03)","(803.295, 130.509, -15.12, -64.92)","(802.878, 91.905, -41.558, -47.121)","(754.0, 69.769, -65.66, -5.391)","(709.818, 64.701, -25.783, 1.618)","(658.619, 69.399, -90.733, -22.848)","(612.727, 75.53, -54.913, -45.222)","(566.23, 77.202, -38.779, -44.26)","(521.516, 81.841, -8.88, 40.695)","(480.076, 83.037, -45.989, 16.404)","(438.394, 86.368, -98.097, -37.742)","(399.377, 86.269, -41.687, -28.968)","(359.421, 89.938, -11.608, 9.658)","(315.671, 93.579, -9.353, -33.643)","(279.825, 95.348, -18.393, 43.462)","(239.614, 92.766, -51.826, -40.685)","(209.317, 97.141, 2.018, 5.54)","(171.819, 97.722, -50.908, 15.137)","(138.035, 104.467, -56.305, 107.113)","(125.699, 149.435, -25.164, -0.1)","(121.589, 198.858, 0.018, -1.652)","(114.951, 239.947, -47.362, 13.622)","(108.734, 277.786, -24.707, 43.495)","(112.035, 311.958, 4.036, -4.183)","(100.636, 342.833, -52.227, -23.225)","(90.051, 370.071, -17.655, 49.186)","(60.62, 371.98, -63.607, -42.582)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
9,"(651.995, 201.448, 37.546, -48.305)","(687.293, 196.855, 26.581, -35.904)","(733.298, 195.819, 62.344, 16.162)","(773.915, 189.004, -28.536, -46.229)","(774.653, 140.627, 38.444, -91.135)","(782.479, 97.364, 67.797, -84.789)","(740.687, 92.635, -40.034, -43.587)","(701.518, 100.567, -48.594, -8.721)","(652.438, 109.721, -14.065, 61.297)","(608.456, 110.563, -2.321, -10.484)","(566.01, 107.065, -30.096, -51.298)","(512.865, 93.217, -29.177, 35.831)","(464.04, 89.703, -40.747, -14.445)","(418.892, 81.138, 7.395, 36.621)","(374.686, 79.74, -1.327, 2.107)","(332.104, 77.266, -34.494, -39.498)","(289.647, 75.653, -58.293, -42.53)","(244.973, 80.089, -5.506, -21.229)","(200.601, 77.514, -42.013, -35.508)","(157.093, 74.523, -94.305, -11.871)","(125.437, 105.285, 28.908, -8.109)","(107.117, 142.037, -23.803, 70.148)","(92.89, 190.712, 1.356, 27.28)","(88.628, 233.703, -47.936, 14.968)","(84.161, 270.117, -4.247, 40.501)","(83.112, 309.161, 10.259, 69.514)","(79.608, 343.53, -56.28, 70.818)","(55.125, 365.037, -58.547, 26.982)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
