,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,"(451.907, 375.0, None, None)","(451.907, 375.0, None, None)","(451.907, 375.0, None, None)","(451.907, 375.0, None, None)","(451.995, 375.949, None, None)","(451.995, 375.949, None, None)","(451.995, 375.949, None, None)","(451.995, 375.949, None, None)","(422.788, 361.894, None, None)","(371.245, 337.09, None, None)","(332.295, 316.301, None, None)","(388.683, 325.903, None, None)","(445.072, 335.504, None, None)","(501.46, 345.106, None, None)","(557.848, 354.708, None, None)","(609.398, 350.407, None, None)","(647.644, 307.873, None, None)","(678.877, 273.137, None, None)","(678.877, 273.137, None, None)","(673.501, 271.182, None, None)","(673.501, 271.182, None, None)","(673.501, 271.182, None, None)","(673.501, 271.182, None, None)","(713.638, 235.981, None, None)","(732.274, 219.637, None, None)","(733.77, 220.819, None, None)","(733.77, 220.819, None, None)","(733.77, 220.819, None, None)","(741.99, 209.117, None, None)","(774.871, 162.312, None, None)","(805.559, 118.627, None, None)","(805.559, 118.627, None, None)","(805.559, 118.627, None, None)","(805.559, 118.627, None, None)","(776.345, 102.507, None, None)","(726.264, 74.871, None, None)","(712.074, 67.041, None, None)","(696.898, 68.571, None, None)","(639.986, 74.308, None, None)","(583.075, 80.045, None, None)","(526.163, 85.782, None, None)","(524.266, 85.973, None, None)","(524.266, 85.973, None, None)","(524.266, 85.973, None, None)","(524.266, 85.973, None, None)","(478.507, 86.233, None, None)","(421.308, 86.559, None, None)","(364.109, 86.884, None, None)","(306.91, 87.21, None, None)","(249.711, 87.535, None, None)","(192.512, 87.861, None, None)","(168.679, 87.996, None, None)","(168.679, 87.996, None, None)","(126.741, 114.43, None, None)","(101.678, 153.228, None, None)","(114.213, 207.348, None, None)","(94.316, 260.976, None, None)","(126.273, 306.293, None, None)","(130.667, 345.253, None, None)","(121.212, 379.236, None, None)","(121.212, 379.236, None, None)","(121.212, 379.236, None, None)","(121.212, 379.236, None, None)","(85.115, 376.183, None, None)","(28.118, 371.363, None, None)",
1,"(604.459, 420.513, 40.465, 24.518)","(643.819, 446.126, 50.546, 29.389)","(677.368, 466.66, 30.661, 26.319)","(706.75, 481.295, 34.945, 1.044)","(739.549, 497.404, 44.46, 33.149)","(764.029, 514.215, 9.545, 13.644)","(780.559, 526.2, 20.509, 22.924)","(797.291, 540.03, 17.164, 21.004)","(809.465, 576.219, -5.328, 41.682)","(812.422, 612.377, 7.521, 45.946)","(816.893, 655.013, -19.78, 38.092)","(795.517, 682.47, -27.093, 35.546)","(753.711, 693.423, -32.158, 15.118)","(706.224, 691.758, -51.309, 9.341)","(664.372, 689.357, -49.877, -8.369)","(620.807, 691.727, -31.684, -6.265)","(575.908, 688.453, -49.759, -6.746)","(531.445, 685.817, -51.248, -0.079)","(493.605, 684.409, -43.603, 10.059)","(454.294, 681.875, -20.675, -15.802)","(414.866, 682.626, -43.037, 11.832)","(372.789, 681.238, -36.395, 3.951)","(331.829, 681.25, -51.209, -14.668)","(293.452, 680.157, -39.044, 1.056)","(254.556, 677.574, -31.61, -14.048)","(220.793, 675.086, -29.275, 5.719)","(187.64, 675.482, -29.497, -7.407)","(148.473, 669.253, -60.887, 6.538)","(126.574, 634.598, -33.821, -36.744)","(112.803, 595.88, -18.136, -24.885)","(104.466, 557.262, 1.49, -54.352)","(97.568, 519.526, -15.114, -51.006)","(92.168, 483.882, 9.757, -26.833)","(86.488, 452.556, -12.867, -30.999)","(81.843, 425.016, -16.998, -34.049)","(76.6, 398.404, -2.564, -19.896)","(46.774, 388.347, -49.106, -3.191)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
2,"(621.696, 392.163, 51.979, 16.836)","(655.983, 403.842, 40.282, 15.66)","(688.429, 418.917, 35.353, 26.654)","(716.801, 438.929, 24.049, 27.374)","(742.623, 454.474, 33.861, 17.896)","(763.123, 468.822, 16.415, 29.685)","(782.388, 483.276, 28.483, 8.007)","(796.589, 492.186, 7.007, 8.631)","(806.736, 504.601, -1.154, 19.624)","(812.082, 518.939, 15.913, 26.904)","(813.664, 532.097, 10.415, 30.534)","(815.27, 540.417, -17.978, 7.303)","(815.481, 553.732, 20.903, 14.302)","(821.838, 569.338, 17.32, 14.294)","(812.446, 588.345, -22.672, 55.559)","(811.739, 631.29, -7.317, 36.914)","(818.281, 663.272, 8.888, 47.625)","(810.99, 679.597, -3.581, -7.738)","(793.12, 687.464, -43.068, 13.319)","(757.247, 692.727, -37.867, 7.295)","(725.079, 694.075, -25.476, 11.7)","(690.73, 695.541, -19.213, 14.134)","(654.57, 694.632, -34.97, -5.919)","(613.243, 694.744, -46.252, 16.82)","(577.061, 692.912, -36.92, 10.518)","(535.723, 691.556, -43.694, 4.232)","(496.757, 692.077, -31.17, 6.489)","(455.363, 690.062, -49.947, 10.986)","(414.969, 690.723, -59.87, -5.798)","(373.971, 686.557, -51.354, -3.134)","(330.964, 683.415, -49.233, -1.912)","(289.138, 681.651, -54.009, -12.967)","(256.621, 681.621, -19.72, 4.46)","(226.837, 678.565, -30.603, -6.375)","(193.342, 684.587, -27.653, 1.462)","(158.186, 677.274, -49.965, -18.073)","(121.558, 651.86, -15.325, -41.889)","(96.333, 614.034, -31.37, -30.593)","(78.272, 577.373, -17.272, -32.447)","(64.908, 543.038, -9.793, -16.631)","(56.759, 511.105, 5.092, -14.975)","(53.888, 486.274, 12.798, -8.236)","(58.871, 466.242, -3.45, -20.918)","(65.756, 430.386, 7.958, -25.913)","(62.082, 399.569, -10.368, -36.491)","(41.3, 394.09, -43.904, -0.07)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
3,"(631.525, 475.139, 38.587, 11.715)","(668.107, 484.6, 19.064, 9.444)","(703.759, 499.412, 39.739, 16.198)","(740.268, 514.888, 38.626, 7.422)","(768.323, 534.868, 23.293, 38.278)","(784.804, 555.445, 1.601, 12.32)","(795.022, 566.362, 18.657, 4.916)","(807.939, 582.029, 17.563, 28.491)","(805.58, 642.956, -14.597, 48.413)","(777.179, 672.697, -37.173, 24.208)","(729.994, 680.442, -48.751, 11.337)","(682.599, 675.384, -56.892, 8.024)","(640.156, 671.566, -44.944, -12.503)","(598.365, 667.416, -34.027, -8.838)","(558.21, 663.595, -30.419, -12.568)","(520.587, 657.154, -29.09, -13.168)","(484.116, 652.411, -24.265, 1.226)","(450.261, 656.379, -49.693, 15.405)","(397.786, 665.044, -59.555, -1.312)","(348.134, 661.732, -40.302, 8.173)","(304.305, 659.58, -58.82, 2.746)","(262.22, 658.402, -43.666, -8.988)","(222.114, 663.133, -32.607, 17.963)","(184.095, 663.201, -35.252, 14.883)","(143.435, 661.038, -13.866, -32.07)","(124.694, 622.442, -26.243, -45.124)","(113.373, 580.756, -0.129, -36.409)","(103.25, 539.016, -17.816, -48.814)","(94.112, 500.695, -2.033, -49.506)","(86.203, 465.698, 8.321, -25.115)","(82.338, 430.536, -16.231, -30.846)","(81.132, 400.835, -5.087, -31.325)","(44.763, 384.428, -65.26, -10.549)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
4,"(528.217, 286.091, 46.339, -0.21)","(566.108, 286.441, 28.598, 13.947)","(603.904, 282.753, 52.978, -9.417)","(640.249, 278.504, 25.482, -17.275)","(671.254, 274.931, 35.808, 0.092)","(702.254, 270.541, 20.747, 0.674)","(729.724, 262.9, 36.438, -14.048)","(750.859, 253.254, 11.689, 3.318)","(766.602, 245.565, 6.573, 11.212)","(787.244, 226.537, -1.412, -30.003)","(796.564, 192.09, 8.807, -36.471)","(797.332, 162.878, 9.1, -23.488)","(799.085, 121.645, 5.617, -47.705)","(803.147, 90.494, -30.351, -26.18)","(779.61, 72.864, -27.118, -16.657)","(741.345, 60.806, -35.541, 16.221)","(703.219, 63.232, -45.324, 13.594)","(666.822, 63.119, -35.944, 2.712)","(625.666, 67.833, -56.726, -8.296)","(582.73, 65.249, -33.969, -3.554)","(541.017, 65.279, -36.117, 11.155)","(500.714, 64.175, -26.751, 11.785)","(461.621, 63.017, -31.679, 15.379)","(420.964, 62.451, -42.083, -17.395)","(377.334, 62.324, -41.284, 16.157)","(334.67, 62.429, -51.369, 0.431)","(290.738, 62.582, -53.045, -6.614)","(251.879, 65.378, -38.461, 1.647)","(216.854, 68.61, -18.062, -0.828)","(180.24, 66.376, -45.518, -8.804)","(134.905, 72.526, -39.219, 12.765)","(98.955, 95.353, -19.333, 23.895)","(77.875, 128.756, -5.582, 24.447)","(67.952, 165.135, 8.74, 46.413)","(65.423, 201.641, 5.663, 42.734)","(62.46, 239.573, -13.163, 42.989)","(64.286, 275.52, 4.659, 27.519)","(63.526, 308.705, -12.123, 35.706)","(60.181, 339.28, -1.612, 38.933)","(54.065, 359.392, -9.604, 26.632)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
5,"(284.23, 234.272, 28.374, -11.034)","(310.868, 235.401, 34.315, 6.519)","(338.753, 232.76, 33.546, 11.43)","(364.21, 231.278, 16.592, 6.957)","(392.057, 229.647, 12.59, 0.607)","(421.37, 230.43, 42.742, 2.687)","(448.97, 229.034, 49.236, -7.619)","(479.667, 226.11, 19.895, 7.339)","(513.869, 221.609, 37.666, -2.493)","(547.158, 220.312, 30.244, 16.332)","(580.444, 219.541, 42.524, -2.234)","(609.825, 218.762, 43.846, 15.29)","(638.976, 220.899, 13.902, 13.864)","(665.394, 218.818, 28.907, -8.305)","(689.279, 218.854, 34.727, 10.135)","(710.94, 218.237, 12.535, -5.329)","(729.533, 218.322, 16.606, -2.273)","(751.779, 214.81, 7.457, -7.989)","(771.447, 211.259, 14.347, -4.471)","(781.688, 195.122, 3.622, -24.548)","(783.86, 156.927, -7.392, -57.246)","(781.186, 125.589, 7.884, -29.517)","(785.995, 98.199, 14.874, -22.911)","(753.208, 97.174, -22.002, -0.071)","(725.242, 104.645, -8.002, 18.576)","(716.772, 107.866, -20.092, 11.391)","(680.578, 90.264, -35.532, -4.567)","(641.789, 85.201, -24.573, 12.032)","(602.692, 82.769, -23.496, -7.389)","(566.086, 86.66, -35.392, -3.669)","(530.83, 91.392, -26.01, -0.341)","(493.587, 96.222, -43.14, 4.257)","(457.255, 97.57, -34.752, 6.597)","(418.934, 96.575, -40.275, 16.684)","(381.68, 96.172, -50.47, -17.372)","(346.93, 95.546, -27.339, 0.841)","(309.814, 94.419, -30.594, -17.092)","(274.711, 94.449, -27.335, 14.378)","(240.105, 91.359, -32.17, -10.716)","(205.263, 87.885, -29.899, 11.359)","(173.728, 87.867, -34.599, -17.609)","(136.018, 92.814, -29.952, 22.982)","(119.374, 132.516, -15.959, 27.943)","(114.815, 174.115, -15.063, 40.47)","(113.333, 210.613, -12.396, 29.032)","(112.606, 247.305, -8.887, 28.628)","(109.979, 280.552, 13.519, 39.736)","(107.246, 308.164, -1.311, 25.888)","(104.022, 331.872, -14.205, 7.906)","(97.375, 349.992, -12.843, 25.754)","(80.691, 359.045, -6.371, 1.642)","(37.377, 365.24, -75.037, -7.687)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
6,"(310.734, 565.243, 27.158, 2.419)","(349.964, 564.25, 23.886, -5.724)","(385.877, 564.163, 20.685, 11.783)","(423.326, 563.496, 47.707, -8.059)","(458.904, 563.705, 38.879, 11.091)","(492.065, 564.268, 32.897, -1.505)","(526.765, 565.952, 29.78, 5.224)","(555.418, 564.416, 37.433, 2.224)","(587.419, 567.028, 38.653, 11.1)","(610.87, 574.559, 8.962, 8.241)","(624.482, 577.368, 19.753, 13.824)","(634.017, 575.615, 16.088, 8.872)","(665.195, 560.988, 58.395, -11.842)","(697.792, 558.533, 43.366, 0.743)","(720.459, 557.223, 9.799, 2.806)","(733.28, 555.95, 30.184, -14.324)","(748.372, 554.033, 27.821, -13.202)","(771.852, 553.015, 2.575, 29.429)","(780.591, 586.962, 8.878, 24.851)","(775.942, 627.268, -18.141, 19.667)","(775.378, 649.09, -13.124, 27.782)","(749.376, 658.106, -48.886, -2.822)","(715.067, 665.331, -20.221, 8.77)","(679.362, 666.33, -57.523, -6.329)","(641.169, 653.972, -27.072, -20.097)","(606.639, 654.535, -63.046, -15.862)","(568.671, 642.464, -43.683, 3.36)","(558.772, 636.061, -17.619, 0.597)","(558.772, 636.061, -17.619, 0.597)","(557.926, 636.02, -24.415, -1.292)","(555.719, 636.034, -48.354, 1.691)","(549.905, 636.01, -39.221, 0.046)","(540.834, 636.057, -32.803, 1.644)","(521.228, 636.158, -54.775, 3.529)","(500.218, 636.017, -29.175, -1.347)","(474.04, 636.045, -49.149, 1.527)","(443.977, 637.843, -42.783, 12.654)","(412.696, 639.985, -26.146, 4.134)","(386.76, 641.395, -19.994, -0.79)","(354.816, 640.787, -24.28, 16.212)","(325.904, 642.953, -42.346, 3.766)","(294.553, 647.566, -37.197, 4.455)","(264.713, 653.505, -40.666, 7.586)","(239.367, 662.944, -20.983, -12.071)","(207.917, 667.069, -38.239, 1.905)","(180.421, 669.937, -42.189, 6.361)","(147.557, 665.379, -57.437, 20.145)","(131.407, 630.283, -6.356, -55.599)","(126.002, 585.719, -11.207, -34.219)","(119.547, 545.152, -16.103, -40.622)","(116.967, 509.203, 11.054, -31.968)","(113.36, 471.518, -0.263, -49.114)","(109.152, 443.915, -8.641, -31.411)","(107.212, 418.592, 15.229, -15.616)","(106.1, 399.03, -12.626, -22.942)","(95.681, 384.57, 8.708, 1.955)","(95.671, 378.305, -0.87, -23.031)","(93.311, 374.614, 5.459, -11.247)","(78.817, 373.059, -26.522, -10.422)","(35.852, 378.734, -73.053, 13.994)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
7,"(722.353, 224.486, 43.965, -29.095)","(757.349, 209.995, 32.793, -15.002)","(783.007, 177.796, 34.105, -30.497)","(795.998, 135.61, -6.733, -26.657)","(788.51, 94.457, -32.349, -3.561)","(744.521, 90.305, -65.972, -0.917)","(701.837, 99.735, -46.609, 15.911)","(659.321, 102.957, -44.487, -0.008)","(614.924, 103.202, -27.545, 13.121)","(575.389, 100.33, -20.35, -15.856)","(534.621, 92.114, -48.377, 0.933)","(494.919, 86.907, -49.17, -14.637)","(453.394, 85.415, -54.085, -12.704)","(411.823, 84.22, -52.917, 0.639)","(370.396, 81.737, -56.325, 8.367)","(327.795, 81.658, -61.299, -9.251)","(283.485, 80.382, -38.593, 7.604)","(241.485, 81.255, -56.554, 4.617)","(200.408, 79.781, -52.729, -9.643)","(160.533, 78.084, -36.828, 11.724)","(126.655, 100.66, -35.396, 30.09)","(109.692, 139.882, -17.903, 45.452)","(99.856, 183.433, -3.999, 41.992)","(94.906, 226.177, -11.381, 27.787)","(88.305, 266.685, 8.386, 25.443)","(83.377, 308.441, 4.857, 53.959)","(77.834, 345.316, -23.05, 23.117)","(53.534, 368.238, -39.569, 19.111)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
8,"(652.569, 553.737, 53.142, -4.963)","(693.562, 557.122, 32.932, -0.968)","(724.827, 564.131, 11.67, 7.471)","(749.128, 569.03, 32.51, 14.587)","(766.053, 578.963, 18.043, -3.3)","(783.152, 573.185, 35.649, 16.215)","(791.457, 582.166, -8.262, 17.267)","(794.33, 593.818, 9.404, 9.915)","(790.08, 606.291, -11.018, 45.665)","(776.408, 618.218, 3.597, 29.874)","(756.092, 622.162, -9.22, -1.155)","(756.362, 617.236, -6.487, -1.63)","(756.086, 615.859, 5.14, -26.971)","(756.517, 612.473, 14.495, 1.09)","(756.012, 612.573, -0.046, 6.573)","(756.064, 611.749, -10.739, 7.686)","(756.015, 610.969, -0.639, -0.436)","(756.001, 608.402, -2.383, -39.733)","(756.89, 599.394, -1.505, -19.137)","(759.882, 586.396, 10.315, -7.049)","(765.299, 572.881, 23.111, -12.24)","(772.29, 562.37, -11.194, 37.755)","(773.645, 591.893, -18.153, 37.203)","(770.992, 613.689, -11.01, 28.413)","(779.224, 641.242, 28.555, 51.63)","(758.303, 653.599, -20.795, -0.367)","(736.491, 659.528, -14.025, 18.705)","(704.146, 669.217, -29.966, 6.678)","(665.581, 671.604, -29.753, 0.536)","(626.588, 673.451, -43.381, 10.214)","(585.462, 671.67, -46.466, 10.872)","(545.863, 670.986, -46.388, -7.713)","(508.665, 669.876, -23.123, -5.753)","(468.043, 669.565, -60.657, -8.299)","(430.893, 668.232, -51.638, 11.934)","(391.183, 668.905, -60.397, -7.111)","(352.75, 670.011, -38.866, 5.85)","(317.617, 667.867, -50.018, -7.931)","(282.413, 669.71, -43.886, 3.129)","(246.841, 669.996, -27.783, -7.64)","(220.064, 674.886, -24.662, 14.759)","(184.502, 685.019, -28.714, 13.208)","(143.364, 672.052, -29.969, -46.38)","(105.766, 637.093, -43.98, -54.383)","(83.169, 599.94, -19.559, -41.436)","(64.052, 561.562, -0.811, -46.195)","(54.938, 528.922, -7.939, -39.035)","(50.074, 503.671, 1.137, -12.579)","(47.764, 485.771, -1.633, -28.695)","(46.009, 471.71, -2.569, -4.665)","(46.063, 461.392, -5.978, -14.577)","(46.05, 450.121, -14.219, -45.189)","(46.458, 433.948, -5.33, -7.985)","(56.646, 413.878, 3.14, -39.168)","(50.287, 391.496, -66.58, -7.408)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
9,"(373.308, 215.967, 35.166, -9.777)","(411.251, 211.002, 37.688, -1.543)","(453.547, 209.536, 37.591, -6.196)","(495.992, 200.883, 33.642, -15.203)","(534.764, 188.02, 44.785, -2.488)","(573.36, 182.662, 41.532, -4.867)","(603.862, 188.252, 34.265, 1.144)","(647.41, 192.051, 35.943, 13.435)","(673.315, 193.265, 13.694, 1.484)","(705.036, 195.749, 23.492, 18.004)","(731.521, 193.414, 21.186, -9.628)","(754.924, 195.142, 21.703, 2.757)","(775.404, 188.122, 18.158, -30.48)","(789.341, 151.256, 7.623, -39.739)","(794.327, 118.715, -5.239, -28.257)","(804.693, 89.784, -7.636, -8.496)","(781.183, 74.34, -43.535, -14.9)","(740.456, 71.221, -51.913, -3.331)","(695.526, 80.425, -49.143, 11.125)","(657.331, 86.272, -54.672, -5.978)","(616.17, 91.114, -54.944, 1.056)","(577.585, 94.41, -41.627, 9.006)","(542.876, 98.987, -29.386, -13.22)","(503.344, 97.605, -53.294, -7.076)","(466.598, 96.994, -20.66, 9.995)","(429.322, 95.495, -40.379, 0.068)","(386.481, 95.305, -18.319, 13.414)","(346.235, 95.619, -37.422, 4.922)","(309.46, 97.335, -23.575, 2.482)","(273.712, 95.732, -23.811, 8.656)","(238.19, 93.251, -43.182, -6.106)","(199.098, 94.06, -29.422, 0.811)","(166.835, 89.737, -50.119, -22.53)","(134.569, 109.298, -19.377, 48.152)","(124.65, 156.431, -11.86, 37.021)","(120.422, 197.361, -8.152, 22.898)","(113.673, 234.235, -13.447, 51.448)","(108.493, 269.182, 0.682, 23.906)","(106.246, 303.243, -7.518, 31.985)","(100.47, 332.452, 5.586, 30.072)","(93.024, 355.423, -18.029, 23.048)","(72.395, 370.89, -22.263, 7.646)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
